iter,loss,event_time,event_times
0,0.0061048898500090714,5,"[tensor(0.1159, device='cuda:0'), tensor(0.2327, device='cuda:0'), tensor(0.3496, device='cuda:0'), tensor(0.3722, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
1,0.014407543354426032,14,"[tensor(0.0638, device='cuda:0'), tensor(0.1286, device='cuda:0'), tensor(0.1933, device='cuda:0'), tensor(0.2581, device='cuda:0'), tensor(0.3228, device='cuda:0'), tensor(0.3875, device='cuda:0'), tensor(0.4381, device='cuda:0'), tensor(0.4912, device='cuda:0'), tensor(0.5444, device='cuda:0'), tensor(0.5975, device='cuda:0'), tensor(0.6506, device='cuda:0'), tensor(0.7037, device='cuda:0'), tensor(0.9536, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
2,0.00866848571034082,8,"[tensor(0.1322, device='cuda:0'), tensor(0.2661, device='cuda:0'), tensor(0.4000, device='cuda:0'), tensor(0.4994, device='cuda:0'), tensor(0.5785, device='cuda:0'), tensor(0.7482, device='cuda:0'), tensor(0.8916, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
3,0.003394374223181444,10,"[tensor(0.1385, device='cuda:0'), tensor(0.2727, device='cuda:0'), tensor(0.4069, device='cuda:0'), tensor(0.5006, device='cuda:0'), tensor(0.6615, device='cuda:0'), tensor(0.8815, device='cuda:0'), tensor(0.9002, device='cuda:0'), tensor(0.9189, device='cuda:0'), tensor(0.9377, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
4,0.0025103654248200703,14,"[tensor(0.1101, device='cuda:0'), tensor(0.1384, device='cuda:0'), tensor(0.1670, device='cuda:0'), tensor(0.1955, device='cuda:0'), tensor(0.2241, device='cuda:0'), tensor(0.2527, device='cuda:0'), tensor(0.2812, device='cuda:0'), tensor(0.3098, device='cuda:0'), tensor(0.3384, device='cuda:0'), tensor(0.4554, device='cuda:0'), tensor(0.5902, device='cuda:0'), tensor(0.7247, device='cuda:0'), tensor(0.8819, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
5,0.004387137506186473,5,"[tensor(0.1237, device='cuda:0'), tensor(0.2517, device='cuda:0'), tensor(0.3795, device='cuda:0'), tensor(0.4232, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
6,0.012123667867181602,10,"[tensor(0.0791, device='cuda:0'), tensor(0.1552, device='cuda:0'), tensor(0.2313, device='cuda:0'), tensor(0.3074, device='cuda:0'), tensor(0.3835, device='cuda:0'), tensor(0.4188, device='cuda:0'), tensor(0.5017, device='cuda:0'), tensor(0.5851, device='cuda:0'), tensor(0.6685, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
7,0.037525898441840316,1,"[tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
8,0.037500404657982295,1,"[tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
9,0.03747927771961436,1,"[tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
10,0.03746176411471868,1,"[tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
11,0.030783114616458277,6,"[tensor(0.2029, device='cuda:0'), tensor(0.2487, device='cuda:0'), tensor(0.2940, device='cuda:0'), tensor(0.3393, device='cuda:0'), tensor(0.4203, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
12,0.011135978995789796,30,"[tensor(0.0740, device='cuda:0'), tensor(0.1366, device='cuda:0'), tensor(0.1993, device='cuda:0'), tensor(0.2621, device='cuda:0'), tensor(0.3248, device='cuda:0'), tensor(0.3875, device='cuda:0'), tensor(0.5455, device='cuda:0'), tensor(0.5621, device='cuda:0'), tensor(0.5794, device='cuda:0'), tensor(0.5968, device='cuda:0'), tensor(0.6141, device='cuda:0'), tensor(0.6315, device='cuda:0'), tensor(0.6488, device='cuda:0'), tensor(0.6662, device='cuda:0'), tensor(0.6835, device='cuda:0'), tensor(0.6919, device='cuda:0'), tensor(0.7002, device='cuda:0'), tensor(0.7086, device='cuda:0'), tensor(0.7170, device='cuda:0'), tensor(0.7254, device='cuda:0'), tensor(0.7337, device='cuda:0'), tensor(0.7421, device='cuda:0'), tensor(0.7505, device='cuda:0'), tensor(0.7589, device='cuda:0'), tensor(0.7672, device='cuda:0'), tensor(0.7756, device='cuda:0'), tensor(0.7840, device='cuda:0'), tensor(0.7923, device='cuda:0'), tensor(0.8007, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
13,0.019910764466511778,17,"[tensor(0.0618, device='cuda:0'), tensor(0.0677, device='cuda:0'), tensor(0.1142, device='cuda:0'), tensor(0.1607, device='cuda:0'), tensor(0.2071, device='cuda:0'), tensor(0.2536, device='cuda:0'), tensor(0.3000, device='cuda:0'), tensor(0.3465, device='cuda:0'), tensor(0.5261, device='cuda:0'), tensor(0.5568, device='cuda:0'), tensor(0.5893, device='cuda:0'), tensor(0.6217, device='cuda:0'), tensor(0.6542, device='cuda:0'), tensor(0.6866, device='cuda:0'), tensor(0.7771, device='cuda:0'), tensor(0.8799, device='cuda:0'), tensor(1., device='cuda:0', grad_fn=<SelectBackward0>)]"
