1.0
 
[-1.08679964e-03 -1.99999690e+01],[ 3.80953676e-04 -2.00000183e+01],[-2.37318694e-03 -1.99999499e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.6640625  0.41395862]
[0.35       0.22914291],[0.75       0.26039288],[0.66406249 0.41390852]
[0.34999999 0.22907277],[0.75       0.26032274],[0.66406248 0.41383838]
[0.34999999 0.22898259],[0.75       0.26023256],[0.66406247 0.4137482 ]
[0.34999998 0.22887237],[0.75000001 0.26012234],[0.66406246 0.41363798]
[0.34999997 0.22874211],[0.75000001 0.25999208],[0.66406244 0.41350772]
[0.34999997 0.22859181],[0.75000001 0.25984178],[0.66406243 0.41335742]
[0.34999996 0.22842147],[0.75000002 0.25967144],[0.66406241 0.41318708]
[0.34999995 0.22823109],[0.75000002 0.25948106],[0.66406238 0.4129967 ]
[0.34999993 0.22802067],[0.75000002 0.25927063],[0.66406236 0.41278628]
[0.34999992 0.22779021],[0.75000003 0.25904017],[0.66406233 0.41255582]
[0.34999991 0.22753971],[0.75000003 0.25878967],[0.6640623  0.41230532]
[0.34999989 0.22726917],[0.75000004 0.25851913],[0.66406227 0.41203478]
[0.34999988 0.22697859],[0.75000004 0.25822855],[0.66406224 0.4117442 ]
[0.34999986 0.22666797],[0.75000005 0.25791793],[0.6640622  0.41143358]
[0.34999984 0.2263373 ],[0.75000005 0.25758727],[0.66406216 0.41110292]
[0.34999983 0.2259866 ],[0.75000006 0.25723657],[0.66406212 0.41075222]
[0.34999981 0.22561586],[0.75000007 0.25686582],[0.66406208 0.41038148]
[0.34999978 0.22522508],[0.75000008 0.25647504],[0.66406204 0.40999069]
[0.34999976 0.22481426],[0.75000008 0.25606422],[0.66406199 0.40957987]
[0.34999974 0.2243834 ],[0.75000009 0.25563336],[0.66406194 0.40914901]
[0.34999972 0.2239325 ],[0.7500001  0.25518246],[0.66406189 0.40869811]
[0.34999969 0.22346156],[0.75000011 0.25471152],[0.66406183 0.40822717]
[0.34999966 0.22297058],[0.75000012 0.25422053],[0.66406177 0.40773619]
[0.34999964 0.22245956],[0.75000013 0.25370951],[0.66406171 0.40722517]
[0.34999961 0.2219285 ],[0.75000014 0.25317845],[0.66406165 0.40669411]
[0.34999958 0.2213774 ],[0.75000015 0.25262735],[0.66406159 0.40614301]
[0.34999955 0.22080625],[0.75000016 0.2520562 ],[0.66406152 0.40557187]
[0.34999952 0.22021507],[0.75000017 0.25146502],[0.66406145 0.40498069]
[0.34999948 0.21960385],[0.75000018 0.2508538 ],[0.66406138 0.40436947]
[0.34999945 0.21897259],[0.75000019 0.25022254],[0.66406131 0.40373821]
[0.34999941 0.21832129],[0.7500002  0.24957123],[0.66406123 0.40308691]
[0.34999938 0.21764995],[0.75000022 0.24889989],[0.66406116 0.40241556]
[0.34999934 0.21695857],[0.75000023 0.24820851],[0.66406108 0.40172418]
[0.3499993  0.21624715],[0.75000024 0.24749708],[0.66406099 0.40101276]
[0.34999926 0.21551569],[0.75000026 0.24676562],[0.66406091 0.4002813 ]
[0.34999922 0.21476418],[0.75000027 0.24601412],[0.66406082 0.3995298 ]
[0.34999918 0.21399264],[0.75000029 0.24524258],[0.66406073 0.39875826]
[0.34999914 0.21320106],[0.7500003  0.24445099],[0.66406064 0.39796668]
[0.3499991  0.21238944],[0.75000032 0.24363937],[0.66406055 0.39715506]
[0.34999905 0.21155778],[0.75000033 0.2428077 ],[0.66406045 0.3963234 ]
[0.349999   0.21070608],[0.75000035 0.241956  ],[0.66406035 0.3954717 ]
[0.34999896 0.20983434],[0.75000036 0.24108426],[0.66406025 0.39459995]
[0.34999891 0.20894255],[0.75000038 0.24019247],[0.66406015 0.39370817]
