1.0
 
[-4.22681823e-03 -1.99982325e+01],[ 1.99277586e-03 -1.99982820e+01],[-1.58468533e-02 -1.99956695e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406243 0.41390854]
[0.34999997 0.22907278],[0.75000002 0.26032275],[0.66406237 0.41383841]
[0.34999995 0.22898261],[0.75000002 0.26023258],[0.6640623  0.41374825]
[0.34999992 0.2288724 ],[0.75000004 0.26012237],[0.66406222 0.41363806]
[0.3499999  0.22874215],[0.75000005 0.25999212],[0.66406211 0.41350782]
[0.34999986 0.22859186],[0.75000006 0.25984183],[0.66406199 0.41335756]
[0.34999983 0.22842154],[0.75000008 0.25967151],[0.66406186 0.41318725]
[0.34999979 0.22823118],[0.7500001  0.25948114],[0.66406171 0.41299691]
[0.34999974 0.22802077],[0.75000012 0.25927074],[0.66406154 0.41278654]
[0.3499997  0.22779033],[0.75000014 0.2590403 ],[0.66406136 0.41255613]
[0.34999964 0.22753985],[0.75000017 0.25878982],[0.66406116 0.41230568]
[0.34999959 0.22726934],[0.7500002 0.2585193],[0.66406095 0.4120352 ]
[0.34999952 0.22697878],[0.75000022 0.25822875],[0.66406072 0.41174468]
[0.34999946 0.22666819],[0.75000025 0.25791815],[0.66406047 0.41143413]
[0.34999939 0.22633756],[0.75000029 0.25758752],[0.66406021 0.41110354]
[0.34999932 0.22598689],[0.75000032 0.25723685],[0.66405994 0.41075291]
[0.34999924 0.22561618],[0.75000036 0.25686614],[0.66405964 0.41038225]
[0.34999916 0.22522543],[0.7500004  0.25647539],[0.66405934 0.40999155]
[0.34999907 0.22481465],[0.75000044 0.2560646 ],[0.66405901 0.40958082]
[0.34999898 0.22438382],[0.75000048 0.25563378],[0.66405867 0.40915005]
[0.34999888 0.22393296],[0.75000053 0.25518292],[0.66405831 0.40869925]
[0.34999878 0.22346206],[0.75000057 0.25471202],[0.66405794 0.40822841]
[0.34999868 0.22297112],[0.75000062 0.25422108],[0.66405755 0.40773753]
[0.34999857 0.22246015],[0.75000067 0.2537101 ],[0.66405715 0.40722662]
[0.34999846 0.22192913],[0.75000073 0.25317908],[0.66405673 0.40669567]
[0.34999834 0.22137808],[0.75000078 0.25262803],[0.6640563  0.40614469]
[0.34999822 0.22080699],[0.75000084 0.25205694],[0.66405585 0.40557367]
[0.3499981  0.22021586],[0.7500009 0.2514658],[0.66405538 0.40498262]
[0.34999797 0.21960469],[0.75000096 0.25085463],[0.6640549  0.40437153]
[0.34999784 0.21897348],[0.75000102 0.25022343],[0.6640544 0.4037404]
[0.3499977  0.21832224],[0.75000108 0.24957218],[0.66405388 0.40308924]
[0.34999756 0.21765095],[0.75000115 0.2489009 ],[0.66405335 0.40241804]
[0.34999741 0.21695963],[0.75000122 0.24820957],[0.66405281 0.40172681]
[0.34999726 0.21624827],[0.75000129 0.24749821],[0.66405225 0.40101554]
[0.34999711 0.21551688],[0.75000136 0.24676681],[0.66405167 0.40028424]
[0.34999695 0.21476544],[0.75000144 0.24601537],[0.66405107 0.3995329 ]
[0.34999679 0.21399397],[0.75000151 0.2452439 ],[0.66405047 0.39876152]
[0.34999662 0.21320245],[0.75000159 0.24445238],[0.66404984 0.39797011]
[0.34999645 0.2123909 ],[0.75000167 0.24364083],[0.6640492  0.39715866]
[0.34999628 0.21155931],[0.75000176 0.24280924],[0.66404854 0.39632718]
[0.3499961  0.21070769],[0.75000184 0.24195761],[0.66404787 0.39547566]
[0.34999591 0.20983602],[0.75000193 0.24108594],[0.66404718 0.39460411]
[0.34999572 0.20894432],[0.75000202 0.24019424],[0.66404648 0.39371252]
