1.0
 
[-9.25024039e-03 -1.99954541e+01],[ 4.57062197e-03 -1.99955045e+01],[ -0.03739407 -19.98882379]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406233 0.41390857]
[0.34999993 0.22907281],[0.75000004 0.26032278],[0.6640622  0.41383847]
[0.34999988 0.22898265],[0.75000006 0.26023262],[0.66406203 0.41374834]
[0.34999983 0.22887245],[0.75000008 0.26012242],[0.66406183 0.41363818]
[0.34999977 0.22874222],[0.75000011 0.25999219],[0.66406158 0.41350799]
[0.3499997  0.22859195],[0.75000015 0.25984192],[0.6640613  0.41335778]
[0.34999963 0.22842165],[0.75000019 0.25967162],[0.66406098 0.41318753]
[0.34999954 0.22823131],[0.75000023 0.25948128],[0.66406063 0.41299726]
[0.34999944 0.22802094],[0.75000028 0.25927091],[0.66406024 0.41278695]
[0.34999933 0.22779053],[0.75000033 0.2590405 ],[0.66405981 0.41255662]
[0.34999922 0.22754009],[0.75000039 0.25879005],[0.66405934 0.41230626]
[0.34999909 0.22726961],[0.75000045 0.25851957],[0.66405883 0.41203587]
[0.34999896 0.22697909],[0.75000051 0.25822906],[0.66405829 0.41174545]
[0.34999882 0.22666854],[0.75000059 0.25791851],[0.66405771 0.411435  ]
[0.34999866 0.22633796],[0.75000066 0.25758792],[0.66405709 0.41110453]
[0.3499985  0.22598734],[0.75000074 0.2572373 ],[0.66405644 0.41075402]
[0.34999833 0.22561668],[0.75000083 0.25686664],[0.66405575 0.41038349]
[0.34999815 0.22522599],[0.75000091 0.25647595],[0.66405502 0.40999292]
[0.34999796 0.22481526],[0.75000101 0.25606522],[0.66405425 0.40958233]
[0.34999776 0.2243845 ],[0.75000111 0.25563445],[0.66405345 0.40915171]
[0.34999755 0.2239337 ],[0.75000121 0.25518365],[0.6640526  0.40870106]
[0.34999733 0.22346286],[0.75000132 0.25471282],[0.66405172 0.40823038]
[0.34999711 0.22297199],[0.75000143 0.25422195],[0.66405081 0.40773968]
[0.34999687 0.22246109],[0.75000155 0.25371104],[0.66404985 0.40722894]
[0.34999663 0.22193015],[0.75000167 0.2531801 ],[0.66404886 0.40669817]
[0.34999637 0.22137917],[0.75000179 0.25262912],[0.66404783 0.40614738]
[0.34999611 0.22080816],[0.75000192 0.25205811],[0.66404677 0.40557656]
[0.34999583 0.22021711],[0.75000206 0.25146706],[0.66404566 0.4049857 ]
[0.34999555 0.21960603],[0.7500022  0.25085597],[0.66404452 0.40437482]
[0.34999526 0.21897491],[0.75000234 0.25022485],[0.66404334 0.40374391]
[0.34999496 0.21832375],[0.75000249 0.2495737 ],[0.66404213 0.40309298]
[0.34999465 0.21765256],[0.75000264 0.2489025 ],[0.66404087 0.40242201]
[0.34999433 0.21696134],[0.7500028  0.24821128],[0.66403958 0.40173101]
[0.349994   0.21625008],[0.75000296 0.24750002],[0.66403826 0.40101999]
[0.34999366 0.21551878],[0.75000313 0.24676872],[0.66403689 0.40028893]
[0.34999332 0.21476745],[0.7500033  0.24601738],[0.66403549 0.39953785]
[0.34999296 0.21399608],[0.75000348 0.24524601],[0.66403405 0.39876674]
[0.3499926  0.21320468],[0.75000366 0.24445461],[0.66403257 0.3979756 ]
[0.34999222 0.21239324],[0.75000384 0.24364317],[0.66403105 0.39716443]
[0.34999184 0.21156177],[0.75000403 0.24281169],[0.6640295  0.39633323]
[0.34999144 0.21071026],[0.75000423 0.24196018],[0.66402791 0.395482  ]
[0.34999104 0.20983871],[0.75000443 0.24108864],[0.66402628 0.39461075]
[0.34999063 0.20894713],[0.75000463 0.24019705],[0.66402462 0.39371946]
