1.0
 
[-4.47799752e-03 -1.99980935e+01],[ 2.12169872e-03 -1.99981431e+01],[-1.69245190e-02 -1.99953272e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406242 0.41390854]
[0.34999996 0.22907278],[0.75000002 0.26032275],[0.66406236 0.41383842]
[0.34999994 0.22898261],[0.75000003 0.26023258],[0.66406229 0.41374826]
[0.34999992 0.2288724 ],[0.75000004 0.26012237],[0.6640622  0.41363806]
[0.34999989 0.22874216],[0.75000005 0.25999212],[0.66406209 0.41350783]
[0.34999986 0.22859187],[0.75000007 0.25984184],[0.66406196 0.41335757]
[0.34999982 0.22842154],[0.75000009 0.25967151],[0.66406182 0.41318727]
[0.34999978 0.22823118],[0.75000011 0.25948115],[0.66406165 0.41299693]
[0.34999973 0.22802078],[0.75000013 0.25927075],[0.66406148 0.41278656]
[0.34999968 0.22779034],[0.75000015 0.25904031],[0.66406128 0.41255615]
[0.34999962 0.22753987],[0.75000018 0.25878983],[0.66406107 0.41230571]
[0.34999956 0.22726935],[0.75000021 0.25851932],[0.66406084 0.41203523]
[0.3499995 0.2269788],[0.75000024 0.25822876],[0.6640606  0.41174472]
[0.34999943 0.22666821],[0.75000027 0.25791817],[0.66406034 0.41143417]
[0.34999935 0.22633758],[0.75000031 0.25758754],[0.66406006 0.41110359]
[0.34999928 0.22598691],[0.75000034 0.25723687],[0.66405976 0.41075297]
[0.34999919 0.2256162 ],[0.75000038 0.25686616],[0.66405945 0.41038231]
[0.34999911 0.22522546],[0.75000042 0.25647542],[0.66405912 0.40999162]
[0.34999901 0.22481468],[0.75000047 0.25606464],[0.66405877 0.4095809 ]
[0.34999892 0.22438386],[0.75000051 0.25563381],[0.66405841 0.40915013]
[0.34999882 0.223933  ],[0.75000056 0.25518295],[0.66405803 0.40869934]
[0.34999871 0.2234621 ],[0.75000061 0.25471206],[0.66405763 0.40822851]
[0.3499986  0.22297117],[0.75000066 0.25422112],[0.66405722 0.40773764]
[0.34999849 0.22246019],[0.75000072 0.25371015],[0.66405679 0.40722674]
[0.34999837 0.22192918],[0.75000077 0.25317913],[0.66405634 0.4066958 ]
[0.34999825 0.22137813],[0.75000083 0.25262808],[0.66405587 0.40614483]
[0.34999812 0.22080705],[0.75000089 0.25205699],[0.66405539 0.40557382]
[0.34999799 0.22021592],[0.75000095 0.25146587],[0.66405489 0.40498277]
[0.34999785 0.21960476],[0.75000102 0.2508547 ],[0.66405438 0.40437169]
[0.34999771 0.21897355],[0.75000109 0.2502235 ],[0.66405384 0.40374058]
[0.34999756 0.21832231],[0.75000115 0.24957226],[0.6640533  0.40308943]
[0.34999741 0.21765104],[0.75000123 0.24890098],[0.66405273 0.40241824]
[0.34999726 0.21695972],[0.7500013  0.24820966],[0.66405215 0.40172702]
[0.3499971  0.21624836],[0.75000137 0.2474983 ],[0.66405155 0.40101576]
[0.34999694 0.21551697],[0.75000145 0.24676691],[0.66405093 0.40028447]
[0.34999677 0.21476554],[0.75000153 0.24601547],[0.6640503  0.39953314]
[0.3499966  0.21399407],[0.75000161 0.245244  ],[0.66404964 0.39876178]
[0.34999642 0.21320256],[0.7500017  0.24445249],[0.66404898 0.39797038]
[0.34999624 0.21239102],[0.75000178 0.24364095],[0.66404829 0.39715895]
[0.34999605 0.21155944],[0.75000187 0.24280936],[0.66404759 0.39632748]
[0.34999586 0.21070781],[0.75000196 0.24195774],[0.66404687 0.39547598]
[0.34999567 0.20983615],[0.75000205 0.24108608],[0.66404614 0.39460444]
[0.34999547 0.20894446],[0.75000215 0.24019438],[0.66404538 0.39371286]
