1.0
 
[-1.01292514e-02 -1.99949680e+01],[ 5.02176093e-03 -1.99950185e+01],[ -0.04116347 -19.98762605]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406242 0.41395864]
[0.34999995 0.22914293],[0.75000002 0.2603929 ],[0.66406231 0.41390858]
[0.34999992 0.22907281],[0.75000004 0.26032278],[0.66406217 0.41383848]
[0.34999987 0.22898265],[0.75000006 0.26023262],[0.66406199 0.41374835]
[0.34999982 0.22887246],[0.75000009 0.26012243],[0.66406176 0.4136382 ]
[0.34999975 0.22874223],[0.75000012 0.2599922 ],[0.66406149 0.41350802]
[0.34999968 0.22859197],[0.75000016 0.25984194],[0.66406118 0.41335781]
[0.34999959 0.22842167],[0.7500002  0.25967164],[0.66406083 0.41318758]
[0.34999949 0.22823134],[0.75000025 0.25948131],[0.66406044 0.41299732]
[0.34999939 0.22802097],[0.7500003  0.25927094],[0.66406001 0.41278703]
[0.34999927 0.22779057],[0.75000036 0.25904053],[0.66405953 0.41255671]
[0.34999914 0.22754013],[0.75000042 0.2587901 ],[0.66405902 0.41230636]
[0.34999901 0.22726966],[0.75000049 0.25851962],[0.66405846 0.41203599]
[0.34999886 0.22697915],[0.75000057 0.25822911],[0.66405787 0.41174559]
[0.3499987  0.22666861],[0.75000064 0.25791857],[0.66405723 0.41143516]
[0.34999854 0.22633803],[0.75000073 0.25758799],[0.66405655 0.4111047 ]
[0.34999836 0.22598742],[0.75000081 0.25723738],[0.66405583 0.41075422]
[0.34999817 0.22561677],[0.75000091 0.25686673],[0.66405506 0.4103837 ]
[0.34999797 0.22522609],[0.75000101 0.25647604],[0.66405426 0.40999316]
[0.34999776 0.22481537],[0.75000111 0.25606533],[0.66405342 0.4095826 ]
[0.34999755 0.22438461],[0.75000122 0.25563457],[0.66405253 0.409152  ]
[0.34999732 0.22393383],[0.75000133 0.25518378],[0.6640516  0.40870138]
[0.34999708 0.223463  ],[0.75000145 0.25471296],[0.66405064 0.40823073]
[0.34999683 0.22297214],[0.75000157 0.2542221 ],[0.66404963 0.40774005]
[0.34999657 0.22246125],[0.7500017 0.2537112],[0.66404858 0.40722934]
[0.34999631 0.22193032],[0.75000183 0.25318027],[0.66404749 0.40669861]
[0.34999603 0.22137936],[0.75000197 0.25262931],[0.66404635 0.40614785]
[0.34999574 0.22080836],[0.75000211 0.25205831],[0.66404518 0.40557706]
[0.34999544 0.22021733],[0.75000226 0.25146728],[0.66404396 0.40498624]
[0.34999513 0.21960626],[0.75000241 0.25085621],[0.66404271 0.4043754 ]
[0.34999481 0.21897516],[0.75000257 0.2502251 ],[0.66404141 0.40374453]
[0.34999448 0.21832402],[0.75000274 0.24957396],[0.66404007 0.40309363]
[0.34999414 0.21765285],[0.7500029  0.24890279],[0.66403869 0.4024227 ]
[0.34999379 0.21696164],[0.75000308 0.24821158],[0.66403727 0.40173175]
[0.34999343 0.21625039],[0.75000326 0.24750033],[0.66403581 0.40102076]
[0.34999306 0.21551912],[0.75000344 0.24676905],[0.6640343  0.40028975]
[0.34999268 0.2147678 ],[0.75000363 0.24601774],[0.66403276 0.39953872]
[0.34999229 0.21399645],[0.75000382 0.24524639],[0.66403117 0.39876765]
[0.34999189 0.21320507],[0.75000402 0.244455  ],[0.66402955 0.39797656]
[0.34999148 0.21239365],[0.75000422 0.24364358],[0.66402788 0.39716544]
[0.34999106 0.2115622 ],[0.75000443 0.24281212],[0.66402617 0.39633429]
[0.34999063 0.21071071],[0.75000465 0.24196063],[0.66402442 0.39548311]
[0.34999019 0.20983919],[0.75000486 0.24108911],[0.66402263 0.39461191]
[0.34998974 0.20894763],[0.75000509 0.24019755],[0.66402079 0.39372068]
