1.0
 
[-1.15105251e-02 -1.99942040e+01],[ 5.73057318e-03 -1.99942547e+01],[ -0.04708597 -19.98574405]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406241 0.41395865]
[0.34999995 0.22914294],[0.75000003 0.26039291],[0.66406229 0.41390858]
[0.34999991 0.22907282],[0.75000005 0.26032279],[0.66406212 0.41383849]
[0.34999986 0.22898266],[0.75000007 0.26023263],[0.66406191 0.41374838]
[0.34999979 0.22887247],[0.7500001  0.26012244],[0.66406165 0.41363824]
[0.34999972 0.22874225],[0.75000014 0.25999222],[0.66406135 0.41350807]
[0.34999963 0.22859199],[0.75000018 0.25984196],[0.66406099 0.41335787]
[0.34999953 0.2284217 ],[0.75000023 0.25967167],[0.66406059 0.41318766]
[0.34999942 0.22823138],[0.75000029 0.25948134],[0.66406014 0.41299741]
[0.3499993  0.22802102],[0.75000035 0.25927098],[0.66405965 0.41278714]
[0.34999917 0.22779062],[0.75000041 0.25904059],[0.66405911 0.41255684]
[0.34999903 0.2275402 ],[0.75000048 0.25879016],[0.66405852 0.41230652]
[0.34999887 0.22726973],[0.75000056 0.2585197 ],[0.66405788 0.41203617]
[0.3499987  0.22697924],[0.75000065 0.2582292 ],[0.6640572 0.4117458]
[0.34999853 0.2266687 ],[0.75000073 0.25791867],[0.66405647 0.4114354 ]
[0.34999834 0.22633814],[0.75000083 0.2575881 ],[0.66405569 0.41110497]
[0.34999813 0.22598754],[0.75000093 0.2572375 ],[0.66405487 0.41075452]
[0.34999792 0.22561691],[0.75000104 0.25686687],[0.66405399 0.41038404]
[0.3499977  0.22522624],[0.75000115 0.2564762 ],[0.66405307 0.40999354]
[0.34999746 0.22481554],[0.75000126 0.25606549],[0.66405211 0.40958301]
[0.34999721 0.2243848 ],[0.75000139 0.25563476],[0.6640511  0.40915246]
[0.34999695 0.22393403],[0.75000152 0.25518398],[0.66405004 0.40870188]
[0.34999668 0.22346322],[0.75000165 0.25471318],[0.66404893 0.40823127]
[0.3499964  0.22297238],[0.75000179 0.25422234],[0.66404777 0.40774064]
[0.34999611 0.22246151],[0.75000194 0.25371146],[0.66404657 0.40722998]
[0.3499958 0.2219306],[0.75000209 0.25318055],[0.66404532 0.4066993 ]
[0.34999548 0.22137966],[0.75000225 0.25262961],[0.66404403 0.40614859]
[0.34999516 0.22080868],[0.75000241 0.25205863],[0.66404268 0.40557785]
[0.34999482 0.22021767],[0.75000258 0.25146762],[0.66404129 0.40498709]
[0.34999446 0.21960663],[0.75000276 0.25085657],[0.66403986 0.40437631]
[0.3499941  0.21897555],[0.75000294 0.25022549],[0.66403837 0.40374549]
[0.34999373 0.21832444],[0.75000312 0.24957438],[0.66403684 0.40309466]
[0.34999334 0.21765329],[0.75000332 0.24890323],[0.66403526 0.40242379]
[0.34999294 0.21696211],[0.75000351 0.24821204],[0.66403364 0.4017329 ]
[0.34999253 0.21625089],[0.75000372 0.24750083],[0.66403196 0.40102199]
[0.34999211 0.21551964],[0.75000393 0.24676957],[0.66403024 0.40029104]
[0.34999168 0.21476835],[0.75000414 0.24601829],[0.66402847 0.39954008]
[0.34999124 0.21399704],[0.75000436 0.24524697],[0.66402666 0.39876908]
[0.34999078 0.21320568],[0.75000459 0.24445561],[0.6640248  0.39797807]
[0.34999032 0.21239429],[0.75000482 0.24364422],[0.66402289 0.39716702]
[0.34998984 0.21156287],[0.75000506 0.2428128 ],[0.66402093 0.39633595]
[0.34998935 0.21071142],[0.7500053  0.24196134],[0.66401893 0.39548485]
[0.34998885 0.20983993],[0.75000555 0.24108985],[0.66401688 0.39461373]
[0.34998833 0.2089484 ],[0.75000581 0.24019832],[0.66401478 0.39372258]
