1.0
 
[-9.75251800e-03 -1.99951763e+01],[ 4.82846630e-03 -1.99952268e+01],[ -0.03954807 -19.98813936]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406242 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406232 0.41390857]
[0.34999992 0.22907281],[0.75000004 0.26032278],[0.66406218 0.41383847]
[0.34999988 0.22898265],[0.75000006 0.26023262],[0.66406201 0.41374835]
[0.34999982 0.22887246],[0.75000009 0.26012242],[0.66406179 0.41363819]
[0.34999976 0.22874223],[0.75000012 0.2599922 ],[0.66406153 0.41350801]
[0.34999969 0.22859196],[0.75000015 0.25984193],[0.66406123 0.4133578 ]
[0.3499996  0.22842166],[0.7500002  0.25967163],[0.6640609  0.41318756]
[0.34999951 0.22823133],[0.75000024 0.2594813 ],[0.66406052 0.41299729]
[0.34999941 0.22802096],[0.75000029 0.25927093],[0.66406011 0.41278699]
[0.3499993  0.22779055],[0.75000035 0.25904052],[0.66405965 0.41255667]
[0.34999918 0.22754011],[0.75000041 0.25879008],[0.66405916 0.41230632]
[0.34999904 0.22726964],[0.75000047 0.2585196 ],[0.66405862 0.41203594]
[0.3499989  0.22697913],[0.75000054 0.25822909],[0.66405805 0.41174553]
[0.34999875 0.22666858],[0.75000062 0.25791854],[0.66405743 0.41143509]
[0.34999859 0.226338  ],[0.7500007  0.25758796],[0.66405678 0.41110463]
[0.34999842 0.22598738],[0.75000078 0.25723734],[0.66405609 0.41075413]
[0.34999824 0.22561673],[0.75000087 0.25686669],[0.66405536 0.41038361]
[0.34999805 0.22522604],[0.75000097 0.256476  ],[0.66405459 0.40999306]
[0.34999785 0.22481532],[0.75000107 0.25606528],[0.66405377 0.40958248]
[0.34999764 0.22438456],[0.75000117 0.25563452],[0.66405292 0.40915188]
[0.34999742 0.22393377],[0.75000128 0.25518373],[0.66405203 0.40870124]
[0.34999719 0.22346294],[0.75000139 0.2547129 ],[0.6640511  0.40823058]
[0.34999695 0.22297208],[0.75000151 0.25422203],[0.66405013 0.40773989]
[0.3499967  0.22246118],[0.75000163 0.25371113],[0.66404912 0.40722917]
[0.34999644 0.22193025],[0.75000176 0.2531802 ],[0.66404808 0.40669842]
[0.34999617 0.22137928],[0.75000189 0.25262923],[0.66404699 0.40614765]
[0.3499959  0.22080827],[0.75000203 0.25205822],[0.66404586 0.40557684]
[0.34999561 0.22021723],[0.75000217 0.25146718],[0.66404469 0.40498601]
[0.34999531 0.21960616],[0.75000232 0.25085611],[0.66404349 0.40437515]
[0.349995   0.21897505],[0.75000247 0.25022499],[0.66404224 0.40374427]
[0.34999469 0.21832391],[0.75000263 0.24957385],[0.66404095 0.40309335]
[0.34999436 0.21765272],[0.75000279 0.24890267],[0.66403963 0.4024224 ]
[0.34999402 0.21696151],[0.75000296 0.24821145],[0.66403826 0.40173143]
[0.34999368 0.21625026],[0.75000313 0.2475002 ],[0.66403686 0.40102043]
[0.34999332 0.21551897],[0.75000331 0.24676891],[0.66403541 0.4002894 ]
[0.34999295 0.21476765],[0.75000349 0.24601758],[0.66403393 0.39953834]
[0.34999258 0.21399629],[0.75000367 0.24524623],[0.6640324  0.39876726]
[0.34999219 0.2132049 ],[0.75000387 0.24445483],[0.66403084 0.39797615]
[0.3499918  0.21239348],[0.75000406 0.2436434 ],[0.66402924 0.397165  ]
[0.34999139 0.21156201],[0.75000426 0.24281194],[0.6640276  0.39633383]
[0.34999098 0.21071052],[0.75000447 0.24196044],[0.66402591 0.39548264]
[0.34999055 0.20983898],[0.75000468 0.2410889 ],[0.66402419 0.39461141]
[0.34999012 0.20894742],[0.75000489 0.24019733],[0.66402243 0.39372015]
