1.0
 
[-1.96605010e-03 -1.99994828e+01],[ 8.32389001e-04 -1.99995320e+01],[-6.14627272e-03 -1.99987511e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406247 0.41390853]
[0.34999998 0.22907277],[0.75000001 0.26032274],[0.66406245 0.41383839]
[0.34999998 0.2289826 ],[0.75000001 0.26023257],[0.66406242 0.41374821]
[0.34999996 0.22887238],[0.75000001 0.26012235],[0.66406239 0.413638  ]
[0.34999995 0.22874212],[0.75000002 0.25999209],[0.66406235 0.41350775]
[0.34999994 0.22859182],[0.75000003 0.25984179],[0.6640623  0.41335746]
[0.34999992 0.22842149],[0.75000003 0.25967146],[0.66406225 0.41318713]
[0.3499999  0.22823111],[0.75000004 0.25948108],[0.66406219 0.41299676]
[0.34999988 0.2280207 ],[0.75000005 0.25927066],[0.66406213 0.41278635]
[0.34999986 0.22779024],[0.75000006 0.25904021],[0.66406206 0.4125559 ]
[0.34999983 0.22753975],[0.75000007 0.25878971],[0.66406198 0.41230542]
[0.34999981 0.22726921],[0.75000008 0.25851918],[0.6640619 0.4120349]
[0.34999978 0.22697864],[0.75000009 0.25822861],[0.66406181 0.41174433]
[0.34999975 0.22666803],[0.75000011 0.25791799],[0.66406172 0.41143373]
[0.34999972 0.22633738],[0.75000012 0.25758734],[0.66406162 0.41110309]
[0.34999968 0.22598668],[0.75000013 0.25723665],[0.66406151 0.41075241]
[0.34999965 0.22561595],[0.75000015 0.25686591],[0.6640614  0.41038169]
[0.34999961 0.22522518],[0.75000017 0.25647514],[0.66406128 0.40999093]
[0.34999957 0.22481437],[0.75000018 0.25606433],[0.66406115 0.40958014]
[0.34999953 0.22438352],[0.7500002  0.25563348],[0.66406102 0.4091493 ]
[0.34999948 0.22393263],[0.75000022 0.25518259],[0.66406089 0.40869843]
[0.34999944 0.2234617 ],[0.75000024 0.25471166],[0.66406074 0.40822752]
[0.34999939 0.22297073],[0.75000026 0.25422069],[0.66406059 0.40773657]
[0.34999934 0.22245972],[0.75000028 0.25370968],[0.66406044 0.40722558]
[0.34999929 0.22192867],[0.7500003  0.25317863],[0.66406027 0.40669455]
[0.34999923 0.22137759],[0.75000032 0.25262754],[0.66406011 0.40614348]
[0.34999918 0.22080646],[0.75000035 0.25205641],[0.66405993 0.40557237]
[0.34999912 0.22021529],[0.75000037 0.25146524],[0.66405975 0.40498123]
[0.34999906 0.21960409],[0.7500004  0.25085403],[0.66405957 0.40437004]
[0.349999   0.21897284],[0.75000042 0.25022279],[0.66405937 0.40373882]
[0.34999893 0.21832156],[0.75000045 0.2495715 ],[0.66405918 0.40308756]
[0.34999887 0.21765023],[0.75000048 0.24890017],[0.66405897 0.40241626]
[0.3499988  0.21695887],[0.75000051 0.24820881],[0.66405876 0.40172492]
[0.34999873 0.21624746],[0.75000054 0.2474974 ],[0.66405854 0.40101354]
[0.34999866 0.21551602],[0.75000057 0.24676596],[0.66405832 0.40028212]
[0.34999859 0.21476454],[0.7500006  0.24601447],[0.66405809 0.39953067]
[0.34999851 0.21399301],[0.75000063 0.24524295],[0.66405786 0.39875917]
[0.34999843 0.21320145],[0.75000066 0.24445138],[0.66405762 0.39796764]
[0.34999835 0.21238985],[0.7500007  0.24363978],[0.66405737 0.39715607]
[0.34999827 0.21155821],[0.75000073 0.24280813],[0.66405712 0.39632446]
[0.34999819 0.21070653],[0.75000077 0.24195645],[0.66405686 0.39547281]
[0.34999811 0.20983481],[0.7500008  0.24108473],[0.66405659 0.39460112]
[0.34999802 0.20894305],[0.75000084 0.24019297],[0.66405632 0.39370939]
