1.0
 
[-1.30172845e-02 -1.99933706e+01],[ 6.50380257e-03 -1.99934216e+01],[ -0.05354576 -19.98369118]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406247 0.41398869]
[0.34999997 0.22919302],[0.75000001 0.26044299],[0.66406239 0.41395865]
[0.34999994 0.22914294],[0.75000003 0.26039291],[0.66406226 0.41390859]
[0.3499999  0.22907282],[0.75000005 0.26032279],[0.66406207 0.41383851]
[0.34999984 0.22898267],[0.75000008 0.26023264],[0.66406183 0.4137484 ]
[0.34999977 0.22887249],[0.75000012 0.26012246],[0.66406154 0.41363827]
[0.34999968 0.22874227],[0.75000016 0.25999224],[0.66406119 0.41350812]
[0.34999958 0.22859202],[0.75000021 0.25984199],[0.66406078 0.41335794]
[0.34999947 0.22842174],[0.75000026 0.2596717 ],[0.66406033 0.41318774]
[0.34999935 0.22823142],[0.75000033 0.25948139],[0.66405982 0.41299751]
[0.34999921 0.22802107],[0.75000039 0.25927103],[0.66405926 0.41278726]
[0.34999906 0.22779068],[0.75000047 0.25904065],[0.66405864 0.41255699]
[0.3499989  0.22754027],[0.75000055 0.25879023],[0.66405797 0.41230669]
[0.34999872 0.22726981],[0.75000064 0.25851978],[0.66405725 0.41203637]
[0.34999853 0.22697933],[0.75000073 0.25822929],[0.66405647 0.41174603]
[0.34999833 0.22666881],[0.75000083 0.25791878],[0.66405564 0.41143566]
[0.34999812 0.22633826],[0.75000094 0.25758822],[0.66405475 0.41110527]
[0.34999789 0.22598768],[0.75000105 0.25723764],[0.66405382 0.41075485]
[0.34999765 0.22561706],[0.75000118 0.25686702],[0.66405283 0.41038442]
[0.34999739 0.22522641],[0.7500013  0.25647636],[0.66405178 0.40999395]
[0.34999713 0.22481572],[0.75000144 0.25606568],[0.66405068 0.40958347]
[0.34999685 0.224385  ],[0.75000158 0.25563496],[0.66404953 0.40915296]
[0.34999655 0.22393425],[0.75000172 0.25518421],[0.66404832 0.40870242]
[0.34999625 0.22346346],[0.75000187 0.25471342],[0.66404706 0.40823186]
[0.34999593 0.22297264],[0.75000203 0.2542226 ],[0.66404575 0.40774128]
[0.3499956  0.22246179],[0.7500022  0.25371175],[0.66404438 0.40723068]
[0.34999525 0.22193091],[0.75000237 0.25318086],[0.66404296 0.40670005]
[0.34999489 0.22137999],[0.75000255 0.25262994],[0.66404149 0.4061494 ]
[0.34999452 0.22080904],[0.75000274 0.25205898],[0.66403996 0.40557872]
[0.34999414 0.22021805],[0.75000293 0.251468  ],[0.66403838 0.40498802]
[0.34999374 0.21960703],[0.75000313 0.25085698],[0.66403675 0.40437729]
[0.34999333 0.21897598],[0.75000333 0.25022592],[0.66403506 0.40374655]
[0.3499929  0.21832489],[0.75000354 0.24957483],[0.66403332 0.40309578]
[0.34999247 0.21765377],[0.75000376 0.24890371],[0.66403152 0.40242498]
[0.34999202 0.21696262],[0.75000399 0.24821256],[0.66402967 0.40173416]
[0.34999156 0.21625143],[0.75000422 0.24750137],[0.66402777 0.40102332]
[0.34999108 0.21552021],[0.75000446 0.24677015],[0.66402581 0.40029245]
[0.34999059 0.21476896],[0.7500047  0.24601889],[0.6640238  0.39954156]
[0.34999009 0.21399767],[0.75000495 0.2452476 ],[0.66402174 0.39877065]
[0.34998958 0.21320635],[0.75000521 0.24445628],[0.66401962 0.39797971]
[0.34998905 0.212395  ],[0.75000547 0.24364492],[0.66401745 0.39716875]
[0.34998851 0.21156361],[0.75000574 0.24281353],[0.66401523 0.39633777]
[0.34998795 0.21071219],[0.75000602 0.24196211],[0.66401295 0.39548676]
[0.34998739 0.20984074],[0.7500063  0.24109066],[0.66401062 0.39461572]
[0.34998681 0.20894925],[0.75000659 0.24019917],[0.66400823 0.39372467]
