1.0
 
[-6.98979331e-03 -1.99967044e+01],[ 3.41065467e-03 -1.99967543e+01],[ -0.02769946 -19.99190405]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406244 0.41395864]
[0.34999997 0.22914292],[0.75000002 0.26039289],[0.66406238 0.41390856]
[0.34999994 0.2290728 ],[0.75000003 0.26032277],[0.66406228 0.41383844]
[0.34999991 0.22898263],[0.75000004 0.2602326 ],[0.66406215 0.4137483 ]
[0.34999987 0.22887243],[0.75000006 0.2601224 ],[0.664062   0.41363812]
[0.34999983 0.22874219],[0.75000008 0.25999216],[0.66406182 0.41350792]
[0.34999978 0.22859191],[0.75000011 0.25984188],[0.66406161 0.41335768]
[0.34999972 0.2284216 ],[0.75000014 0.25967157],[0.66406138 0.41318741]
[0.34999965 0.22823125],[0.75000017 0.25948122],[0.66406111 0.4129971 ]
[0.34999958 0.22802087],[0.75000021 0.25927083],[0.66406082 0.41278677]
[0.3499995  0.22779044],[0.75000025 0.25904041],[0.66406051 0.4125564 ]
[0.34999941 0.22753998],[0.75000029 0.25878995],[0.66406016 0.412306  ]
[0.34999931 0.22726949],[0.75000033 0.25851945],[0.66405979 0.41203557]
[0.34999921 0.22697895],[0.75000038 0.25822892],[0.66405938 0.4117451 ]
[0.34999911 0.22666838],[0.75000044 0.25791835],[0.66405895 0.41143461]
[0.34999899 0.22633778],[0.75000049 0.25758774],[0.6640585  0.41110408]
[0.34999887 0.22598713],[0.75000055 0.2572371 ],[0.66405801 0.41075352]
[0.34999874 0.22561645],[0.75000062 0.25686641],[0.6640575  0.41038293]
[0.3499986  0.22522574],[0.75000068 0.2564757 ],[0.66405696 0.40999231]
[0.34999846 0.22481498],[0.75000075 0.25606494],[0.66405639 0.40958165]
[0.34999831 0.22438419],[0.75000083 0.25563415],[0.6640558  0.40915096]
[0.34999815 0.22393337],[0.7500009  0.25518332],[0.66405517 0.40870025]
[0.34999799 0.2234625 ],[0.75000098 0.25471246],[0.66405452 0.40822949]
[0.34999782 0.2229716 ],[0.75000107 0.25422156],[0.66405384 0.40773871]
[0.34999764 0.22246066],[0.75000115 0.25371062],[0.66405314 0.4072279 ]
[0.34999745 0.22192969],[0.75000124 0.25317964],[0.6640524  0.40669705]
[0.34999726 0.22137868],[0.75000134 0.25262863],[0.66405164 0.40614617]
[0.34999706 0.22080763],[0.75000143 0.25205758],[0.66405085 0.40557526]
[0.34999685 0.22021655],[0.75000153 0.25146649],[0.66405003 0.40498432]
[0.34999664 0.21960542],[0.75000164 0.25085537],[0.66404919 0.40437334]
[0.34999642 0.21897427],[0.75000175 0.25022421],[0.66404832 0.40374233]
[0.34999619 0.21832307],[0.75000186 0.24957301],[0.66404742 0.4030913 ]
[0.34999596 0.21765184],[0.75000197 0.24890178],[0.66404649 0.40242022]
[0.34999572 0.21696057],[0.75000209 0.24821051],[0.66404553 0.40172912]
[0.34999547 0.21624927],[0.75000221 0.2474992 ],[0.66404455 0.40101799]
[0.34999521 0.21551792],[0.75000233 0.24676786],[0.66404354 0.40028682]
[0.34999495 0.21476655],[0.75000246 0.24601648],[0.6640425  0.39953562]
[0.34999468 0.21399513],[0.75000259 0.24524506],[0.66404143 0.39876439]
[0.34999441 0.21320368],[0.75000273 0.24445361],[0.66404034 0.39797313]
[0.34999412 0.21239219],[0.75000287 0.24364212],[0.66403922 0.39716183]
[0.34999383 0.21156066],[0.75000301 0.24281059],[0.66403807 0.39633051]
[0.34999354 0.2107091 ],[0.75000315 0.24195902],[0.66403689 0.39547915]
[0.34999323 0.2098375 ],[0.7500033  0.24108742],[0.66403569 0.39460776]
[0.34999292 0.20894587],[0.75000345 0.24019578],[0.66403445 0.39371634]
