1.0
 
[-4.35239992e-03 -1.99981630e+01],[ 2.05725091e-03 -1.99982125e+01],[-1.63856791e-02 -1.99954983e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406243 0.41390854]
[0.34999997 0.22907278],[0.75000002 0.26032275],[0.66406237 0.41383842]
[0.34999995 0.22898261],[0.75000003 0.26023258],[0.6640623  0.41374826]
[0.34999992 0.2288724 ],[0.75000004 0.26012237],[0.66406221 0.41363806]
[0.34999989 0.22874215],[0.75000005 0.25999212],[0.6640621  0.41350783]
[0.34999986 0.22859187],[0.75000007 0.25984184],[0.66406198 0.41335756]
[0.34999982 0.22842154],[0.75000008 0.25967151],[0.66406184 0.41318726]
[0.34999978 0.22823118],[0.7500001  0.25948115],[0.66406168 0.41299692]
[0.34999974 0.22802078],[0.75000012 0.25927074],[0.66406151 0.41278655]
[0.34999969 0.22779034],[0.75000015 0.2590403 ],[0.66406132 0.41255614]
[0.34999963 0.22753986],[0.75000017 0.25878983],[0.66406112 0.41230569]
[0.34999957 0.22726934],[0.7500002  0.25851931],[0.6640609  0.41203521]
[0.34999951 0.22697879],[0.75000023 0.25822875],[0.66406066 0.4117447 ]
[0.34999944 0.2266682 ],[0.75000026 0.25791816],[0.66406041 0.41143415]
[0.34999937 0.22633757],[0.7500003  0.25758753],[0.66406014 0.41110356]
[0.3499993 0.2259869],[0.75000033 0.25723686],[0.66405985 0.41075294]
[0.34999922 0.22561619],[0.75000037 0.25686615],[0.66405955 0.41038228]
[0.34999913 0.22522544],[0.75000041 0.2564754 ],[0.66405923 0.40999159]
[0.34999904 0.22481466],[0.75000045 0.25606462],[0.66405889 0.40958086]
[0.34999895 0.22438384],[0.7500005 0.2556338],[0.66405854 0.40915009]
[0.34999885 0.22393298],[0.75000054 0.25518294],[0.66405817 0.40869929]
[0.34999875 0.22346208],[0.75000059 0.25471204],[0.66405779 0.40822846]
[0.34999864 0.22297114],[0.75000064 0.2542211 ],[0.66405739 0.40773759]
[0.34999853 0.22246017],[0.75000069 0.25371012],[0.66405697 0.40722668]
[0.34999841 0.22192916],[0.75000075 0.25317911],[0.66405654 0.40669574]
[0.3499983  0.22137811],[0.75000081 0.25262806],[0.66405609 0.40614476]
[0.34999817 0.22080702],[0.75000086 0.25205696],[0.66405562 0.40557374]
[0.34999804 0.22021589],[0.75000092 0.25146584],[0.66405514 0.4049827 ]
[0.34999791 0.21960472],[0.75000099 0.25085467],[0.66405464 0.40437161]
[0.34999777 0.21897352],[0.75000105 0.25022346],[0.66405412 0.40374049]
[0.34999763 0.21832228],[0.75000112 0.24957222],[0.66405359 0.40308933]
[0.34999749 0.217651  ],[0.75000119 0.24890094],[0.66405304 0.40241814]
[0.34999734 0.21695968],[0.75000126 0.24820962],[0.66405248 0.40172692]
[0.34999718 0.21624832],[0.75000133 0.24749826],[0.6640519  0.40101565]
[0.34999702 0.21551692],[0.75000141 0.24676686],[0.6640513  0.40028435]
[0.34999686 0.21476549],[0.75000148 0.24601542],[0.66405068 0.39953302]
[0.34999669 0.21399402],[0.75000156 0.24524395],[0.66405005 0.39876165]
[0.34999652 0.21320251],[0.75000164 0.24445244],[0.66404941 0.39797025]
[0.34999635 0.21239096],[0.75000173 0.24364089],[0.66404875 0.39715881]
[0.34999616 0.21155937],[0.75000181 0.2428093 ],[0.66404807 0.39632733]
[0.34999598 0.21070775],[0.7500019  0.24195767],[0.66404737 0.39547582]
[0.34999579 0.20983609],[0.75000199 0.24108601],[0.66404666 0.39460427]
[0.3499956  0.20894439],[0.75000208 0.24019431],[0.66404593 0.39371269]
