1.0
 
[-1.33801229e-03 -1.99998301e+01],[ 5.09945108e-04 -1.99998794e+01],[-3.45125020e-03 -1.99996074e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406248 0.41390852]
[0.34999999 0.22907277],[0.75       0.26032274],[0.66406247 0.41383838]
[0.34999998 0.22898259],[0.75000001 0.26023256],[0.66406246 0.4137482 ]
[0.34999998 0.22887237],[0.75000001 0.26012234],[0.66406244 0.41363799]
[0.34999997 0.22874211],[0.75000001 0.25999208],[0.66406242 0.41350773]
[0.34999996 0.22859181],[0.75000002 0.25984178],[0.66406239 0.41335743]
[0.34999995 0.22842147],[0.75000002 0.25967144],[0.66406236 0.41318709]
[0.34999993 0.2282311 ],[0.75000003 0.25948106],[0.66406233 0.41299672]
[0.34999992 0.22802068],[0.75000003 0.25927064],[0.66406229 0.4127863 ]
[0.3499999  0.22779022],[0.75000004 0.25904018],[0.66406225 0.41255584]
[0.34999989 0.22753972],[0.75000004 0.25878968],[0.66406221 0.41230535]
[0.34999987 0.22726918],[0.75000005 0.25851915],[0.66406217 0.41203481]
[0.34999985 0.2269786 ],[0.75000006 0.25822857],[0.66406212 0.41174424]
[0.34999983 0.22666798],[0.75000006 0.25791795],[0.66406206 0.41143362]
[0.34999981 0.22633732],[0.75000007 0.25758729],[0.66406201 0.41110297]
[0.34999978 0.22598663],[0.75000008 0.25723659],[0.66406195 0.41075227]
[0.34999976 0.22561589],[0.75000009 0.25686585],[0.66406189 0.41038154]
[0.34999973 0.22522511],[0.7500001  0.25647507],[0.66406182 0.40999076]
[0.34999971 0.22481429],[0.75000011 0.25606425],[0.66406175 0.40957995]
[0.34999968 0.22438343],[0.75000012 0.25563339],[0.66406168 0.4091491 ]
[0.34999965 0.22393254],[0.75000013 0.25518249],[0.6640616 0.4086982]
[0.34999962 0.2234616 ],[0.75000015 0.25471156],[0.66406152 0.40822727]
[0.34999958 0.22297062],[0.75000016 0.25422058],[0.66406144 0.4077363 ]
[0.34999955 0.2224596 ],[0.75000017 0.25370956],[0.66406135 0.40722529]
[0.34999952 0.22192855],[0.75000018 0.2531785 ],[0.66406126 0.40669424]
[0.34999948 0.22137745],[0.7500002 0.2526274],[0.66406117 0.40614314]
[0.34999944 0.22080631],[0.75000021 0.25205626],[0.66406107 0.40557201]
[0.3499994  0.22021514],[0.75000023 0.25146508],[0.66406097 0.40498084]
[0.34999936 0.21960392],[0.75000024 0.25085387],[0.66406086 0.40436963]
[0.34999932 0.21897266],[0.75000026 0.25022261],[0.66406076 0.40373838]
[0.34999928 0.21832137],[0.75000027 0.24957131],[0.66406065 0.40308709]
[0.34999923 0.21765003],[0.75000029 0.24889997],[0.66406053 0.40241576]
[0.34999919 0.21695865],[0.75000031 0.24820859],[0.66406041 0.40172439]
[0.34999914 0.21624724],[0.75000033 0.24749717],[0.66406029 0.40101298]
[0.34999909 0.21551578],[0.75000035 0.24676572],[0.66406017 0.40028154]
[0.34999904 0.21476428],[0.75000036 0.24601422],[0.66406004 0.39953005]
[0.34999899 0.21399275],[0.75000038 0.24524268],[0.66405991 0.39875852]
[0.34999894 0.21320117],[0.7500004 0.2444511],[0.66405978 0.39796695]
[0.34999888 0.21238956],[0.75000042 0.24363949],[0.66405964 0.39715535]
[0.34999883 0.2115579 ],[0.75000044 0.24280783],[0.6640595 0.3963237]
[0.34999877 0.21070621],[0.75000047 0.24195613],[0.66405935 0.39547201]
[0.34999871 0.20983447],[0.75000049 0.24108439],[0.6640592  0.39460029]
[0.34999866 0.20894269],[0.75000051 0.24019261],[0.66405905 0.39370852]
