1.0
 
[-3.59885169e-03 -1.99985798e+01],[ 1.67045895e-03 -1.99986292e+01],[-1.31525179e-02 -1.99965254e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406244 0.41390854]
[0.34999997 0.22907278],[0.75000001 0.26032275],[0.6640624  0.41383841]
[0.34999996 0.22898261],[0.75000002 0.26023258],[0.66406234 0.41374824]
[0.34999994 0.22887239],[0.75000003 0.26012236],[0.66406226 0.41363804]
[0.34999991 0.22874214],[0.75000004 0.25999211],[0.66406218 0.4135078 ]
[0.34999989 0.22859185],[0.75000005 0.25984182],[0.66406208 0.41335753]
[0.34999985 0.22842152],[0.75000007 0.25967149],[0.66406197 0.41318722]
[0.34999982 0.22823116],[0.75000008 0.25948113],[0.66406184 0.41299687]
[0.34999978 0.22802075],[0.7500001  0.25927072],[0.66406171 0.41278649]
[0.34999974 0.22779031],[0.75000012 0.25904027],[0.66406156 0.41255607]
[0.3499997  0.22753982],[0.75000014 0.25878979],[0.66406139 0.41230561]
[0.34999965 0.2272693 ],[0.75000016 0.25851927],[0.66406121 0.41203511]
[0.3499996  0.22697874],[0.75000019 0.25822871],[0.66406102 0.41174458]
[0.34999954 0.22666814],[0.75000021 0.25791811],[0.66406082 0.41143402]
[0.34999948 0.22633751],[0.75000024 0.25758747],[0.6640606  0.41110341]
[0.34999942 0.22598683],[0.75000027 0.25723679],[0.66406037 0.41075277]
[0.34999935 0.22561611],[0.7500003  0.25686608],[0.66406013 0.41038209]
[0.34999928 0.22522536],[0.75000033 0.25647532],[0.66405988 0.40999138]
[0.34999921 0.22481457],[0.75000037 0.25606453],[0.66405961 0.40958063]
[0.34999913 0.22438374],[0.7500004 0.2556337],[0.66405932 0.40914984]
[0.34999905 0.22393287],[0.75000044 0.25518283],[0.66405903 0.40869902]
[0.34999897 0.22346196],[0.75000048 0.25471192],[0.66405872 0.40822816]
[0.34999888 0.22297101],[0.75000052 0.25422097],[0.6640584  0.40773726]
[0.34999879 0.22246003],[0.75000056 0.25370998],[0.66405806 0.40722633]
[0.34999869 0.221929  ],[0.75000061 0.25317896],[0.66405772 0.40669536]
[0.34999859 0.22137794],[0.75000065 0.25262789],[0.66405736 0.40614435]
[0.34999849 0.22080684],[0.7500007  0.25205679],[0.66405698 0.40557331]
[0.34999838 0.2202157 ],[0.75000075 0.25146565],[0.66405659 0.40498223]
[0.34999827 0.21960452],[0.7500008  0.25085447],[0.66405619 0.40437112]
[0.34999816 0.2189733 ],[0.75000085 0.25022325],[0.66405578 0.40373996]
[0.34999804 0.21832205],[0.75000091 0.24957199],[0.66405535 0.40308877]
[0.34999792 0.21765075],[0.75000096 0.2489007 ],[0.66405491 0.40241755]
[0.3499978  0.21695942],[0.75000102 0.24820936],[0.66405446 0.40172629]
[0.34999767 0.21624805],[0.75000108 0.24749799],[0.664054   0.40101499]
[0.34999754 0.21551664],[0.75000114 0.24676657],[0.66405352 0.40028365]
[0.34999741 0.21476519],[0.7500012  0.24601512],[0.66405302 0.39953228]
[0.34999727 0.2139937 ],[0.75000127 0.24524363],[0.66405252 0.39876087]
[0.34999713 0.21320217],[0.75000133 0.24445211],[0.664052   0.39796942]
[0.34999698 0.21239061],[0.7500014  0.24364054],[0.66405147 0.39715794]
[0.34999683 0.21155901],[0.75000147 0.24280893],[0.66405092 0.39632642]
[0.34999668 0.21070736],[0.75000154 0.24195729],[0.66405037 0.39547487]
[0.34999652 0.20983568],[0.75000161 0.2410856 ],[0.6640498  0.39460328]
[0.34999636 0.20894396],[0.75000169 0.24019388],[0.66404921 0.39371165]
