1.0
 
[-1.28917364e-02 -1.99934400e+01],[ 6.4393442e-03 -1.9993491e+01],[ -0.0530075  -19.98386225]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406247 0.41398869]
[0.34999997 0.22919302],[0.75000001 0.26044299],[0.66406239 0.41395865]
[0.34999994 0.22914294],[0.75000003 0.26039291],[0.66406226 0.41390859]
[0.3499999  0.22907282],[0.75000005 0.26032279],[0.66406208 0.41383851]
[0.34999984 0.22898267],[0.75000008 0.26023264],[0.66406184 0.4137484 ]
[0.34999977 0.22887249],[0.75000012 0.26012246],[0.66406154 0.41363827]
[0.34999968 0.22874227],[0.75000016 0.25999224],[0.6640612  0.41350811]
[0.34999959 0.22859202],[0.75000021 0.25984199],[0.6640608  0.41335793]
[0.34999948 0.22842173],[0.75000026 0.2596717 ],[0.66406035 0.41318773]
[0.34999935 0.22823142],[0.75000032 0.25948138],[0.66405985 0.4129975 ]
[0.34999922 0.22802106],[0.75000039 0.25927103],[0.66405929 0.41278725]
[0.34999907 0.22779068],[0.75000046 0.25904064],[0.66405868 0.41255698]
[0.34999891 0.22754026],[0.75000054 0.25879023],[0.66405802 0.41230668]
[0.34999874 0.22726981],[0.75000063 0.25851977],[0.6640573  0.41203636]
[0.34999855 0.22697932],[0.75000073 0.25822929],[0.66405653 0.41174601]
[0.34999835 0.2266688 ],[0.75000083 0.25791877],[0.66405571 0.41143564]
[0.34999814 0.22633825],[0.75000093 0.25758821],[0.66405483 0.41110525]
[0.34999791 0.22598766],[0.75000104 0.25723763],[0.6640539  0.41075483]
[0.34999767 0.22561704],[0.75000116 0.25686701],[0.66405292 0.41038438]
[0.34999742 0.22522639],[0.75000129 0.25647635],[0.66405189 0.40999392]
[0.34999715 0.2248157 ],[0.75000142 0.25606566],[0.6640508  0.40958343]
[0.34999688 0.22438498],[0.75000156 0.25563494],[0.66404966 0.40915291]
[0.34999659 0.22393423],[0.7500017  0.25518419],[0.66404847 0.40870238]
[0.34999628 0.22346344],[0.75000186 0.2547134 ],[0.66404722 0.40823181]
[0.34999597 0.22297262],[0.75000201 0.25422258],[0.66404592 0.40774123]
[0.34999564 0.22246177],[0.75000218 0.25371172],[0.66404457 0.40723062]
[0.3499953  0.22193088],[0.75000235 0.25318083],[0.66404316 0.40669999]
[0.34999494 0.22137996],[0.75000253 0.25262991],[0.6640417  0.40614933]
[0.34999457 0.22080901],[0.75000271 0.25205895],[0.66404019 0.40557865]
[0.34999419 0.22021802],[0.7500029  0.25146796],[0.66403862 0.40498794]
[0.3499938 0.219607 ],[0.7500031  0.25085694],[0.664037   0.40437721]
[0.34999339 0.21897594],[0.7500033  0.25022588],[0.66403533 0.40374646]
[0.34999297 0.21832485],[0.75000351 0.24957479],[0.66403361 0.40309568]
[0.34999254 0.21765373],[0.75000373 0.24890367],[0.66403183 0.40242488]
[0.3499921  0.21696257],[0.75000395 0.24821251],[0.66403    0.40173406]
[0.34999164 0.21625139],[0.75000418 0.24750132],[0.66402812 0.40102321]
[0.34999117 0.21552016],[0.75000441 0.2467701 ],[0.66402618 0.40029234]
[0.34999068 0.21476891],[0.75000465 0.24601884],[0.66402419 0.39954144]
[0.34999019 0.21399762],[0.7500049  0.24524755],[0.66402215 0.39877052]
[0.34998968 0.21320629],[0.75000516 0.24445622],[0.66402005 0.39797957]
[0.34998915 0.21239494],[0.75000542 0.24364487],[0.6640179  0.39716861]
[0.34998862 0.21156355],[0.75000569 0.24281347],[0.6640157  0.39633761]
[0.34998807 0.21071212],[0.75000596 0.24196205],[0.66401345 0.3954866 ]
[0.34998751 0.20984067],[0.75000624 0.24109059],[0.66401114 0.39461556]
[0.34998693 0.20894918],[0.75000653 0.2401991 ],[0.66400878 0.39372449]
