1.0
 
[-1.25150577e-02 -1.99936484e+01],[ 6.24602996e-03 -1.99936993e+01],[ -0.05139266 -19.98437545]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406247 0.41398869]
[0.34999997 0.22919302],[0.75000001 0.26044299],[0.6640624  0.41395865]
[0.34999994 0.22914294],[0.75000003 0.26039291],[0.66406227 0.41390859]
[0.3499999  0.22907282],[0.75000005 0.26032279],[0.66406209 0.4138385 ]
[0.34999984 0.22898267],[0.75000008 0.26023264],[0.66406186 0.41374839]
[0.34999977 0.22887248],[0.75000011 0.26012245],[0.66406157 0.41363826]
[0.34999969 0.22874226],[0.75000015 0.25999223],[0.66406124 0.4135081 ]
[0.3499996  0.22859201],[0.7500002  0.25984198],[0.66406085 0.41335792]
[0.34999949 0.22842173],[0.75000025 0.25967169],[0.66406042 0.41318771]
[0.34999937 0.2282314 ],[0.75000031 0.25948137],[0.66405993 0.41299748]
[0.34999924 0.22802105],[0.75000038 0.25927102],[0.66405939 0.41278722]
[0.3499991  0.22779066],[0.75000045 0.25904063],[0.6640588  0.41255694]
[0.34999894 0.22754024],[0.75000053 0.25879021],[0.66405815 0.41230664]
[0.34999877 0.22726979],[0.75000061 0.25851975],[0.66405746 0.41203631]
[0.34999859 0.2269793 ],[0.7500007  0.25822926],[0.66405671 0.41174595]
[0.3499984  0.22666878],[0.7500008  0.25791874],[0.66405592 0.41143557]
[0.34999819 0.22633822],[0.7500009  0.25758818],[0.66405507 0.41110517]
[0.34999797 0.22598763],[0.75000101 0.25723759],[0.66405417 0.41075474]
[0.34999774 0.22561701],[0.75000113 0.25686697],[0.66405321 0.41038429]
[0.34999749 0.22522635],[0.75000125 0.25647631],[0.66405221 0.40999382]
[0.34999724 0.22481566],[0.75000138 0.25606562],[0.66405116 0.40958332]
[0.34999697 0.22438493],[0.75000151 0.25563489],[0.66405005 0.40915279]
[0.34999669 0.22393418],[0.75000165 0.25518413],[0.66404889 0.40870224]
[0.34999639 0.22346338],[0.7500018  0.25471334],[0.66404768 0.40823167]
[0.34999609 0.22297256],[0.75000195 0.25422251],[0.66404642 0.40774107]
[0.34999577 0.2224617 ],[0.75000211 0.25371165],[0.66404511 0.40723045]
[0.34999543 0.22193081],[0.75000228 0.25318076],[0.66404375 0.4066998 ]
[0.34999509 0.22137988],[0.75000245 0.25262983],[0.66404233 0.40614913]
[0.34999473 0.22080892],[0.75000263 0.25205887],[0.66404087 0.40557843]
[0.34999436 0.22021792],[0.75000281 0.25146787],[0.66403935 0.40498771]
[0.34999398 0.2196069 ],[0.750003   0.25085684],[0.66403778 0.40437697]
[0.34999359 0.21897583],[0.7500032  0.25022578],[0.66403616 0.4037462 ]
[0.34999318 0.21832474],[0.7500034  0.24957468],[0.66403449 0.4030954 ]
[0.34999276 0.21765361],[0.75000361 0.24890355],[0.66403277 0.40242458]
[0.34999233 0.21696245],[0.75000383 0.24821239],[0.66403099 0.40173374]
[0.34999188 0.21625125],[0.75000405 0.24750119],[0.66402917 0.40102287]
[0.34999142 0.21552002],[0.75000428 0.24676996],[0.66402729 0.40029198]
[0.34999096 0.21476876],[0.75000451 0.24601869],[0.66402536 0.39954107]
[0.34999047 0.21399746],[0.75000475 0.24524739],[0.66402338 0.39877013]
[0.34998998 0.21320613],[0.750005   0.24445606],[0.66402135 0.39797916]
[0.34998947 0.21239476],[0.75000525 0.24364469],[0.66401926 0.39716817]
[0.34998895 0.21156336],[0.75000551 0.24281329],[0.66401713 0.39633716]
[0.34998842 0.21071193],[0.75000578 0.24196185],[0.66401494 0.39548612]
[0.34998787 0.20984047],[0.75000605 0.24109039],[0.6640127  0.39461506]
[0.34998732 0.20894897],[0.75000633 0.24019888],[0.66401042 0.39372397]
