1.0
 
[-8.74793306e-03 -1.99957320e+01],[ 4.31281937e-03 -1.99957822e+01],[ -0.0352399  -19.98950825]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406234 0.41390857]
[0.34999993 0.2290728 ],[0.75000003 0.26032277],[0.66406222 0.41383846]
[0.34999989 0.22898264],[0.75000005 0.26023261],[0.66406206 0.41374833]
[0.34999984 0.22887245],[0.75000008 0.26012241],[0.66406187 0.41363817]
[0.34999979 0.22874221],[0.75000011 0.25999218],[0.66406164 0.41350798]
[0.34999972 0.22859194],[0.75000014 0.25984191],[0.66406137 0.41335775]
[0.34999965 0.22842164],[0.75000017 0.25967161],[0.66406107 0.4131875 ]
[0.34999956 0.2282313 ],[0.75000022 0.25948127],[0.66406074 0.41299722]
[0.34999947 0.22802092],[0.75000026 0.25927089],[0.66406037 0.41278691]
[0.34999937 0.22779051],[0.75000031 0.25904048],[0.66405996 0.41255657]
[0.34999926 0.22754007],[0.75000036 0.25879003],[0.66405952 0.4123062 ]
[0.34999914 0.22726958],[0.75000042 0.25851955],[0.66405904 0.4120358 ]
[0.34999902 0.22697906],[0.75000049 0.25822903],[0.66405853 0.41174537]
[0.34999888 0.22666851],[0.75000055 0.25791847],[0.66405799 0.41143492]
[0.34999874 0.22633792],[0.75000062 0.25758788],[0.66405741 0.41110443]
[0.34999858 0.22598729],[0.7500007  0.25723725],[0.66405679 0.41075391]
[0.34999842 0.22561663],[0.75000078 0.25686659],[0.66405614 0.41038336]
[0.34999825 0.22522593],[0.75000086 0.25647589],[0.66405545 0.40999279]
[0.34999807 0.2248152 ],[0.75000095 0.25606516],[0.66405473 0.40958218]
[0.34999788 0.22438443],[0.75000104 0.25563439],[0.66405397 0.40915155]
[0.34999768 0.22393362],[0.75000114 0.25518358],[0.66405317 0.40870088]
[0.34999748 0.22346278],[0.75000124 0.25471274],[0.66405235 0.40823019]
[0.34999726 0.22297191],[0.75000135 0.25422186],[0.66405148 0.40773946]
[0.34999704 0.22246099],[0.75000146 0.25371095],[0.66405058 0.40722871]
[0.34999681 0.22193004],[0.75000157 0.25318   ],[0.66404965 0.40669792]
[0.34999657 0.22137906],[0.75000169 0.25262901],[0.66404868 0.40614711]
[0.34999632 0.22080804],[0.75000181 0.25205799],[0.66404767 0.40557627]
[0.34999606 0.22021698],[0.75000194 0.25146693],[0.66404663 0.4049854 ]
[0.34999579 0.21960589],[0.75000207 0.25085584],[0.66404556 0.40437449]
[0.34999552 0.21897477],[0.75000221 0.25022471],[0.66404445 0.40374356]
[0.34999523 0.2183236 ],[0.75000235 0.24957354],[0.6640433 0.4030926]
[0.34999494 0.2176524 ],[0.75000249 0.24890234],[0.66404212 0.40242161]
[0.34999464 0.21696117],[0.75000264 0.24821111],[0.66404091 0.40173059]
[0.34999433 0.2162499 ],[0.7500028  0.24749984],[0.66403965 0.40101954]
[0.34999401 0.21551859],[0.75000295 0.24676853],[0.66403837 0.40028846]
[0.34999368 0.21476725],[0.75000312 0.24601718],[0.66403704 0.39953735]
[0.34999334 0.21399587],[0.75000328 0.2452458 ],[0.66403569 0.39876622]
[0.349993   0.21320446],[0.75000345 0.24445439],[0.66403429 0.39797505]
[0.34999264 0.21239301],[0.75000363 0.24364294],[0.66403287 0.39716385]
[0.34999228 0.21156152],[0.75000381 0.24281145],[0.6640314  0.39633262]
[0.34999191 0.21071   ],[0.75000399 0.24195993],[0.66402991 0.39548137]
[0.34999153 0.20983844],[0.75000418 0.24108837],[0.66402837 0.39461008]
[0.34999114 0.20894685],[0.75000437 0.24019677],[0.6640268  0.39371877]
