1.0
 
[-1.16360980e-02 -1.99941345e+01],[ 5.79499578e-03 -1.99941853e+01],[ -0.04762433 -19.98557297]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.6640624  0.41395865]
[0.34999995 0.22914294],[0.75000003 0.26039291],[0.66406229 0.41390858]
[0.34999991 0.22907282],[0.75000005 0.26032279],[0.66406212 0.4138385 ]
[0.34999985 0.22898266],[0.75000007 0.26023263],[0.6640619  0.41374838]
[0.34999979 0.22887247],[0.7500001  0.26012244],[0.66406164 0.41363824]
[0.34999971 0.22874225],[0.75000014 0.25999222],[0.66406133 0.41350807]
[0.34999963 0.228592  ],[0.75000019 0.25984196],[0.66406097 0.41335788]
[0.34999953 0.22842171],[0.75000023 0.25967167],[0.66406057 0.41318766]
[0.34999942 0.22823138],[0.75000029 0.25948135],[0.66406012 0.41299742]
[0.3499993  0.22802102],[0.75000035 0.25927099],[0.66405962 0.41278715]
[0.34999916 0.22779063],[0.75000042 0.25904059],[0.66405907 0.41255686]
[0.34999902 0.2275402 ],[0.75000049 0.25879017],[0.66405847 0.41230654]
[0.34999886 0.22726974],[0.75000057 0.2585197 ],[0.66405783 0.41203619]
[0.34999869 0.22697924],[0.75000065 0.25822921],[0.66405714 0.41174582]
[0.34999851 0.22666871],[0.75000074 0.25791868],[0.6640564  0.41143542]
[0.34999832 0.22633815],[0.75000084 0.25758811],[0.66405561 0.411105  ]
[0.34999811 0.22598755],[0.75000094 0.25723751],[0.66405478 0.41075455]
[0.3499979  0.22561692],[0.75000105 0.25686688],[0.6640539  0.41038408]
[0.34999767 0.22522625],[0.75000116 0.25647621],[0.66405297 0.40999358]
[0.34999743 0.22481555],[0.75000128 0.25606551],[0.66405199 0.40958305]
[0.34999718 0.22438482],[0.7500014  0.25563477],[0.66405096 0.4091525 ]
[0.34999692 0.22393405],[0.75000153 0.255184  ],[0.66404989 0.40870192]
[0.34999665 0.22346324],[0.75000167 0.2547132 ],[0.66404877 0.40823132]
[0.34999636 0.22297241],[0.75000181 0.25422236],[0.6640476  0.40774069]
[0.34999606 0.22246153],[0.75000196 0.25371149],[0.66404639 0.40723004]
[0.34999575 0.22193063],[0.75000211 0.25318058],[0.66404513 0.40669936]
[0.34999543 0.22137969],[0.75000227 0.25262964],[0.66404382 0.40614866]
[0.3499951  0.22080871],[0.75000244 0.25205866],[0.66404246 0.40557793]
[0.34999476 0.2202177 ],[0.75000261 0.25146765],[0.66404105 0.40498717]
[0.3499944  0.21960666],[0.75000279 0.25085661],[0.6640396  0.40437639]
[0.34999404 0.21897558],[0.75000297 0.25022553],[0.6640381  0.40374558]
[0.34999366 0.21832447],[0.75000316 0.24957442],[0.66403655 0.40309475]
[0.34999327 0.21765333],[0.75000335 0.24890327],[0.66403495 0.40242389]
[0.34999287 0.21696215],[0.75000355 0.24821209],[0.6640333  0.40173301]
[0.34999245 0.21625093],[0.75000376 0.24750087],[0.66403161 0.4010221 ]
[0.34999203 0.21551969],[0.75000397 0.24676962],[0.66402987 0.40029116]
[0.34999159 0.2147684 ],[0.75000419 0.24601834],[0.66402809 0.3995402 ]
[0.34999114 0.21399709],[0.75000441 0.24524702],[0.66402625 0.39876922]
[0.34999068 0.21320574],[0.75000464 0.24445567],[0.66402437 0.3979782 ]
[0.34999021 0.21239435],[0.75000488 0.24364428],[0.66402244 0.39716717]
[0.34998973 0.21156293],[0.75000512 0.24281286],[0.66402046 0.3963361 ]
[0.34998923 0.21071148],[0.75000536 0.2419614 ],[0.66401843 0.39548501]
[0.34998873 0.20983999],[0.75000561 0.24108992],[0.66401636 0.3946139 ]
[0.34998821 0.20894847],[0.75000587 0.24019839],[0.66401424 0.39372276]
