1.0
 
[-8.62236763e-03 -1.99958014e+01],[ 4.24835357e-03 -1.99958517e+01],[ -0.03470135 -19.98967937]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406234 0.41390857]
[0.34999993 0.2290728 ],[0.75000003 0.26032277],[0.66406222 0.41383846]
[0.34999989 0.22898264],[0.75000005 0.26023261],[0.66406207 0.41374833]
[0.34999984 0.22887244],[0.75000008 0.26012241],[0.66406188 0.41363816]
[0.34999979 0.22874221],[0.7500001  0.25999218],[0.66406165 0.41350797]
[0.34999972 0.22859194],[0.75000014 0.25984191],[0.66406139 0.41335775]
[0.34999965 0.22842164],[0.75000017 0.25967161],[0.66406109 0.4131875 ]
[0.34999957 0.2282313 ],[0.75000021 0.25948126],[0.66406076 0.41299721]
[0.34999948 0.22802092],[0.75000026 0.25927089],[0.6640604 0.4127869]
[0.34999938 0.22779051],[0.75000031 0.25904047],[0.66406    0.41255656]
[0.34999927 0.22754006],[0.75000036 0.25879003],[0.66405957 0.41230619]
[0.34999915 0.22726958],[0.75000042 0.25851954],[0.6640591  0.41203579]
[0.34999903 0.22697906],[0.75000048 0.25822902],[0.66405859 0.41174535]
[0.3499989 0.2266685],[0.75000054 0.25791846],[0.66405806 0.41143489]
[0.34999875 0.22633791],[0.75000061 0.25758787],[0.66405748 0.4111044 ]
[0.3499986  0.22598728],[0.75000069 0.25723724],[0.66405688 0.41075388]
[0.34999844 0.22561662],[0.75000077 0.25686658],[0.66405623 0.41038333]
[0.34999827 0.22522592],[0.75000085 0.25647588],[0.66405556 0.40999275]
[0.3499981  0.22481518],[0.75000094 0.25606514],[0.66405484 0.40958214]
[0.34999791 0.22438441],[0.75000103 0.25563437],[0.6640541 0.4091515]
[0.34999772 0.22393361],[0.75000112 0.25518356],[0.66405332 0.40870083]
[0.34999752 0.22346276],[0.75000122 0.25471272],[0.6640525  0.40823014]
[0.3499973  0.22297188],[0.75000133 0.25422184],[0.66405165 0.40773941]
[0.34999708 0.22246097],[0.75000144 0.25371092],[0.66405077 0.40722865]
[0.34999686 0.22193002],[0.75000155 0.25317997],[0.66404985 0.40669786]
[0.34999662 0.22137903],[0.75000167 0.25262898],[0.66404889 0.40614704]
[0.34999637 0.22080801],[0.75000179 0.25205796],[0.6640479 0.4055762]
[0.34999612 0.22021695],[0.75000191 0.2514669 ],[0.66404688 0.40498532]
[0.34999585 0.21960586],[0.75000204 0.25085581],[0.66404582 0.40437441]
[0.34999558 0.21897473],[0.75000218 0.25022467],[0.66404472 0.40374348]
[0.3499953  0.21832356],[0.75000231 0.24957351],[0.6640436  0.40309251]
[0.34999501 0.21765236],[0.75000246 0.2489023 ],[0.66404243 0.40242151]
[0.34999472 0.21696113],[0.7500026  0.24821106],[0.66404124 0.40173049]
[0.34999441 0.21624985],[0.75000275 0.24749979],[0.66404    0.40101943]
[0.34999409 0.21551854],[0.75000291 0.24676848],[0.66403874 0.40028835]
[0.34999377 0.2147672 ],[0.75000307 0.24601713],[0.66403743 0.39953723]
[0.34999344 0.21399582],[0.75000323 0.24524575],[0.6640361  0.39876609]
[0.3499931 0.2132044],[0.7500034  0.24445433],[0.66403473 0.39797491]
[0.34999275 0.21239295],[0.75000357 0.24364288],[0.66403332 0.39716371]
[0.34999239 0.21156146],[0.75000375 0.24281139],[0.66403188 0.39633247]
[0.34999202 0.21070994],[0.75000393 0.24195986],[0.6640304  0.39548121]
[0.34999165 0.20983838],[0.75000411 0.2410883 ],[0.66402889 0.39460992]
[0.34999127 0.20894678],[0.7500043 0.2401967],[0.66402735 0.39371859]
