1.0
 
[-9.61184192e-04 -2.00000385e+01],[ 3.16474347e-04 -2.00000877e+01],[-1.83413983e-03 -2.00001211e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.6640625  0.41395862]
[0.35       0.22914291],[0.75       0.26039288],[0.66406249 0.41390852]
[0.34999999 0.22907277],[0.75       0.26032274],[0.66406249 0.41383838]
[0.34999999 0.22898259],[0.75       0.26023256],[0.66406248 0.4137482 ]
[0.34999998 0.22887237],[0.75000001 0.26012234],[0.66406247 0.41363798]
[0.34999998 0.22874211],[0.75000001 0.25999208],[0.66406246 0.41350772]
[0.34999997 0.22859181],[0.75000001 0.25984178],[0.66406244 0.41335741]
[0.34999996 0.22842147],[0.75000001 0.25967143],[0.66406243 0.41318707]
[0.34999995 0.22823108],[0.75000002 0.25948105],[0.66406241 0.41299669]
[0.34999994 0.22802066],[0.75000002 0.25927063],[0.66406239 0.41278627]
[0.34999993 0.2277902 ],[0.75000002 0.25904017],[0.66406237 0.41255581]
[0.34999992 0.2275397 ],[0.75000003 0.25878967],[0.66406235 0.4123053 ]
[0.34999991 0.22726916],[0.75000003 0.25851912],[0.66406233 0.41203476]
[0.34999989 0.22697858],[0.75000003 0.25822854],[0.6640623  0.41174418]
[0.34999988 0.22666796],[0.75000004 0.25791792],[0.66406227 0.41143355]
[0.34999986 0.22633729],[0.75000004 0.25758726],[0.66406224 0.41110289]
[0.34999985 0.22598659],[0.75000005 0.25723655],[0.66406221 0.41075219]
[0.34999983 0.22561585],[0.75000006 0.25686581],[0.66406218 0.41038144]
[0.34999981 0.22522507],[0.75000006 0.25647503],[0.66406214 0.40999066]
[0.34999979 0.22481425],[0.75000007 0.25606421],[0.66406211 0.40957984]
[0.34999977 0.22438338],[0.75000008 0.25563334],[0.66406207 0.40914897]
[0.34999975 0.22393248],[0.75000008 0.25518244],[0.66406203 0.40869807]
[0.34999973 0.22346154],[0.75000009 0.2547115 ],[0.66406199 0.40822712]
[0.3499997  0.22297056],[0.7500001  0.25422051],[0.66406194 0.40773614]
[0.34999968 0.22245953],[0.7500001  0.25370949],[0.6640619  0.40722511]
[0.34999965 0.22192847],[0.75000011 0.25317842],[0.66406185 0.40669405]
[0.34999963 0.22137737],[0.75000012 0.25262732],[0.6640618  0.40614294]
[0.3499996  0.22080623],[0.75000013 0.25205617],[0.66406175 0.4055718 ]
[0.34999957 0.22021504],[0.75000014 0.25146499],[0.6640617  0.40498061]
[0.34999954 0.21960382],[0.75000015 0.25085377],[0.66406164 0.40436938]
[0.34999951 0.21897256],[0.75000016 0.2502225 ],[0.66406159 0.40373812]
[0.34999948 0.21832125],[0.75000017 0.2495712 ],[0.66406153 0.40308681]
[0.34999945 0.21764991],[0.75000018 0.24889985],[0.66406147 0.40241547]
[0.34999942 0.21695853],[0.75000019 0.24820847],[0.66406141 0.40172408]
[0.34999938 0.2162471 ],[0.7500002  0.24749704],[0.66406134 0.40101265]
[0.34999935 0.21551564],[0.75000021 0.24676557],[0.66406128 0.40028118]
[0.34999931 0.21476413],[0.75000022 0.24601407],[0.66406121 0.39952968]
[0.34999928 0.21399259],[0.75000024 0.24524252],[0.66406114 0.39875813]
[0.34999924 0.21320101],[0.75000025 0.24445094],[0.66406107 0.39796654]
[0.3499992  0.21238938],[0.75000026 0.24363931],[0.664061   0.39715491]
[0.34999916 0.21155772],[0.75000027 0.24280764],[0.66406093 0.39632324]
[0.34999912 0.21070601],[0.75000029 0.24195594],[0.66406085 0.39547154]
[0.34999908 0.20983427],[0.7500003  0.24108419],[0.66406077 0.39459979]
[0.34999904 0.20894248],[0.75000031 0.2401924 ],[0.66406069 0.393708  ]
