1.0
 
[-1.27661718e-02 -1.99935095e+01],[ 6.37491684e-03 -1.99935604e+01],[ -0.05246923 -19.98403331]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406247 0.41398869]
[0.34999997 0.22919302],[0.75000001 0.26044299],[0.66406239 0.41395865]
[0.34999994 0.22914294],[0.75000003 0.26039291],[0.66406226 0.41390859]
[0.3499999  0.22907282],[0.75000005 0.26032279],[0.66406208 0.41383851]
[0.34999984 0.22898267],[0.75000008 0.26023264],[0.66406184 0.4137484 ]
[0.34999977 0.22887249],[0.75000011 0.26012245],[0.66406155 0.41363827]
[0.34999969 0.22874227],[0.75000016 0.25999224],[0.66406121 0.41350811]
[0.34999959 0.22859202],[0.7500002  0.25984198],[0.66406082 0.41335793]
[0.34999948 0.22842173],[0.75000026 0.2596717 ],[0.66406037 0.41318772]
[0.34999936 0.22823141],[0.75000032 0.25948138],[0.66405987 0.4129975 ]
[0.34999923 0.22802106],[0.75000039 0.25927103],[0.66405932 0.41278724]
[0.34999908 0.22779067],[0.75000046 0.25904064],[0.66405872 0.41255697]
[0.34999892 0.22754025],[0.75000054 0.25879022],[0.66405806 0.41230667]
[0.34999875 0.2272698 ],[0.75000063 0.25851977],[0.66405735 0.41203634]
[0.34999856 0.22697931],[0.75000072 0.25822928],[0.66405659 0.41174599]
[0.34999836 0.22666879],[0.75000082 0.25791876],[0.66405578 0.41143562]
[0.34999815 0.22633824],[0.75000092 0.2575882 ],[0.66405491 0.41110522]
[0.34999793 0.22598765],[0.75000103 0.25723761],[0.66405399 0.4107548 ]
[0.34999769 0.22561703],[0.75000115 0.25686699],[0.66405302 0.41038435]
[0.34999744 0.22522638],[0.75000128 0.25647634],[0.664052   0.40999388]
[0.34999718 0.22481569],[0.75000141 0.25606565],[0.66405092 0.40958339]
[0.34999691 0.22438497],[0.75000154 0.25563493],[0.66404979 0.40915287]
[0.34999662 0.22393421],[0.75000169 0.25518417],[0.66404861 0.40870233]
[0.34999632 0.22346342],[0.75000184 0.25471338],[0.66404737 0.40823177]
[0.34999601 0.2229726 ],[0.75000199 0.25422256],[0.66404609 0.40774118]
[0.34999568 0.22246175],[0.75000216 0.2537117 ],[0.66404475 0.40723056]
[0.34999534 0.22193086],[0.75000233 0.25318081],[0.66404336 0.40669992]
[0.34999499 0.22137993],[0.7500025  0.25262988],[0.66404191 0.40614926]
[0.34999463 0.22080898],[0.75000268 0.25205893],[0.66404042 0.40557857]
[0.34999425 0.22021799],[0.75000287 0.25146793],[0.66403887 0.40498786]
[0.34999386 0.21960696],[0.75000307 0.25085691],[0.66403726 0.40437713]
[0.34999346 0.21897591],[0.75000327 0.25022585],[0.66403561 0.40374637]
[0.34999304 0.21832481],[0.75000347 0.24957476],[0.6640339  0.40309559]
[0.34999261 0.21765369],[0.75000369 0.24890363],[0.66403214 0.40242478]
[0.34999217 0.21696253],[0.75000391 0.24821247],[0.66403033 0.40173395]
[0.34999172 0.21625134],[0.75000414 0.24750128],[0.66402847 0.4010231 ]
[0.34999125 0.21552012],[0.75000437 0.24677005],[0.66402655 0.40029222]
[0.34999077 0.21476886],[0.75000461 0.24601879],[0.66402458 0.39954132]
[0.34999028 0.21399756],[0.75000485 0.2452475 ],[0.66402256 0.39877039]
[0.34998978 0.21320624],[0.7500051  0.24445617],[0.66402048 0.39797944]
[0.34998926 0.21239488],[0.75000536 0.24364481],[0.66401836 0.39716846]
[0.34998873 0.21156349],[0.75000563 0.24281341],[0.66401618 0.39633746]
[0.34998819 0.21071206],[0.7500059  0.24196198],[0.66401394 0.39548644]
[0.34998763 0.2098406 ],[0.75000618 0.24109052],[0.66401166 0.39461539]
[0.34998706 0.20894911],[0.75000646 0.24019903],[0.66400932 0.39372432]
