1.0
 
[-1.08826679e-02 -1.99945512e+01],[ 5.40841496e-03 -1.99946019e+01],[ -0.04439404 -19.98659948]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406241 0.41395865]
[0.34999995 0.22914293],[0.75000002 0.2603929 ],[0.6640623  0.41390858]
[0.34999991 0.22907281],[0.75000004 0.26032278],[0.66406214 0.41383849]
[0.34999986 0.22898266],[0.75000007 0.26023263],[0.66406194 0.41374837]
[0.3499998  0.22887247],[0.7500001  0.26012244],[0.6640617  0.41363822]
[0.34999973 0.22874224],[0.75000013 0.25999221],[0.66406141 0.41350805]
[0.34999965 0.22859198],[0.75000017 0.25984195],[0.66406108 0.41335785]
[0.34999956 0.22842169],[0.75000022 0.25967166],[0.6640607  0.41318762]
[0.34999946 0.22823136],[0.75000027 0.25948133],[0.66406028 0.41299737]
[0.34999934 0.228021  ],[0.75000033 0.25927096],[0.66405981 0.41278709]
[0.34999922 0.2277906 ],[0.75000039 0.25904056],[0.6640593  0.41255678]
[0.34999908 0.22754017],[0.75000046 0.25879013],[0.66405875 0.41230645]
[0.34999893 0.2272697 ],[0.75000053 0.25851966],[0.66405815 0.41203609]
[0.34999877 0.2269792 ],[0.75000061 0.25822916],[0.6640575 0.4117457]
[0.34999861 0.22666866],[0.75000069 0.25791862],[0.66405681 0.41143529]
[0.34999843 0.22633809],[0.75000078 0.25758805],[0.66405608 0.41110485]
[0.34999824 0.22598748],[0.75000088 0.25723745],[0.6640553  0.41075438]
[0.34999803 0.22561684],[0.75000098 0.2568668 ],[0.66405448 0.41038389]
[0.34999782 0.22522617],[0.75000108 0.25647613],[0.66405361 0.40999337]
[0.3499976  0.22481546],[0.75000119 0.25606542],[0.6640527  0.40958282]
[0.34999736 0.22438472],[0.75000131 0.25563467],[0.66405175 0.40915225]
[0.34999712 0.22393394],[0.75000143 0.25518389],[0.66405075 0.40870165]
[0.34999686 0.22346312],[0.75000156 0.25471308],[0.6640497  0.40823102]
[0.3499966  0.22297228],[0.75000169 0.25422223],[0.66404862 0.40774037]
[0.34999632 0.22246139],[0.75000183 0.25371135],[0.66404748 0.40722969]
[0.34999603 0.22193048],[0.75000197 0.25318043],[0.66404631 0.40669899]
[0.34999573 0.22137952],[0.75000212 0.25262947],[0.66404508 0.40614825]
[0.34999542 0.22080854],[0.75000228 0.25205849],[0.66404382 0.40557749]
[0.3499951  0.22021752],[0.75000244 0.25146746],[0.66404251 0.40498671]
[0.34999477 0.21960646],[0.7500026  0.25085641],[0.66404115 0.40437589]
[0.34999442 0.21897537],[0.75000277 0.25022532],[0.66403975 0.40374506]
[0.34999407 0.21832425],[0.75000295 0.24957419],[0.66403831 0.40309419]
[0.3499937  0.21765309],[0.75000313 0.24890303],[0.66403682 0.4024233 ]
[0.34999333 0.21696189],[0.75000332 0.24821183],[0.66403529 0.40173238]
[0.34999294 0.21625066],[0.75000351 0.2475006 ],[0.66403371 0.40102143]
[0.34999254 0.2155194 ],[0.75000371 0.24676934],[0.66403209 0.40029046]
[0.34999214 0.2147681 ],[0.75000391 0.24601804],[0.66403042 0.39953946]
[0.34999172 0.21399677],[0.75000412 0.2452467 ],[0.66402871 0.39876843]
[0.34999129 0.2132054 ],[0.75000433 0.24445533],[0.66402696 0.39797738]
[0.34999085 0.212394  ],[0.75000455 0.24364393],[0.66402516 0.3971663 ]
[0.34999039 0.21156257],[0.75000477 0.24281249],[0.66402331 0.39633519]
[0.34998993 0.2107111 ],[0.750005   0.24196102],[0.66402143 0.39548406]
[0.34998946 0.20983959],[0.75000524 0.24108951],[0.66401949 0.3946129 ]
[0.34998897 0.20894805],[0.75000548 0.24019797],[0.66401752 0.39372172]
