1.0
 
[-7.11536399e-03 -1.99966349e+01],[ 3.47512513e-03 -1.99966849e+01],[ -0.02823811 -19.99173291]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406244 0.41395864]
[0.34999997 0.22914292],[0.75000002 0.26039289],[0.66406237 0.41390856]
[0.34999994 0.2290728 ],[0.75000003 0.26032277],[0.66406227 0.41383845]
[0.34999991 0.22898263],[0.75000004 0.2602326 ],[0.66406215 0.4137483 ]
[0.34999987 0.22887243],[0.75000006 0.2601224 ],[0.66406199 0.41363813]
[0.34999983 0.22874219],[0.75000009 0.25999216],[0.66406181 0.41350792]
[0.34999977 0.22859192],[0.75000011 0.25984188],[0.6640616  0.41335768]
[0.34999971 0.2284216 ],[0.75000014 0.25967157],[0.66406136 0.41318741]
[0.34999964 0.22823126],[0.75000017 0.25948122],[0.66406109 0.41299711]
[0.34999957 0.22802087],[0.75000021 0.25927084],[0.66406079 0.41278678]
[0.34999949 0.22779045],[0.75000025 0.25904041],[0.66406047 0.41255641]
[0.3499994  0.22753999],[0.75000029 0.25878996],[0.66406011 0.41230601]
[0.3499993  0.22726949],[0.75000034 0.25851946],[0.66405973 0.41203558]
[0.3499992  0.22697896],[0.75000039 0.25822893],[0.66405932 0.41174512]
[0.34999909 0.22666839],[0.75000044 0.25791836],[0.66405889 0.41143463]
[0.34999897 0.22633779],[0.7500005  0.25758775],[0.66405842 0.41110411]
[0.34999885 0.22598715],[0.75000056 0.25723711],[0.66405793 0.41075355]
[0.34999872 0.22561647],[0.75000063 0.25686643],[0.6640574  0.41038296]
[0.34999858 0.22522575],[0.7500007  0.25647571],[0.66405685 0.40999234]
[0.34999843 0.224815  ],[0.75000077 0.25606496],[0.66405627 0.40958169]
[0.34999828 0.22438421],[0.75000084 0.25563417],[0.66405567 0.40915101]
[0.34999812 0.22393338],[0.75000092 0.25518334],[0.66405503 0.40870029]
[0.34999795 0.22346252],[0.750001   0.25471248],[0.66405437 0.40822954]
[0.34999778 0.22297162],[0.75000109 0.25422158],[0.66405367 0.40773876]
[0.34999759 0.22246069],[0.75000117 0.25371064],[0.66405295 0.40722795]
[0.34999741 0.22192971],[0.75000127 0.25317967],[0.66405221 0.40669711]
[0.34999721 0.22137871],[0.75000136 0.25262866],[0.66405143 0.40614624]
[0.34999701 0.22080766],[0.75000146 0.25205761],[0.66405062 0.40557533]
[0.3499968  0.22021658],[0.75000156 0.25146652],[0.66404979 0.40498439]
[0.34999658 0.21960546],[0.75000167 0.2508554 ],[0.66404893 0.40437342]
[0.34999636 0.2189743 ],[0.75000178 0.25022425],[0.66404804 0.40374242]
[0.34999612 0.21832311],[0.75000189 0.24957305],[0.66404712 0.40309139]
[0.34999589 0.21765188],[0.75000201 0.24890182],[0.66404618 0.40242032]
[0.34999564 0.21696061],[0.75000213 0.24821055],[0.6640452  0.40172923]
[0.34999539 0.21624931],[0.75000225 0.24749925],[0.6640442 0.4010181]
[0.34999513 0.21551797],[0.75000238 0.24676791],[0.66404317 0.40028694]
[0.34999486 0.2147666 ],[0.75000251 0.24601653],[0.66404211 0.39953575]
[0.34999459 0.21399518],[0.75000264 0.24524512],[0.66404102 0.39876452]
[0.34999431 0.21320373],[0.75000278 0.24445366],[0.66403991 0.39797327]
[0.34999402 0.21239225],[0.75000292 0.24364218],[0.66403876 0.39716198]
[0.34999372 0.21156072],[0.75000307 0.24281065],[0.66403759 0.39633066]
[0.34999342 0.21070917],[0.75000321 0.24195909],[0.66403639 0.39547931]
[0.34999311 0.20983757],[0.75000336 0.24108749],[0.66403516 0.39460792]
[0.34999279 0.20894594],[0.75000352 0.24019586],[0.66403391 0.39371651]
