1.0
 
[-6.86421488e-03 -1.99967738e+01],[ 3.34618987e-03 -1.99968238e+01],[ -0.02716077 -19.99207519]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406245 0.41395864]
[0.34999997 0.22914292],[0.75000002 0.26039289],[0.66406238 0.41390856]
[0.34999995 0.2290728 ],[0.75000003 0.26032276],[0.66406228 0.41383844]
[0.34999991 0.22898263],[0.75000004 0.2602326 ],[0.66406216 0.4137483 ]
[0.34999988 0.22887243],[0.75000006 0.2601224 ],[0.66406201 0.41363812]
[0.34999983 0.22874219],[0.75000008 0.25999216],[0.66406183 0.41350791]
[0.34999978 0.22859191],[0.75000011 0.25984188],[0.66406163 0.41335767]
[0.34999972 0.2284216 ],[0.75000014 0.25967157],[0.6640614 0.4131874]
[0.34999966 0.22823125],[0.75000017 0.25948122],[0.66406114 0.41299709]
[0.34999958 0.22802086],[0.7500002  0.25927083],[0.66406086 0.41278676]
[0.34999951 0.22779044],[0.75000024 0.2590404 ],[0.66406054 0.41255639]
[0.34999942 0.22753998],[0.75000028 0.25878994],[0.6640602  0.41230598]
[0.34999933 0.22726948],[0.75000033 0.25851945],[0.66405984 0.41203555]
[0.34999923 0.22697895],[0.75000038 0.25822891],[0.66405944 0.41174508]
[0.34999912 0.22666838],[0.75000043 0.25791834],[0.66405902 0.41143459]
[0.34999901 0.22633777],[0.75000048 0.25758773],[0.66405858 0.41110406]
[0.34999889 0.22598712],[0.75000054 0.25723708],[0.6640581  0.41075349]
[0.34999876 0.22561644],[0.7500006 0.2568664],[0.6640576 0.4103829]
[0.34999863 0.22522572],[0.75000067 0.25647568],[0.66405707 0.40999227]
[0.34999849 0.22481497],[0.75000074 0.25606493],[0.66405651 0.40958161]
[0.34999834 0.22438418],[0.75000081 0.25563413],[0.66405593 0.40915092]
[0.34999818 0.22393335],[0.75000089 0.2551833 ],[0.66405532 0.4087002 ]
[0.34999802 0.22346248],[0.75000096 0.25471244],[0.66405468 0.40822944]
[0.34999785 0.22297158],[0.75000105 0.25422153],[0.66405401 0.40773866]
[0.34999768 0.22246064],[0.75000113 0.25371059],[0.66405332 0.40722784]
[0.3499975  0.22192966],[0.75000122 0.25317962],[0.6640526  0.40669699]
[0.34999731 0.22137865],[0.75000131 0.2526286 ],[0.66405185 0.4061461 ]
[0.34999711 0.2208076 ],[0.75000141 0.25205755],[0.66405108 0.40557519]
[0.34999691 0.22021651],[0.75000151 0.25146646],[0.66405028 0.40498424]
[0.3499967  0.21960539],[0.75000161 0.25085534],[0.66404945 0.40437326]
[0.34999648 0.21897423],[0.75000171 0.25022418],[0.66404859 0.40374225]
[0.34999626 0.21832303],[0.75000182 0.24957298],[0.66404771 0.4030912 ]
[0.34999603 0.2176518 ],[0.75000193 0.24890174],[0.6640468  0.40242013]
[0.34999579 0.21696053],[0.75000205 0.24821047],[0.66404586 0.40172902]
[0.34999555 0.21624922],[0.75000217 0.24749916],[0.6640449  0.40101788]
[0.3499953  0.21551788],[0.75000229 0.24676781],[0.66404391 0.4002867 ]
[0.34999504 0.2147665 ],[0.75000242 0.24601643],[0.66404289 0.3995355 ]
[0.34999478 0.21399508],[0.75000254 0.24524501],[0.66404184 0.39876426]
[0.34999451 0.21320362],[0.75000268 0.24445355],[0.66404077 0.39797299]
[0.34999423 0.21239213],[0.75000281 0.24364206],[0.66403967 0.39716169]
[0.34999394 0.2115606 ],[0.75000295 0.24281053],[0.66403854 0.39633036]
[0.34999365 0.21070904],[0.75000309 0.24195896],[0.66403739 0.39547899]
[0.34999335 0.20983743],[0.75000324 0.24108736],[0.66403621 0.39460759]
[0.34999305 0.2089458 ],[0.75000339 0.24019571],[0.664035   0.39371616]
