1.0
 
[-2.46844865e-03 -1.99992049e+01],[ 1.09030029e-03 -1.99992542e+01],[-8.30220061e-03 -1.99980662e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406248 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406246 0.41390853]
[0.34999998 0.22907278],[0.75000001 0.26032275],[0.66406243 0.41383839]
[0.34999997 0.2289826 ],[0.75000001 0.26023257],[0.6640624  0.41374822]
[0.34999996 0.22887238],[0.75000002 0.26012235],[0.66406235 0.41363801]
[0.34999994 0.22874213],[0.75000003 0.2599921 ],[0.6640623  0.41350777]
[0.34999992 0.22859183],[0.75000003 0.2598418 ],[0.66406224 0.41335748]
[0.3499999 0.2284215],[0.75000004 0.25967147],[0.66406217 0.41318716]
[0.34999988 0.22823113],[0.75000005 0.25948109],[0.66406209 0.41299679]
[0.34999985 0.22802071],[0.75000007 0.25927068],[0.664062   0.41278639]
[0.34999982 0.22779026],[0.75000008 0.25904023],[0.6640619  0.41255595]
[0.34999979 0.22753977],[0.75000009 0.25878974],[0.6640618  0.41230548]
[0.34999976 0.22726924],[0.75000011 0.25851921],[0.66406169 0.41203496]
[0.34999972 0.22697867],[0.75000012 0.25822864],[0.66406157 0.41174441]
[0.34999969 0.22666806],[0.75000014 0.25791803],[0.66406144 0.41143382]
[0.34999964 0.22633742],[0.75000016 0.25758738],[0.66406131 0.41110319]
[0.3499996  0.22598673],[0.75000018 0.25723669],[0.66406116 0.41075252]
[0.34999956 0.225616  ],[0.7500002  0.25686596],[0.66406101 0.41038182]
[0.34999951 0.22522524],[0.75000022 0.2564752 ],[0.66406085 0.40999107]
[0.34999946 0.22481443],[0.75000024 0.25606439],[0.66406068 0.40958029]
[0.3499994  0.22438359],[0.75000026 0.25563354],[0.6640605  0.40914947]
[0.34999935 0.2239327 ],[0.75000029 0.25518266],[0.66406031 0.40869861]
[0.34999929 0.22346178],[0.75000031 0.25471174],[0.66406012 0.40822772]
[0.34999923 0.22297082],[0.75000034 0.25422077],[0.66405992 0.40773678]
[0.34999917 0.22245982],[0.75000037 0.25370977],[0.66405971 0.40722581]
[0.3499991  0.22192878],[0.7500004  0.25317873],[0.66405949 0.4066948 ]
[0.34999904 0.2213777 ],[0.75000043 0.25262765],[0.66405926 0.40614375]
[0.34999897 0.22080658],[0.75000046 0.25205653],[0.66405902 0.40557266]
[0.34999889 0.22021542],[0.75000049 0.25146537],[0.66405878 0.40498154]
[0.34999882 0.21960422],[0.75000052 0.25085417],[0.66405853 0.40437037]
[0.34999874 0.21897298],[0.75000056 0.25022293],[0.66405827 0.40373917]
[0.34999866 0.21832171],[0.75000059 0.24957165],[0.664058   0.40308793]
[0.34999858 0.21765039],[0.75000063 0.24890033],[0.66405772 0.40241666]
[0.34999849 0.21695904],[0.75000067 0.24820898],[0.66405744 0.40172534]
[0.34999841 0.21624764],[0.7500007  0.24749758],[0.66405714 0.40101399]
[0.34999832 0.21551621],[0.75000074 0.24676615],[0.66405684 0.40028259]
[0.34999822 0.21476474],[0.75000078 0.24601467],[0.66405653 0.39953116]
[0.34999813 0.21399322],[0.75000083 0.24524316],[0.66405621 0.39875969]
[0.34999803 0.21320167],[0.75000087 0.2444516 ],[0.66405589 0.39796819]
[0.34999793 0.21239008],[0.75000091 0.24364001],[0.66405555 0.39715664]
[0.34999783 0.21155845],[0.75000096 0.24280838],[0.66405521 0.39632506]
[0.34999772 0.21070678],[0.750001   0.24195671],[0.66405486 0.39547344]
[0.34999762 0.20983508],[0.75000105 0.241085  ],[0.6640545  0.39460178]
[0.34999751 0.20894333],[0.7500011  0.24019325],[0.66405413 0.39371008]
