1.0
 
[-1.71485857e-03 -1.99996217e+01],[ 7.03406537e-04 -1.99996709e+01],[-5.06826364e-03 -1.99990936e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406248 0.41390852]
[0.34999999 0.22907277],[0.75000001 0.26032274],[0.66406246 0.41383839]
[0.34999998 0.22898259],[0.75000001 0.26023256],[0.66406244 0.41374821]
[0.34999997 0.22887238],[0.75000001 0.26012234],[0.66406241 0.41363799]
[0.34999996 0.22874212],[0.75000002 0.25999209],[0.66406238 0.41350774]
[0.34999995 0.22859182],[0.75000002 0.25984179],[0.66406234 0.41335745]
[0.34999993 0.22842148],[0.75000003 0.25967145],[0.6640623  0.41318711]
[0.34999991 0.22823111],[0.75000003 0.25948107],[0.66406225 0.41299674]
[0.3499999  0.22802069],[0.75000004 0.25927066],[0.6640622  0.41278633]
[0.34999988 0.22779023],[0.75000005 0.2590402 ],[0.66406214 0.41255588]
[0.34999986 0.22753974],[0.75000006 0.2587897 ],[0.66406208 0.41230539]
[0.34999983 0.2272692 ],[0.75000007 0.25851917],[0.66406201 0.41203486]
[0.34999981 0.22697863],[0.75000008 0.25822859],[0.66406193 0.41174429]
[0.34999978 0.22666801],[0.75000009 0.25791797],[0.66406186 0.41143369]
[0.34999975 0.22633736],[0.7500001  0.25758732],[0.66406177 0.41110304]
[0.34999972 0.22598666],[0.75000011 0.25723662],[0.66406169 0.41075235]
[0.34999969 0.22561593],[0.75000013 0.25686589],[0.66406159 0.41038163]
[0.34999966 0.22522515],[0.75000014 0.25647511],[0.6640615  0.40999087]
[0.34999962 0.22481434],[0.75000015 0.2560643 ],[0.66406139 0.40958006]
[0.34999959 0.22438349],[0.75000017 0.25563344],[0.66406128 0.40914922]
[0.34999955 0.22393259],[0.75000018 0.25518255],[0.66406117 0.40869834]
[0.34999951 0.22346166],[0.7500002  0.25471162],[0.66406105 0.40822742]
[0.34999947 0.22297069],[0.75000022 0.25422064],[0.66406093 0.40773646]
[0.34999942 0.22245968],[0.75000024 0.25370963],[0.6640608  0.40722546]
[0.34999938 0.22192862],[0.75000025 0.25317858],[0.66406067 0.40669442]
[0.34999933 0.22137753],[0.75000027 0.25262748],[0.66406053 0.40614335]
[0.34999928 0.2208064 ],[0.75000029 0.25205635],[0.66406039 0.40557223]
[0.34999923 0.22021523],[0.75000031 0.25146518],[0.66406024 0.40498107]
[0.34999918 0.21960402],[0.75000034 0.25085397],[0.66406009 0.40436988]
[0.34999913 0.21897277],[0.75000036 0.25022271],[0.66405993 0.40373865]
[0.34999907 0.21832148],[0.75000038 0.24957142],[0.66405976 0.40308737]
[0.34999901 0.21765015],[0.7500004  0.24890009],[0.6640596  0.40241606]
[0.34999896 0.21695878],[0.75000043 0.24820872],[0.66405942 0.40172471]
[0.34999889 0.21624737],[0.75000045 0.24749731],[0.66405924 0.40101332]
[0.34999883 0.21551592],[0.75000048 0.24676586],[0.66405906 0.40028189]
[0.34999877 0.21476444],[0.7500005  0.24601437],[0.66405887 0.39953042]
[0.3499987  0.21399291],[0.75000053 0.24524284],[0.66405868 0.39875891]
[0.34999864 0.21320134],[0.75000056 0.24445127],[0.66405848 0.39796736]
[0.34999857 0.21238973],[0.75000059 0.24363966],[0.66405828 0.39715578]
[0.3499985  0.21155809],[0.75000062 0.24280801],[0.66405807 0.39632415]
[0.34999842 0.2107064 ],[0.75000065 0.24195632],[0.66405785 0.39547249]
[0.34999835 0.20983467],[0.75000068 0.24108459],[0.66405764 0.39460078]
[0.34999827 0.20894291],[0.75000071 0.24019283],[0.66405741 0.39370904]
