1.0
 
[-4.98039869e-03 -1.99978157e+01],[ 2.37944475e-03 -1.99978653e+01],[-1.90797689e-02 -1.99946425e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406246 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406241 0.41390854]
[0.34999996 0.22907279],[0.75000002 0.26032276],[0.66406235 0.41383842]
[0.34999994 0.22898262],[0.75000003 0.26023259],[0.66406226 0.41374827]
[0.34999991 0.22887241],[0.75000004 0.26012238],[0.66406216 0.41363808]
[0.34999988 0.22874216],[0.75000006 0.25999213],[0.66406203 0.41350785]
[0.34999984 0.22859188],[0.75000008 0.25984185],[0.66406189 0.41335759]
[0.3499998  0.22842156],[0.7500001  0.25967152],[0.66406173 0.41318729]
[0.34999975 0.2282312 ],[0.75000012 0.25948116],[0.66406155 0.41299696]
[0.3499997 0.2280208],[0.75000014 0.25927077],[0.66406135 0.4127866 ]
[0.34999964 0.22779036],[0.75000017 0.25904033],[0.66406113 0.4125562 ]
[0.34999958 0.22753989],[0.7500002  0.25878986],[0.66406089 0.41230577]
[0.34999951 0.22726938],[0.75000023 0.25851934],[0.66406063 0.4120353 ]
[0.34999944 0.22697883],[0.75000027 0.25822879],[0.66406036 0.4117448 ]
[0.34999936 0.22666824],[0.7500003  0.25791821],[0.66406006 0.41143426]
[0.34999928 0.22633762],[0.75000034 0.25758758],[0.66405975 0.41110368]
[0.34999919 0.22598695],[0.75000039 0.25723692],[0.66405941 0.41075308]
[0.3499991  0.22561625],[0.75000043 0.25686621],[0.66405906 0.41038244]
[0.349999   0.22522551],[0.75000048 0.25647547],[0.66405869 0.40999176]
[0.3499989  0.22481474],[0.75000052 0.2560647 ],[0.6640583  0.40958105]
[0.3499988  0.22438392],[0.75000058 0.25563388],[0.66405789 0.4091503 ]
[0.34999868 0.22393307],[0.75000063 0.25518303],[0.66405746 0.40869952]
[0.34999857 0.22346218],[0.75000068 0.25471214],[0.66405701 0.4082287 ]
[0.34999844 0.22297125],[0.75000074 0.25422121],[0.66405654 0.40773785]
[0.34999832 0.22246029],[0.7500008  0.25371024],[0.66405606 0.40722697]
[0.34999819 0.22192928],[0.75000087 0.25317924],[0.66405555 0.40669605]
[0.34999805 0.22137824],[0.75000093 0.25262819],[0.66405503 0.40614509]
[0.34999791 0.22080716],[0.750001   0.25205711],[0.66405448 0.4055741 ]
[0.34999776 0.22021604],[0.75000107 0.25146599],[0.66405392 0.40498308]
[0.34999761 0.21960489],[0.75000114 0.25085484],[0.66405334 0.40437202]
[0.34999745 0.2189737 ],[0.75000122 0.25022364],[0.66405274 0.40374093]
[0.34999729 0.21832247],[0.75000129 0.24957241],[0.66405212 0.4030898 ]
[0.34999712 0.2176512 ],[0.75000137 0.24890114],[0.66405148 0.40241864]
[0.34999695 0.21695989],[0.75000146 0.24820983],[0.66405082 0.40172744]
[0.34999677 0.21624854],[0.75000154 0.24749848],[0.66405015 0.40101621]
[0.34999659 0.21551716],[0.75000163 0.2467671 ],[0.66404945 0.40028494]
[0.34999641 0.21476574],[0.75000172 0.24601568],[0.66404874 0.39953364]
[0.34999621 0.21399428],[0.75000181 0.24524422],[0.664048  0.3987623]
[0.34999602 0.21320279],[0.7500019  0.24445272],[0.66404725 0.39797093]
[0.34999582 0.21239125],[0.750002   0.24364118],[0.66404648 0.39715953]
[0.34999561 0.21155968],[0.7500021  0.24280961],[0.66404569 0.39632809]
[0.3499954  0.21070807],[0.7500022 0.241958 ],[0.66404488 0.39547661]
[0.34999518 0.20983642],[0.7500023  0.24108635],[0.66404405 0.3946051 ]
[0.34999496 0.20894474],[0.75000241 0.24019466],[0.6640432  0.39371356]
