1.0
 
[-1.06315392e-02 -1.99946901e+01],[ 5.27950781e-03 -1.99947407e+01],[ -0.04331721 -19.98694167]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406241 0.41395865]
[0.34999995 0.22914293],[0.75000002 0.2603929 ],[0.6640623  0.41390858]
[0.34999991 0.22907281],[0.75000004 0.26032278],[0.66406215 0.41383848]
[0.34999987 0.22898266],[0.75000007 0.26023263],[0.66406196 0.41374836]
[0.34999981 0.22887246],[0.7500001  0.26012243],[0.66406172 0.41363821]
[0.34999974 0.22874224],[0.75000013 0.25999221],[0.66406144 0.41350804]
[0.34999966 0.22859198],[0.75000017 0.25984195],[0.66406111 0.41335784]
[0.34999957 0.22842168],[0.75000021 0.25967165],[0.66406074 0.41318761]
[0.34999947 0.22823135],[0.75000026 0.25948132],[0.66406033 0.41299735]
[0.34999936 0.22802099],[0.75000032 0.25927095],[0.66405988 0.41278707]
[0.34999923 0.22779059],[0.75000038 0.25904055],[0.66405938 0.41255676]
[0.3499991  0.22754015],[0.75000045 0.25879012],[0.66405884 0.41230642]
[0.34999896 0.22726968],[0.75000052 0.25851965],[0.66405825 0.41203605]
[0.3499988  0.22697918],[0.75000059 0.25822915],[0.66405762 0.41174566]
[0.34999864 0.22666864],[0.75000068 0.25791861],[0.66405695 0.41143524]
[0.34999846 0.22633807],[0.75000076 0.25758803],[0.66405624 0.4111048 ]
[0.34999828 0.22598746],[0.75000086 0.25723742],[0.66405548 0.41075433]
[0.34999808 0.22561682],[0.75000095 0.25686678],[0.66405468 0.41038383]
[0.34999787 0.22522614],[0.75000106 0.2564761 ],[0.66405383 0.4099933 ]
[0.34999765 0.22481543],[0.75000117 0.25606539],[0.66405294 0.40958275]
[0.34999743 0.22438468],[0.75000128 0.25563464],[0.66405201 0.40915217]
[0.34999719 0.2239339 ],[0.7500014  0.25518386],[0.66405103 0.40870156]
[0.34999694 0.22346308],[0.75000152 0.25471304],[0.66405002 0.40823093]
[0.34999667 0.22297223],[0.75000165 0.25422219],[0.66404895 0.40774026]
[0.3499964  0.22246135],[0.75000179 0.2537113 ],[0.66404785 0.40722958]
[0.34999612 0.22193042],[0.75000193 0.25318038],[0.6640467  0.40669886]
[0.34999583 0.22137947],[0.75000207 0.25262942],[0.66404551 0.40614812]
[0.34999553 0.22080848],[0.75000222 0.25205843],[0.66404427 0.40557735]
[0.34999521 0.22021745],[0.75000238 0.2514674 ],[0.66404299 0.40498655]
[0.34999489 0.21960639],[0.75000254 0.25085634],[0.66404167 0.40437573]
[0.34999455 0.2189753 ],[0.75000271 0.25022524],[0.6640403  0.40374488]
[0.34999421 0.21832417],[0.75000288 0.24957411],[0.6640389 0.403094 ]
[0.34999385 0.21765301],[0.75000305 0.24890295],[0.66403744 0.4024231 ]
[0.34999348 0.21696181],[0.75000324 0.24821175],[0.66403595 0.40173217]
[0.34999311 0.21625057],[0.75000342 0.24750051],[0.66403441 0.40102121]
[0.34999272 0.21551931],[0.75000362 0.24676924],[0.66403283 0.40029022]
[0.34999232 0.214768  ],[0.75000381 0.24601794],[0.6640312  0.39953921]
[0.34999191 0.21399667],[0.75000402 0.2452466 ],[0.66402953 0.39876817]
[0.34999149 0.21320529],[0.75000423 0.24445522],[0.66402782 0.39797711]
[0.34999106 0.21239389],[0.75000444 0.24364381],[0.66402606 0.39716601]
[0.34999062 0.21156244],[0.75000466 0.24281237],[0.66402427 0.39633489]
[0.34999016 0.21071097],[0.75000488 0.24196089],[0.66402242 0.39548375]
[0.3499897  0.20983946],[0.75000511 0.24108938],[0.66402054 0.39461257]
[0.34998923 0.20894791],[0.75000535 0.24019783],[0.66401861 0.39372137]
