0.18329179985396832,0.5719193726897578,1.0
 
[-8.35566505e-04 -2.00001080e+01],[ 2.52006743e-04 -2.00001572e+01],[-1.29507939e-03 -2.00002924e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.6640625  0.41395862]
[0.35       0.22914291],[0.75       0.26039288],[0.66406249 0.41390852]
[0.34999999 0.22907277],[0.75       0.26032274],[0.66406249 0.41383838]
[0.34999999 0.22898259],[0.75       0.26023256],[0.66406248 0.4137482 ]
[0.34999999 0.22887237],[0.75       0.26012234],[0.66406248 0.41363797]
[0.34999998 0.22874211],[0.75000001 0.25999207],[0.66406247 0.41350771]
[0.34999997 0.2285918 ],[0.75000001 0.25984177],[0.66406246 0.41335741]
[0.34999997 0.22842146],[0.75000001 0.25967143],[0.66406245 0.41318706]
[0.34999996 0.22823108],[0.75000001 0.25948105],[0.66406244 0.41299668]
[0.34999995 0.22802066],[0.75000001 0.25927063],[0.66406242 0.41278626]
[0.34999994 0.2277902 ],[0.75000002 0.25904016],[0.66406241 0.41255579]
[0.34999993 0.2275397 ],[0.75000002 0.25878966],[0.66406239 0.41230529]
[0.34999992 0.22726915],[0.75000002 0.25851912],[0.66406237 0.41203474]
[0.34999991 0.22697857],[0.75000003 0.25822853],[0.66406236 0.41174416]
[0.3499999  0.22666795],[0.75000003 0.25791791],[0.66406234 0.41143353]
[0.34999988 0.22633729],[0.75000004 0.25758725],[0.66406231 0.41110286]
[0.34999987 0.22598658],[0.75000004 0.25723654],[0.66406229 0.41075216]
[0.34999985 0.22561584],[0.75000004 0.2568658 ],[0.66406227 0.41038141]
[0.34999984 0.22522506],[0.75000005 0.25647502],[0.66406224 0.40999062]
[0.34999982 0.22481423],[0.75000005 0.25606419],[0.66406222 0.40957979]
[0.3499998  0.22438337],[0.75000006 0.25563333],[0.66406219 0.40914893]
[0.34999978 0.22393246],[0.75000007 0.25518242],[0.66406216 0.40869802]
[0.34999977 0.22346152],[0.75000007 0.25471148],[0.66406213 0.40822707]
[0.34999975 0.22297054],[0.75000008 0.25422049],[0.6640621  0.40773608]
[0.34999972 0.22245951],[0.75000008 0.25370946],[0.66406207 0.40722505]
[0.3499997  0.22192845],[0.75000009 0.2531784 ],[0.66406203 0.40669398]
[0.34999968 0.22137734],[0.7500001  0.25262729],[0.664062   0.40614287]
[0.34999966 0.2208062 ],[0.7500001  0.25205615],[0.66406196 0.40557172]
[0.34999963 0.22021501],[0.75000011 0.25146496],[0.66406192 0.40498052]
[0.34999961 0.21960379],[0.75000012 0.25085373],[0.66406188 0.40436929]
[0.34999958 0.21897252],[0.75000013 0.25022247],[0.66406184 0.40373802]
[0.34999956 0.21832122],[0.75000013 0.24957116],[0.6640618  0.40308671]
[0.34999953 0.21764987],[0.75000014 0.24889981],[0.66406176 0.40241535]
[0.3499995  0.21695848],[0.75000015 0.24820842],[0.66406172 0.40172396]
[0.34999947 0.21624706],[0.75000016 0.24749699],[0.66406167 0.40101253]
[0.34999944 0.21551559],[0.75000017 0.24676553],[0.66406162 0.40028105]
[0.34999941 0.21476409],[0.75000018 0.24601402],[0.66406158 0.39952954]
[0.34999938 0.21399254],[0.75000019 0.24524247],[0.66406153 0.39875798]
[0.34999935 0.21320095],[0.7500002  0.24445088],[0.66406148 0.39796639]
