1.0
 
[-5.73395526e-03 -1.99973989e+01],[ 2.76612705e-03 -1.99974487e+01],[ -0.02231241 -19.99361553]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044298],[0.66406246 0.41395863]
[0.34999997 0.22914292],[0.75000001 0.26039289],[0.6640624  0.41390855]
[0.34999995 0.22907279],[0.75000002 0.26032276],[0.66406232 0.41383843]
[0.34999993 0.22898262],[0.75000003 0.26023259],[0.66406222 0.41374828]
[0.3499999  0.22887242],[0.75000005 0.26012238],[0.6640621  0.41363809]
[0.34999986 0.22874217],[0.75000007 0.25999214],[0.66406195 0.41350787]
[0.34999982 0.22859189],[0.75000009 0.25984186],[0.66406179 0.41335762]
[0.34999977 0.22842157],[0.75000011 0.25967154],[0.6640616  0.41318734]
[0.34999971 0.22823122],[0.75000014 0.25948118],[0.66406138 0.41299702]
[0.34999965 0.22802082],[0.75000017 0.25927079],[0.66406115 0.41278666]
[0.34999959 0.22779039],[0.7500002  0.25904036],[0.66406089 0.41255628]
[0.34999952 0.22753992],[0.75000023 0.25878989],[0.66406062 0.41230585]
[0.34999944 0.22726942],[0.75000027 0.25851938],[0.66406031 0.4120354 ]
[0.34999936 0.22697888],[0.75000031 0.25822884],[0.66405999 0.41174491]
[0.34999927 0.2266683 ],[0.75000035 0.25791826],[0.66405965 0.41143439]
[0.34999917 0.22633768],[0.7500004  0.25758764],[0.66405928 0.41110383]
[0.34999907 0.22598702],[0.75000045 0.25723698],[0.66405889 0.41075324]
[0.34999897 0.22561633],[0.7500005  0.25686629],[0.66405847 0.41038262]
[0.34999885 0.2252256 ],[0.75000055 0.25647556],[0.66405804 0.40999196]
[0.34999874 0.22481483],[0.75000061 0.25606479],[0.66405758 0.40958127]
[0.34999861 0.22438402],[0.75000067 0.25563398],[0.6640571  0.40915055]
[0.34999848 0.22393318],[0.75000073 0.25518314],[0.6640566  0.40869979]
[0.34999835 0.2234623 ],[0.7500008  0.25471226],[0.66405608 0.408229  ]
[0.34999821 0.22297138],[0.75000086 0.25422134],[0.66405553 0.40773818]
[0.34999806 0.22246043],[0.75000093 0.25371038],[0.66405496 0.40722732]
[0.34999791 0.22192944],[0.75000101 0.25317939],[0.66405437 0.40669642]
[0.34999775 0.22137841],[0.75000108 0.25262836],[0.66405376 0.4061455 ]
[0.34999759 0.22080734],[0.75000116 0.25205729],[0.66405312 0.40557454]
[0.34999742 0.22021623],[0.75000124 0.25146618],[0.66405246 0.40498354]
[0.34999725 0.21960509],[0.75000133 0.25085504],[0.66405178 0.40437252]
[0.34999706 0.21897391],[0.75000142 0.25022385],[0.66405108 0.40374146]
[0.34999688 0.21832269],[0.75000151 0.24957264],[0.66405036 0.40309036]
[0.34999669 0.21765144],[0.7500016  0.24890138],[0.66404961 0.40241923]
[0.34999649 0.21696015],[0.75000169 0.24821008],[0.66404884 0.40172807]
[0.34999629 0.21624882],[0.75000179 0.24749875],[0.66404805 0.40101688]
[0.34999608 0.21551745],[0.75000189 0.24676738],[0.66404723 0.40028565]
[0.34999586 0.21476604],[0.750002   0.24601598],[0.6640464  0.39953438]
[0.34999564 0.2139946 ],[0.7500021  0.24524453],[0.66404554 0.39876309]
[0.34999541 0.21320312],[0.75000221 0.24445305],[0.66404466 0.39797176]
[0.34999518 0.2123916 ],[0.75000232 0.24364153],[0.66404375 0.39716039]
[0.34999494 0.21156005],[0.75000244 0.24280998],[0.66404283 0.39632899]
[0.3499947  0.21070846],[0.75000256 0.24195838],[0.66404188 0.39547756]
[0.34999445 0.20983683],[0.75000268 0.24108675],[0.66404091 0.3946061 ]
[0.3499942  0.20894516],[0.7500028  0.24019508],[0.66403992 0.3937146 ]
