1.0
 
[-6.73862178e-03 -1.99968433e+01],[ 3.28176365e-03 -1.99968932e+01],[ -0.02662211 -19.99224633]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406245 0.41395864]
[0.34999997 0.22914292],[0.75000001 0.26039289],[0.66406238 0.41390855]
[0.34999995 0.22907279],[0.75000003 0.26032276],[0.66406229 0.41383844]
[0.34999992 0.22898263],[0.75000004 0.2602326 ],[0.66406217 0.4137483 ]
[0.34999988 0.22887243],[0.75000006 0.26012239],[0.66406202 0.41363812]
[0.34999983 0.22874219],[0.75000008 0.25999215],[0.66406185 0.41350791]
[0.34999978 0.22859191],[0.75000011 0.25984188],[0.66406165 0.41335767]
[0.34999973 0.2284216 ],[0.75000013 0.25967156],[0.66406142 0.41318739]
[0.34999966 0.22823124],[0.75000016 0.25948121],[0.66406117 0.41299708]
[0.34999959 0.22802086],[0.7500002  0.25927082],[0.66406089 0.41278675]
[0.34999951 0.22779043],[0.75000024 0.2590404 ],[0.66406058 0.41255637]
[0.34999943 0.22753997],[0.75000028 0.25878994],[0.66406025 0.41230597]
[0.34999934 0.22726947],[0.75000032 0.25851944],[0.66405989 0.41203553]
[0.34999924 0.22697894],[0.75000037 0.2582289 ],[0.66405951 0.41174507]
[0.34999914 0.22666837],[0.75000042 0.25791833],[0.66405909 0.41143456]
[0.34999903 0.22633776],[0.75000047 0.25758772],[0.66405865 0.41110403]
[0.34999891 0.22598711],[0.75000053 0.25723707],[0.66405819 0.41075347]
[0.34999878 0.22561643],[0.75000059 0.25686639],[0.66405769 0.41038287]
[0.34999865 0.22522571],[0.75000066 0.25647567],[0.66405718 0.40999224]
[0.34999851 0.22481495],[0.75000072 0.25606491],[0.66405663 0.40958158]
[0.34999837 0.22438416],[0.75000079 0.25563412],[0.66405606 0.40915088]
[0.34999822 0.22393333],[0.75000087 0.25518329],[0.66405546 0.40870015]
[0.34999806 0.22346246],[0.75000095 0.25471242],[0.66405483 0.4082294 ]
[0.34999789 0.22297156],[0.75000103 0.25422151],[0.66405418 0.4077386 ]
[0.34999772 0.22246062],[0.75000111 0.25371057],[0.6640535  0.40722778]
[0.34999754 0.22192964],[0.7500012  0.25317959],[0.6640528  0.40669692]
[0.34999736 0.22137862],[0.75000129 0.25262857],[0.66405206 0.40614604]
[0.34999717 0.22080757],[0.75000138 0.25205752],[0.66405131 0.40557511]
[0.34999697 0.22021648],[0.75000148 0.25146643],[0.66405052 0.40498416]
[0.34999676 0.21960536],[0.75000158 0.2508553 ],[0.66404971 0.40437318]
[0.34999655 0.2189742 ],[0.75000168 0.25022414],[0.66404887 0.40374216]
[0.34999633 0.218323  ],[0.75000179 0.24957294],[0.664048   0.40309111]
[0.3499961  0.21765176],[0.7500019 0.2489017],[0.66404711 0.40242003]
[0.34999587 0.21696049],[0.75000201 0.24821043],[0.66404619 0.40172891]
[0.34999563 0.21624918],[0.75000213 0.24749911],[0.66404525 0.40101776]
[0.34999539 0.21551783],[0.75000225 0.24676776],[0.66404428 0.40028659]
[0.34999513 0.21476645],[0.75000237 0.24601638],[0.66404328 0.39953537]
[0.34999487 0.21399502],[0.7500025  0.24524496],[0.66404225 0.39876413]
[0.34999461 0.21320357],[0.75000263 0.2444535 ],[0.6640412  0.39797285]
[0.34999434 0.21239207],[0.75000276 0.243642  ],[0.66404012 0.39716155]
[0.34999406 0.21156054],[0.75000289 0.24281047],[0.66403902 0.3963302 ]
[0.34999377 0.21070897],[0.75000303 0.2419589 ],[0.66403789 0.39547883]
[0.34999348 0.20983737],[0.75000318 0.24108729],[0.66403673 0.39460743]
[0.34999318 0.20894572],[0.75000332 0.24019564],[0.66403555 0.39371599]
