1.0
 
[-2.34283792e-03 -1.99992744e+01],[ 1.02584148e-03 -1.99993237e+01],[-7.76324229e-03 -1.99982375e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406248 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406247 0.41390853]
[0.34999998 0.22907278],[0.75000001 0.26032274],[0.66406244 0.41383839]
[0.34999997 0.2289826 ],[0.75000001 0.26023257],[0.6640624  0.41374822]
[0.34999996 0.22887238],[0.75000002 0.26012235],[0.66406236 0.41363801]
[0.34999994 0.22874213],[0.75000003 0.25999209],[0.66406231 0.41350776]
[0.34999993 0.22859183],[0.75000003 0.2598418 ],[0.66406225 0.41335747]
[0.34999991 0.2284215 ],[0.75000004 0.25967146],[0.66406219 0.41318715]
[0.34999988 0.22823112],[0.75000005 0.25948109],[0.66406211 0.41299678]
[0.34999986 0.22802071],[0.75000006 0.25927068],[0.66406203 0.41278638]
[0.34999983 0.22779026],[0.75000007 0.25904022],[0.66406194 0.41255594]
[0.3499998  0.22753977],[0.75000009 0.25878973],[0.66406185 0.41230546]
[0.34999977 0.22726923],[0.7500001 0.2585192],[0.66406174 0.41203495]
[0.34999974 0.22697866],[0.75000011 0.25822863],[0.66406163 0.41174439]
[0.3499997  0.22666805],[0.75000013 0.25791802],[0.66406151 0.4114338 ]
[0.34999966 0.22633741],[0.75000015 0.25758737],[0.66406138 0.41110316]
[0.34999962 0.22598672],[0.75000017 0.25723668],[0.66406125 0.41075249]
[0.34999958 0.22561599],[0.75000018 0.25686595],[0.66406111 0.41038178]
[0.34999953 0.22522522],[0.7500002  0.25647518],[0.66406096 0.40999104]
[0.34999949 0.22481442],[0.75000023 0.25606437],[0.6640608  0.40958025]
[0.34999943 0.22438357],[0.75000025 0.25563353],[0.66406063 0.40914943]
[0.34999938 0.22393268],[0.75000027 0.25518264],[0.66406046 0.40869857]
[0.34999933 0.22346176],[0.75000029 0.25471172],[0.66406028 0.40822767]
[0.34999927 0.2229708 ],[0.75000032 0.25422075],[0.66406009 0.40773673]
[0.34999921 0.22245979],[0.75000035 0.25370975],[0.66405989 0.40722575]
[0.34999915 0.22192875],[0.75000037 0.2531787 ],[0.66405968 0.40669474]
[0.34999908 0.22137767],[0.7500004  0.25262762],[0.66405947 0.40614368]
[0.34999902 0.22080655],[0.75000043 0.2520565 ],[0.66405925 0.40557259]
[0.34999895 0.22021539],[0.75000046 0.25146533],[0.66405902 0.40498146]
[0.34999888 0.21960419],[0.75000049 0.25085413],[0.66405879 0.40437029]
[0.3499988  0.21897295],[0.75000052 0.25022289],[0.66405854 0.40373908]
[0.34999873 0.21832167],[0.75000056 0.24957161],[0.66405829 0.40308784]
[0.34999865 0.21765035],[0.75000059 0.24890029],[0.66405804 0.40241656]
[0.34999857 0.21695899],[0.75000063 0.24820893],[0.66405777 0.40172523]
[0.34999849 0.2162476 ],[0.75000066 0.24749754],[0.66405749 0.40101387]
[0.3499984  0.21551616],[0.7500007 0.2467661],[0.66405721 0.40028248]
[0.34999831 0.21476469],[0.75000074 0.24601462],[0.66405692 0.39953104]
[0.34999822 0.21399317],[0.75000078 0.2452431 ],[0.66405663 0.39875956]
[0.34999813 0.21320162],[0.75000082 0.24445155],[0.66405632 0.39796805]
[0.34999804 0.21239002],[0.75000086 0.24363995],[0.66405601 0.3971565 ]
[0.34999794 0.21155839],[0.7500009  0.24280832],[0.66405569 0.39632491]
[0.34999784 0.21070672],[0.75000094 0.24195664],[0.66405536 0.39547328]
[0.34999774 0.20983501],[0.75000099 0.24108493],[0.66405502 0.39460161]
[0.34999764 0.20894326],[0.75000103 0.24019318],[0.66405468 0.39370991]
