1.0
 
[-8.49679772e-03 -1.99958709e+01],[ 4.18388986e-03 -1.99959211e+01],[ -0.03416277 -19.98985049]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406235 0.41390857]
[0.34999993 0.2290728 ],[0.75000003 0.26032277],[0.66406223 0.41383846]
[0.34999989 0.22898264],[0.75000005 0.26023261],[0.66406207 0.41374833]
[0.34999985 0.22887244],[0.75000008 0.26012241],[0.66406188 0.41363816]
[0.34999979 0.22874221],[0.7500001  0.25999218],[0.66406166 0.41350797]
[0.34999973 0.22859194],[0.75000013 0.25984191],[0.66406141 0.41335774]
[0.34999966 0.22842163],[0.75000017 0.2596716 ],[0.66406112 0.41318749]
[0.34999957 0.22823129],[0.75000021 0.25948126],[0.66406079 0.4129972 ]
[0.34999949 0.22802092],[0.75000025 0.25927088],[0.66406043 0.41278689]
[0.34999939 0.2277905 ],[0.7500003  0.25904047],[0.66406004 0.41255655]
[0.34999928 0.22754005],[0.75000035 0.25879002],[0.66405961 0.41230617]
[0.34999917 0.22726957],[0.75000041 0.25851953],[0.66405915 0.41203577]
[0.34999904 0.22697905],[0.75000047 0.25822901],[0.66405866 0.41174534]
[0.34999891 0.22666849],[0.75000054 0.25791845],[0.66405813 0.41143487]
[0.34999877 0.2263379 ],[0.7500006  0.25758786],[0.66405756 0.41110438]
[0.34999862 0.22598727],[0.75000068 0.25723723],[0.66405696 0.41075386]
[0.34999847 0.2256166 ],[0.75000076 0.25686657],[0.66405633 0.4103833 ]
[0.3499983 0.2252259],[0.75000084 0.25647586],[0.66405566 0.40999272]
[0.34999813 0.22481517],[0.75000092 0.25606513],[0.66405496 0.40958211]
[0.34999794 0.2243844 ],[0.75000101 0.25563435],[0.66405423 0.40915146]
[0.34999775 0.22393359],[0.75000111 0.25518354],[0.66405346 0.40870079]
[0.34999755 0.22346274],[0.75000121 0.2547127 ],[0.66405266 0.40823009]
[0.34999734 0.22297186],[0.75000131 0.25422182],[0.66405182 0.40773935]
[0.34999713 0.22246095],[0.75000141 0.2537109 ],[0.66405095 0.40722859]
[0.3499969  0.22192999],[0.75000153 0.25317995],[0.66405004 0.4066978 ]
[0.34999667 0.22137901],[0.75000164 0.25262896],[0.6640491  0.40614698]
[0.34999643 0.22080798],[0.75000176 0.25205793],[0.66404813 0.40557612]
[0.34999617 0.22021692],[0.75000188 0.25146687],[0.66404712 0.40498524]
[0.34999592 0.21960583],[0.75000201 0.25085577],[0.66404608 0.40437433]
[0.34999565 0.21897469],[0.75000214 0.25022464],[0.664045   0.40374339]
[0.34999537 0.21832353],[0.75000228 0.24957347],[0.66404389 0.40309242]
[0.34999509 0.21765232],[0.75000242 0.24890226],[0.66404275 0.40242141]
[0.34999479 0.21696108],[0.75000256 0.24821102],[0.66404157 0.40173038]
[0.34999449 0.21624981],[0.75000271 0.24749974],[0.66404035 0.40101932]
[0.34999418 0.2155185 ],[0.75000287 0.24676843],[0.66403911 0.40028823]
[0.34999386 0.21476715],[0.75000302 0.24601708],[0.66403782 0.39953711]
[0.34999353 0.21399577],[0.75000318 0.2452457 ],[0.66403651 0.39876596]
[0.3499932  0.21320435],[0.75000335 0.24445428],[0.66403516 0.39797477]
[0.34999285 0.21239289],[0.75000352 0.24364282],[0.66403377 0.39716356]
[0.3499925 0.2115614],[0.75000369 0.24281133],[0.66403236 0.39633232]
[0.34999214 0.21070987],[0.75000387 0.2419598 ],[0.6640309  0.39548105]
[0.34999177 0.20983831],[0.75000405 0.24108823],[0.66402942 0.39460975]
[0.34999139 0.20894671],[0.75000424 0.24019663],[0.6640279  0.39371842]
