1.0
 
[-2.09164352e-03 -1.99994133e+01],[ 8.96879213e-04 -1.99994626e+01],[-6.68526099e-03 -1.99985799e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406247 0.41390853]
[0.34999998 0.22907277],[0.75000001 0.26032274],[0.66406245 0.41383839]
[0.34999997 0.2289826 ],[0.75000001 0.26023257],[0.66406242 0.41374822]
[0.34999996 0.22887238],[0.75000002 0.26012235],[0.66406238 0.413638  ]
[0.34999995 0.22874212],[0.75000002 0.25999209],[0.66406234 0.41350775]
[0.34999993 0.22859183],[0.75000003 0.2598418 ],[0.66406229 0.41335746]
[0.34999992 0.22842149],[0.75000004 0.25967146],[0.66406223 0.41318713]
[0.3499999  0.22823112],[0.75000004 0.25948108],[0.66406217 0.41299677]
[0.34999987 0.2280207 ],[0.75000005 0.25927067],[0.6640621  0.41278636]
[0.34999985 0.22779025],[0.75000006 0.25904021],[0.66406202 0.41255592]
[0.34999982 0.22753975],[0.75000008 0.25878972],[0.66406194 0.41230543]
[0.3499998  0.22726922],[0.75000009 0.25851919],[0.66406185 0.41203491]
[0.34999977 0.22697865],[0.7500001  0.25822861],[0.66406175 0.41174435]
[0.34999973 0.22666804],[0.75000011 0.257918  ],[0.66406165 0.41143375]
[0.3499997  0.22633739],[0.75000013 0.25758735],[0.66406154 0.41110311]
[0.34999966 0.22598669],[0.75000014 0.25723666],[0.66406142 0.41075244]
[0.34999962 0.22561596],[0.75000016 0.25686593],[0.6640613  0.41038172]
[0.34999958 0.22522519],[0.75000018 0.25647515],[0.66406117 0.40999097]
[0.34999954 0.22481438],[0.7500002  0.25606434],[0.66406103 0.40958018]
[0.3499995  0.22438354],[0.75000022 0.25563349],[0.66406089 0.40914935]
[0.34999945 0.22393265],[0.75000024 0.2551826 ],[0.66406074 0.40869848]
[0.3499994  0.22346172],[0.75000026 0.25471168],[0.66406059 0.40822757]
[0.34999935 0.22297075],[0.75000028 0.25422071],[0.66406042 0.40773662]
[0.3499993  0.22245975],[0.7500003 0.2537097],[0.66406025 0.40722563]
[0.34999924 0.2219287 ],[0.75000033 0.25317865],[0.66406008 0.40669461]
[0.34999918 0.22137761],[0.75000035 0.25262756],[0.6640599  0.40614355]
[0.34999912 0.22080649],[0.75000038 0.25205644],[0.66405971 0.40557245]
[0.34999906 0.22021532],[0.7500004  0.25146527],[0.66405951 0.40498131]
[0.349999   0.21960412],[0.75000043 0.25085407],[0.66405931 0.40437013]
[0.34999893 0.21897288],[0.75000046 0.25022282],[0.6640591  0.40373891]
[0.34999887 0.21832159],[0.75000049 0.24957154],[0.66405888 0.40308765]
[0.3499988  0.21765027],[0.75000052 0.24890021],[0.66405866 0.40241636]
[0.34999872 0.21695891],[0.75000055 0.24820885],[0.66405843 0.40172502]
[0.34999865 0.21624751],[0.75000058 0.24749745],[0.66405819 0.40101365]
[0.34999857 0.21551607],[0.75000061 0.246766  ],[0.66405795 0.40028224]
[0.3499985  0.21476459],[0.75000064 0.24601452],[0.6640577  0.39953079]
[0.34999842 0.21399307],[0.75000068 0.245243  ],[0.66405745 0.3987593 ]
[0.34999833 0.21320151],[0.75000071 0.24445144],[0.66405718 0.39796778]
[0.34999825 0.21238991],[0.75000075 0.24363984],[0.66405692 0.39715621]
[0.34999816 0.21155827],[0.75000079 0.2428082 ],[0.66405664 0.39632461]
[0.34999807 0.21070659],[0.75000082 0.24195652],[0.66405636 0.39547296]
[0.34999798 0.20983487],[0.75000086 0.2410848 ],[0.66405607 0.39460128]
[0.34999789 0.20894312],[0.7500009  0.24019304],[0.66405577 0.39370956]
