1.0
 
[-7.49211277e-03 -1.99964265e+01],[ 3.66845449e-03 -1.99964766e+01],[ -0.02985403 -19.9912195 ]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406244 0.41395864]
[0.34999997 0.22914293],[0.75000002 0.2603929 ],[0.66406237 0.41390856]
[0.34999994 0.2290728 ],[0.75000003 0.26032277],[0.66406226 0.41383845]
[0.34999991 0.22898263],[0.75000005 0.2602326 ],[0.66406213 0.41374831]
[0.34999987 0.22887243],[0.75000007 0.2601224 ],[0.66406196 0.41363814]
[0.34999982 0.2287422 ],[0.75000009 0.25999216],[0.66406177 0.41350793]
[0.34999976 0.22859192],[0.75000012 0.25984189],[0.66406154 0.4133577 ]
[0.3499997  0.22842161],[0.75000015 0.25967158],[0.66406129 0.41318743]
[0.34999963 0.22823127],[0.75000018 0.25948123],[0.66406101 0.41299714]
[0.34999955 0.22802088],[0.75000022 0.25927085],[0.66406069 0.41278681]
[0.34999946 0.22779046],[0.75000026 0.25904043],[0.66406035 0.41255645]
[0.34999937 0.22754001],[0.75000031 0.25878997],[0.66405998 0.41230606]
[0.34999927 0.22726951],[0.75000036 0.25851948],[0.66405957 0.41203563]
[0.34999916 0.22697899],[0.75000041 0.25822895],[0.66405914 0.41174518]
[0.34999904 0.22666842],[0.75000047 0.25791838],[0.66405868 0.4114347 ]
[0.34999892 0.22633782],[0.75000053 0.25758778],[0.66405819 0.41110418]
[0.34999879 0.22598718],[0.75000059 0.25723714],[0.66405766 0.41075363]
[0.34999865 0.2256165 ],[0.75000066 0.25686647],[0.66405711 0.41038305]
[0.3499985  0.22522579],[0.75000073 0.25647575],[0.66405653 0.40999244]
[0.34999835 0.22481504],[0.75000081 0.256065  ],[0.66405592 0.4095818 ]
[0.34999819 0.22438426],[0.75000089 0.25563422],[0.66405527 0.40915113]
[0.34999802 0.22393344],[0.75000097 0.2551834 ],[0.6640546  0.40870043]
[0.34999784 0.22346258],[0.75000106 0.25471254],[0.6640539  0.40822969]
[0.34999766 0.22297169],[0.75000115 0.25422164],[0.66405317 0.40773893]
[0.34999747 0.22246076],[0.75000124 0.25371071],[0.66405241 0.40722813]
[0.34999727 0.22192979],[0.75000134 0.25317974],[0.66405162 0.4066973 ]
[0.34999706 0.22137879],[0.75000144 0.25262874],[0.66405079 0.40614644]
[0.34999685 0.22080775],[0.75000154 0.2520577 ],[0.66404994 0.40557555]
[0.34999663 0.22021667],[0.75000165 0.25146662],[0.66404906 0.40498462]
[0.3499964  0.21960556],[0.75000176 0.2508555 ],[0.66404815 0.40437367]
[0.34999616 0.21897441],[0.75000188 0.25022435],[0.66404721 0.40374269]
[0.34999592 0.21832322],[0.750002   0.24957317],[0.66404624 0.40309167]
[0.34999567 0.217652  ],[0.75000212 0.24890194],[0.66404524 0.40242062]
[0.34999541 0.21696074],[0.75000225 0.24821068],[0.66404421 0.40172954]
[0.34999514 0.21624945],[0.75000238 0.24749938],[0.66404315 0.40101843]
[0.34999487 0.21551812],[0.75000251 0.24676805],[0.66404206 0.40028729]
[0.34999459 0.21476675],[0.75000265 0.24601668],[0.66404094 0.39953612]
[0.3499943  0.21399534],[0.75000279 0.24524527],[0.66403979 0.39876491]
[0.349994  0.2132039],[0.75000294 0.24445383],[0.66403861 0.39797368]
[0.3499937  0.21239242],[0.75000308 0.24364235],[0.6640374  0.39716241]
[0.34999339 0.21156091],[0.75000324 0.24281083],[0.66403616 0.39633111]
[0.34999307 0.21070936],[0.75000339 0.24195928],[0.66403489 0.39547978]
[0.34999275 0.20983777],[0.75000355 0.24108769],[0.6640336  0.39460842]
[0.34999241 0.20894615],[0.75000372 0.24019607],[0.66403227 0.39371703]
