1.0
 
[-1.22639302e-02 -1.99937873e+01],[ 6.11715980e-03 -1.99938381e+01],[ -0.05031603 -19.98471759]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406247 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.6640624  0.41395865]
[0.34999994 0.22914294],[0.75000003 0.26039291],[0.66406227 0.41390859]
[0.3499999  0.22907282],[0.75000005 0.26032279],[0.6640621 0.4138385]
[0.34999985 0.22898267],[0.75000008 0.26023264],[0.66406187 0.41374839]
[0.34999978 0.22887248],[0.75000011 0.26012245],[0.66406159 0.41363825]
[0.3499997  0.22874226],[0.75000015 0.25999223],[0.66406127 0.41350809]
[0.34999961 0.22859201],[0.7500002  0.25984198],[0.66406089 0.41335791]
[0.3499995  0.22842172],[0.75000025 0.25967169],[0.66406046 0.4131877 ]
[0.34999939 0.2282314 ],[0.75000031 0.25948137],[0.66405998 0.41299746]
[0.34999926 0.22802104],[0.75000037 0.25927101],[0.66405945 0.4127872 ]
[0.34999912 0.22779065],[0.75000044 0.25904062],[0.66405887 0.41255692]
[0.34999896 0.22754023],[0.75000052 0.2587902 ],[0.66405824 0.41230661]
[0.3499988  0.22726977],[0.7500006  0.25851974],[0.66405756 0.41203627]
[0.34999862 0.22697928],[0.75000069 0.25822925],[0.66405683 0.41174591]
[0.34999843 0.22666876],[0.75000078 0.25791872],[0.66405605 0.41143553]
[0.34999823 0.2263382 ],[0.75000088 0.25758816],[0.66405522 0.41110512]
[0.34999801 0.22598761],[0.75000099 0.25723757],[0.66405434 0.41075469]
[0.34999778 0.22561698],[0.75000111 0.25686694],[0.66405341 0.41038423]
[0.34999754 0.22522632],[0.75000122 0.25647628],[0.66405243 0.40999375]
[0.34999729 0.22481563],[0.75000135 0.25606559],[0.66405139 0.40958324]
[0.34999703 0.2243849 ],[0.75000148 0.25563486],[0.66405031 0.40915271]
[0.34999675 0.22393414],[0.75000162 0.2551841 ],[0.66404918 0.40870215]
[0.34999646 0.22346334],[0.75000176 0.2547133 ],[0.664048   0.40823157]
[0.34999616 0.22297251],[0.75000191 0.25422247],[0.66404676 0.40774096]
[0.34999585 0.22246165],[0.75000207 0.2537116 ],[0.66404548 0.40723033]
[0.34999553 0.22193075],[0.75000223 0.25318071],[0.66404414 0.40669967]
[0.34999519 0.22137982],[0.7500024  0.25262977],[0.66404276 0.40614899]
[0.34999484 0.22080886],[0.75000257 0.25205881],[0.66404132 0.40557829]
[0.34999448 0.22021786],[0.75000276 0.25146781],[0.66403984 0.40498756]
[0.3499941  0.21960683],[0.75000294 0.25085677],[0.6640383 0.4043768]
[0.34999371 0.21897576],[0.75000313 0.25022571],[0.66403671 0.40374602]
[0.34999332 0.21832466],[0.75000333 0.24957461],[0.66403508 0.40309522]
[0.3499929  0.21765353],[0.75000354 0.24890347],[0.66403339 0.40242439]
[0.34999248 0.21696236],[0.75000375 0.2482123 ],[0.66403165 0.40173353]
[0.34999205 0.21625116],[0.75000397 0.2475011 ],[0.66402986 0.40102265]
[0.3499916  0.21551993],[0.75000419 0.24676986],[0.66402803 0.40029175]
[0.34999114 0.21476866],[0.75000442 0.24601859],[0.66402614 0.39954082]
[0.34999066 0.21399735],[0.75000466 0.24524728],[0.6640242  0.39876987]
[0.34999018 0.21320602],[0.7500049  0.24445595],[0.66402221 0.39797889]
[0.34998968 0.21239465],[0.75000515 0.24364457],[0.66402017 0.39716789]
[0.34998917 0.21156324],[0.7500054  0.24281317],[0.66401808 0.39633686]
[0.34998865 0.2107118 ],[0.75000566 0.24196173],[0.66401594 0.39548581]
[0.34998812 0.20984033],[0.75000593 0.24109025],[0.66401375 0.39461473]
[0.34998757 0.20894883],[0.7500062  0.24019874],[0.66401151 0.39372363]
