1.0
 
[-5.23160117e-03 -1.99976768e+01],[ 2.50830231e-03 -1.99977264e+01],[ -0.02015732 -19.99430017]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75000001 0.26044298],[0.66406246 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406241 0.41390855]
[0.34999996 0.22907279],[0.75000002 0.26032276],[0.66406234 0.41383843]
[0.34999993 0.22898262],[0.75000003 0.26023259],[0.66406225 0.41374827]
[0.34999991 0.22887241],[0.75000005 0.26012238],[0.66406214 0.41363808]
[0.34999987 0.22874217],[0.75000006 0.25999213],[0.66406201 0.41350786]
[0.34999983 0.22859188],[0.75000008 0.25984185],[0.66406186 0.4133576 ]
[0.34999979 0.22842156],[0.7500001  0.25967153],[0.66406168 0.41318731]
[0.34999974 0.2282312 ],[0.75000013 0.25948117],[0.66406149 0.41299698]
[0.34999968 0.22802081],[0.75000015 0.25927077],[0.66406128 0.41278662]
[0.34999962 0.22779037],[0.75000018 0.25904034],[0.66406105 0.41255623]
[0.34999956 0.2275399 ],[0.75000021 0.25878987],[0.6640608 0.4123058]
[0.34999949 0.22726939],[0.75000025 0.25851936],[0.66406053 0.41203533]
[0.34999941 0.22697884],[0.75000028 0.25822881],[0.66406023 0.41174483]
[0.34999933 0.22666826],[0.75000032 0.25791822],[0.66405992 0.4114343 ]
[0.34999924 0.22633764],[0.75000036 0.2575876 ],[0.66405959 0.41110373]
[0.34999915 0.22598698],[0.75000041 0.25723694],[0.66405924 0.41075313]
[0.34999906 0.22561628],[0.75000045 0.25686624],[0.66405886 0.4103825 ]
[0.34999895 0.22522554],[0.7500005 0.2564755],[0.66405847 0.40999183]
[0.34999885 0.22481477],[0.75000055 0.25606473],[0.66405806 0.40958112]
[0.34999873 0.22438396],[0.75000061 0.25563392],[0.66405763 0.40915038]
[0.34999862 0.22393311],[0.75000066 0.25518306],[0.66405717 0.40869961]
[0.34999849 0.22346222],[0.75000072 0.25471218],[0.6640567 0.4082288]
[0.34999837 0.2229713 ],[0.75000078 0.25422125],[0.66405621 0.40773796]
[0.34999823 0.22246033],[0.75000085 0.25371029],[0.66405569 0.40722708]
[0.34999809 0.22192933],[0.75000091 0.25317929],[0.66405516 0.40669617]
[0.34999795 0.2213783 ],[0.75000098 0.25262825],[0.6640546  0.40614523]
[0.3499978  0.22080722],[0.75000105 0.25205717],[0.66405403 0.40557425]
[0.34999765 0.22021611],[0.75000113 0.25146605],[0.66405344 0.40498324]
[0.34999749 0.21960496],[0.7500012 0.2508549],[0.66405282 0.40437219]
[0.34999732 0.21897377],[0.75000128 0.25022371],[0.66405219 0.4037411 ]
[0.34999715 0.21832254],[0.75000136 0.24957248],[0.66405153 0.40308999]
[0.34999698 0.21765128],[0.75000145 0.24890122],[0.66405086 0.40241884]
[0.3499968  0.21695997],[0.75000154 0.24820991],[0.66405016 0.40172765]
[0.34999661 0.21624864],[0.75000162 0.24749857],[0.66404945 0.40101643]
[0.34999642 0.21551726],[0.75000172 0.24676719],[0.66404871 0.40028518]
[0.34999622 0.21476584],[0.75000181 0.24601578],[0.66404796 0.39953389]
[0.34999602 0.21399439],[0.75000191 0.24524432],[0.66404718 0.39876256]
[0.34999582 0.2132029 ],[0.75000201 0.24445283],[0.66404639 0.39797121]
[0.3499956  0.21239137],[0.75000211 0.2436413 ],[0.66404557 0.39715982]
[0.34999539 0.2115598 ],[0.75000221 0.24280973],[0.66404473 0.39632839]
[0.34999517 0.2107082 ],[0.75000232 0.24195812],[0.66404388 0.39547693]
[0.34999494 0.20983656],[0.75000243 0.24108648],[0.664043   0.39460543]
[0.34999471 0.20894488],[0.75000254 0.2401948 ],[0.6640421 0.3937139]
