1.0
 
[-1.23894944e-02 -1.99937178e+01],[ 6.18159409e-03 -1.99937687e+01],[ -0.05085435 -19.98454652]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406247 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.6640624  0.41395865]
[0.34999994 0.22914294],[0.75000003 0.26039291],[0.66406227 0.41390859]
[0.3499999  0.22907282],[0.75000005 0.26032279],[0.66406209 0.4138385 ]
[0.34999984 0.22898267],[0.75000008 0.26023264],[0.66406186 0.41374839]
[0.34999978 0.22887248],[0.75000011 0.26012245],[0.66406158 0.41363826]
[0.3499997  0.22874226],[0.75000015 0.25999223],[0.66406125 0.4135081 ]
[0.3499996  0.22859201],[0.7500002  0.25984198],[0.66406087 0.41335791]
[0.3499995  0.22842172],[0.75000025 0.25967169],[0.66406044 0.4131877 ]
[0.34999938 0.2282314 ],[0.75000031 0.25948137],[0.66405995 0.41299747]
[0.34999925 0.22802105],[0.75000037 0.25927101],[0.66405942 0.41278721]
[0.34999911 0.22779066],[0.75000045 0.25904062],[0.66405884 0.41255693]
[0.34999895 0.22754024],[0.75000052 0.2587902 ],[0.6640582  0.41230662]
[0.34999878 0.22726978],[0.75000061 0.25851975],[0.66405751 0.41203629]
[0.3499986  0.22697929],[0.7500007  0.25822925],[0.66405677 0.41174593]
[0.34999841 0.22666877],[0.75000079 0.25791873],[0.66405598 0.41143555]
[0.34999821 0.22633821],[0.75000089 0.25758817],[0.66405514 0.41110515]
[0.34999799 0.22598762],[0.750001   0.25723758],[0.66405425 0.41075472]
[0.34999776 0.22561699],[0.75000112 0.25686695],[0.66405331 0.41038426]
[0.34999752 0.22522634],[0.75000124 0.2564763 ],[0.66405232 0.40999378]
[0.34999727 0.22481564],[0.75000136 0.2560656 ],[0.66405128 0.40958328]
[0.349997   0.22438492],[0.7500015  0.25563487],[0.66405018 0.40915275]
[0.34999672 0.22393416],[0.75000164 0.25518411],[0.66404904 0.4087022 ]
[0.34999643 0.22346336],[0.75000178 0.25471332],[0.66404784 0.40823162]
[0.34999612 0.22297254],[0.75000193 0.25422249],[0.66404659 0.40774101]
[0.34999581 0.22246167],[0.75000209 0.25371163],[0.6640453  0.40723039]
[0.34999548 0.22193078],[0.75000226 0.25318073],[0.66404395 0.40669974]
[0.34999514 0.22137985],[0.75000243 0.2526298 ],[0.66404255 0.40614906]
[0.34999479 0.22080889],[0.7500026  0.25205884],[0.6640411  0.40557836]
[0.34999442 0.22021789],[0.75000278 0.25146784],[0.66403959 0.40498763]
[0.34999404 0.21960686],[0.75000297 0.25085681],[0.66403804 0.40437688]
[0.34999365 0.2189758 ],[0.75000317 0.25022574],[0.66403644 0.40374611]
[0.34999325 0.2183247 ],[0.75000337 0.24957464],[0.66403478 0.40309531]
[0.34999283 0.21765357],[0.75000358 0.24890351],[0.66403308 0.40242449]
[0.3499924 0.2169624],[0.75000379 0.24821234],[0.66403132 0.40173364]
[0.34999196 0.21625121],[0.75000401 0.24750114],[0.66402952 0.40102276]
[0.34999151 0.21551997],[0.75000424 0.24676991],[0.66402766 0.40029187]
[0.34999105 0.21476871],[0.75000447 0.24601864],[0.66402575 0.39954094]
[0.34999057 0.21399741],[0.75000471 0.24524734],[0.66402379 0.39877   ]
[0.34999008 0.21320607],[0.75000495 0.244456  ],[0.66402178 0.39797903]
[0.34998958 0.2123947 ],[0.7500052  0.24364463],[0.66401972 0.39716803]
[0.34998906 0.2115633 ],[0.75000546 0.24281323],[0.6640176  0.39633701]
[0.34998853 0.21071187],[0.75000572 0.24196179],[0.66401544 0.39548596]
[0.349988  0.2098404],[0.75000599 0.24109032],[0.66401323 0.39461489]
[0.34998744 0.2089489 ],[0.75000626 0.24019881],[0.66401096 0.3937238 ]
