1.0
 
[-5.10600139e-03 -1.99977462e+01],[ 2.44387133e-03 -1.99977959e+01],[-1.96185489e-02 -1.99944713e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406246 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406241 0.41390854]
[0.34999996 0.22907279],[0.75000002 0.26032276],[0.66406234 0.41383842]
[0.34999994 0.22898262],[0.75000003 0.26023259],[0.66406225 0.41374827]
[0.34999991 0.22887241],[0.75000004 0.26012238],[0.66406215 0.41363808]
[0.34999987 0.22874216],[0.75000006 0.25999213],[0.66406202 0.41350785]
[0.34999984 0.22859188],[0.75000008 0.25984185],[0.66406187 0.41335759]
[0.34999979 0.22842156],[0.7500001  0.25967153],[0.66406171 0.4131873 ]
[0.34999974 0.2282312 ],[0.75000012 0.25948117],[0.66406152 0.41299697]
[0.34999969 0.2280208 ],[0.75000015 0.25927077],[0.66406131 0.41278661]
[0.34999963 0.22779037],[0.75000018 0.25904033],[0.66406109 0.41255621]
[0.34999957 0.2275399 ],[0.75000021 0.25878986],[0.66406084 0.41230578]
[0.3499995  0.22726938],[0.75000024 0.25851935],[0.66406058 0.41203532]
[0.34999943 0.22697884],[0.75000027 0.2582288 ],[0.66406029 0.41174481]
[0.34999935 0.22666825],[0.75000031 0.25791821],[0.66405999 0.41143428]
[0.34999926 0.22633763],[0.75000035 0.25758759],[0.66405967 0.41110371]
[0.34999917 0.22598696],[0.7500004  0.25723693],[0.66405932 0.4107531 ]
[0.34999908 0.22561627],[0.75000044 0.25686623],[0.66405896 0.41038247]
[0.34999898 0.22522553],[0.75000049 0.25647549],[0.66405858 0.40999179]
[0.34999887 0.22481475],[0.75000054 0.25606471],[0.66405818 0.40958108]
[0.34999876 0.22438394],[0.75000059 0.2556339 ],[0.66405776 0.40915034]
[0.34999865 0.22393309],[0.75000065 0.25518305],[0.66405731 0.40869956]
[0.34999853 0.2234622 ],[0.7500007  0.25471216],[0.66405685 0.40822875]
[0.34999841 0.22297127],[0.75000076 0.25422123],[0.66405637 0.40773791]
[0.34999827 0.22246031],[0.75000083 0.25371026],[0.66405587 0.40722703]
[0.34999814 0.22192931],[0.75000089 0.25317926],[0.66405535 0.40669611]
[0.349998   0.22137827],[0.75000096 0.25262822],[0.66405482 0.40614516]
[0.34999785 0.22080719],[0.75000103 0.25205714],[0.66405426 0.40557418]
[0.3499977  0.22021608],[0.7500011  0.25146602],[0.66405368 0.40498316]
[0.34999755 0.21960492],[0.75000117 0.25085487],[0.66405308 0.4043721 ]
[0.34999739 0.21897373],[0.75000125 0.25022368],[0.66405246 0.40374102]
[0.34999722 0.2183225 ],[0.75000133 0.24957245],[0.66405183 0.40308989]
[0.34999705 0.21765124],[0.75000141 0.24890118],[0.66405117 0.40241874]
[0.34999687 0.21695993],[0.7500015  0.24820987],[0.66405049 0.40172755]
[0.34999669 0.21624859],[0.75000158 0.24749853],[0.6640498  0.40101632]
[0.34999651 0.21551721],[0.75000167 0.24676715],[0.66404908 0.40028506]
[0.34999632 0.21476579],[0.75000176 0.24601573],[0.66404835 0.39953376]
[0.34999612 0.21399434],[0.75000186 0.24524427],[0.66404759 0.39876243]
[0.34999592 0.21320284],[0.75000195 0.24445277],[0.66404682 0.39797107]
[0.34999571 0.21239131],[0.75000205 0.24364124],[0.66404602 0.39715967]
[0.3499955  0.21155974],[0.75000215 0.24280967],[0.66404521 0.39632824]
[0.34999528 0.21070814],[0.75000226 0.24195806],[0.66404438 0.39547677]
[0.34999506 0.20983649],[0.75000236 0.24108641],[0.66404352 0.39460527]
[0.34999483 0.20894481],[0.75000247 0.24019473],[0.66404265 0.39371373]
