1.0
 
[-1.84045501e-03 -1.99995523e+01],[ 7.67897723e-04 -1.99996015e+01],[-5.60727427e-03 -1.99989224e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406247 0.41390852]
[0.34999999 0.22907277],[0.75000001 0.26032274],[0.66406246 0.41383839]
[0.34999998 0.22898259],[0.75000001 0.26023256],[0.66406243 0.41374821]
[0.34999997 0.22887238],[0.75000001 0.26012235],[0.6640624 0.413638 ]
[0.34999996 0.22874212],[0.75000002 0.25999209],[0.66406236 0.41350774]
[0.34999994 0.22859182],[0.75000002 0.25984179],[0.66406232 0.41335745]
[0.34999993 0.22842149],[0.75000003 0.25967145],[0.66406227 0.41318712]
[0.34999991 0.22823111],[0.75000004 0.25948108],[0.66406222 0.41299675]
[0.34999989 0.22802069],[0.75000005 0.25927066],[0.66406216 0.41278634]
[0.34999987 0.22779024],[0.75000005 0.2590402 ],[0.6640621  0.41255589]
[0.34999985 0.22753974],[0.75000006 0.25878971],[0.66406203 0.4123054 ]
[0.34999982 0.22726921],[0.75000007 0.25851917],[0.66406195 0.41203488]
[0.34999979 0.22697863],[0.75000009 0.2582286 ],[0.66406187 0.41174431]
[0.34999977 0.22666802],[0.7500001  0.25791798],[0.66406179 0.41143371]
[0.34999974 0.22633737],[0.75000011 0.25758733],[0.6640617  0.41110306]
[0.3499997  0.22598667],[0.75000012 0.25723663],[0.6640616  0.41075238]
[0.34999967 0.22561594],[0.75000014 0.2568659 ],[0.6640615  0.41038166]
[0.34999963 0.22522517],[0.75000015 0.25647513],[0.66406139 0.4099909 ]
[0.3499996  0.22481435],[0.75000017 0.25606431],[0.66406127 0.4095801 ]
[0.34999956 0.2243835 ],[0.75000018 0.25563346],[0.66406115 0.40914926]
[0.34999952 0.22393261],[0.7500002  0.25518257],[0.66406103 0.40869839]
[0.34999947 0.22346168],[0.75000022 0.25471164],[0.6640609  0.40822747]
[0.34999943 0.22297071],[0.75000024 0.25422066],[0.66406076 0.40773651]
[0.34999938 0.2224597 ],[0.75000026 0.25370965],[0.66406062 0.40722552]
[0.34999933 0.22192865],[0.75000028 0.2531786 ],[0.66406047 0.40669449]
[0.34999928 0.22137756],[0.7500003  0.25262751],[0.66406032 0.40614341]
[0.34999923 0.22080643],[0.75000032 0.25205638],[0.66406016 0.4055723 ]
[0.34999918 0.22021526],[0.75000034 0.25146521],[0.66406    0.40498115]
[0.34999912 0.21960405],[0.75000037 0.250854  ],[0.66405983 0.40436996]
[0.34999906 0.21897281],[0.75000039 0.25022275],[0.66405965 0.40373873]
[0.349999   0.21832152],[0.75000042 0.24957146],[0.66405947 0.40308747]
[0.34999894 0.21765019],[0.75000044 0.24890013],[0.66405928 0.40241616]
[0.34999888 0.21695882],[0.75000047 0.24820876],[0.66405909 0.40172481]
[0.34999881 0.21624742],[0.75000049 0.24749736],[0.66405889 0.40101343]
[0.34999875 0.21551597],[0.75000052 0.24676591],[0.66405869 0.40028201]
[0.34999868 0.21476449],[0.75000055 0.24601442],[0.66405848 0.39953054]
[0.34999861 0.21399296],[0.75000058 0.24524289],[0.66405827 0.39875904]
[0.34999853 0.2132014 ],[0.75000061 0.24445133],[0.66405805 0.3979675 ]
[0.34999846 0.21238979],[0.75000064 0.24363972],[0.66405782 0.39715592]
[0.34999838 0.21155815],[0.75000067 0.24280807],[0.66405759 0.3963243 ]
[0.34999831 0.21070646],[0.75000071 0.24195639],[0.66405736 0.39547265]
[0.34999823 0.20983474],[0.75000074 0.24108466],[0.66405711 0.39460095]
[0.34999815 0.20894298],[0.75000077 0.2401929 ],[0.66405687 0.39370922]
