1.0
 
[-2.97085300e-03 -1.99989271e+01],[ 1.34817368e-03 -1.99989764e+01],[-1.04579870e-02 -1.99973814e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406248 0.41395863]
[0.34999999 0.22914291],[0.75000001 0.26039288],[0.66406245 0.41390853]
[0.34999998 0.22907278],[0.75000001 0.26032275],[0.66406242 0.4138384 ]
[0.34999996 0.2289826 ],[0.75000002 0.26023257],[0.66406237 0.41374823]
[0.34999995 0.22887239],[0.75000002 0.26012236],[0.66406231 0.41363803]
[0.34999993 0.22874213],[0.75000003 0.2599921 ],[0.66406224 0.41350778]
[0.34999991 0.22859184],[0.75000004 0.25984181],[0.66406217 0.4133575 ]
[0.34999988 0.22842151],[0.75000005 0.25967148],[0.66406208 0.41318718]
[0.34999985 0.22823114],[0.75000007 0.25948111],[0.66406198 0.41299683]
[0.34999982 0.22802073],[0.75000008 0.2592707 ],[0.66406187 0.41278643]
[0.34999979 0.22779028],[0.7500001  0.25904025],[0.66406175 0.412556  ]
[0.34999975 0.2275398 ],[0.75000011 0.25878976],[0.66406162 0.41230554]
[0.34999971 0.22726927],[0.75000013 0.25851923],[0.66406148 0.41203503]
[0.34999967 0.2269787 ],[0.75000015 0.25822867],[0.66406133 0.41174449]
[0.34999962 0.2266681 ],[0.75000017 0.25791806],[0.66406117 0.41143391]
[0.34999957 0.22633746],[0.75000019 0.25758742],[0.66406099 0.41110329]
[0.34999952 0.22598677],[0.75000022 0.25723674],[0.66406081 0.41075263]
[0.34999946 0.22561605],[0.75000024 0.25686601],[0.66406062 0.41038194]
[0.34999941 0.22522529],[0.75000027 0.25647525],[0.66406042 0.40999121]
[0.34999935 0.22481449],[0.7500003  0.25606445],[0.6640602  0.40958044]
[0.34999928 0.22438365],[0.75000033 0.25563361],[0.66405998 0.40914964]
[0.34999922 0.22393278],[0.75000036 0.25518273],[0.66405974 0.40869879]
[0.34999915 0.22346186],[0.75000039 0.25471182],[0.6640595  0.40822791]
[0.34999907 0.22297091],[0.75000042 0.25422086],[0.66405924 0.407737  ]
[0.349999   0.22245991],[0.75000045 0.25370986],[0.66405898 0.40722604]
[0.34999892 0.22192888],[0.75000049 0.25317883],[0.6640587  0.40669505]
[0.34999884 0.22137781],[0.75000053 0.25262776],[0.66405841 0.40614402]
[0.34999875 0.22080669],[0.75000057 0.25205664],[0.66405812 0.40557295]
[0.34999867 0.22021554],[0.7500006  0.25146549],[0.66405781 0.40498185]
[0.34999858 0.21960435],[0.75000065 0.2508543 ],[0.66405749 0.4043707 ]
[0.34999848 0.21897313],[0.75000069 0.25022307],[0.66405716 0.40373952]
[0.34999839 0.21832186],[0.75000073 0.2495718 ],[0.66405682 0.40308831]
[0.34999829 0.21765055],[0.75000078 0.24890049],[0.66405647 0.40241705]
[0.34999818 0.21695921],[0.75000082 0.24820915],[0.66405611 0.40172576]
[0.34999808 0.21624782],[0.75000087 0.24749776],[0.66405574 0.40101443]
[0.34999797 0.2155164 ],[0.75000092 0.24676634],[0.66405536 0.40028306]
[0.34999786 0.21476494],[0.75000097 0.24601487],[0.66405497 0.39953166]
[0.34999775 0.21399344],[0.75000102 0.24524337],[0.66405457 0.39876022]
[0.34999763 0.2132019 ],[0.75000108 0.24445183],[0.66405416 0.39796874]
[0.34999751 0.21239032],[0.75000113 0.24364025],[0.66405374 0.39715722]
[0.34999739 0.2115587 ],[0.75000119 0.24280863],[0.66405331 0.39632567]
[0.34999726 0.21070704],[0.75000124 0.24195697],[0.66405286 0.39547407]
[0.34999713 0.20983535],[0.7500013  0.24108527],[0.66405241 0.39460245]
[0.349997   0.20894361],[0.75000136 0.24019353],[0.66405194 0.39371078]
