1.0
 
[-3.72444260e-03 -1.99985103e+01],[ 1.73493009e-03 -1.99985597e+01],[-1.36913930e-02 -1.99963542e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406244 0.41390854]
[0.34999997 0.22907278],[0.75000001 0.26032275],[0.66406239 0.41383841]
[0.34999995 0.22898261],[0.75000002 0.26023258],[0.66406233 0.41374824]
[0.34999993 0.2288724 ],[0.75000003 0.26012236],[0.66406225 0.41363804]
[0.34999991 0.22874214],[0.75000004 0.25999211],[0.66406217 0.41350781]
[0.34999988 0.22859186],[0.75000006 0.25984182],[0.66406206 0.41335753]
[0.34999985 0.22842153],[0.75000007 0.2596715 ],[0.66406195 0.41318722]
[0.34999981 0.22823116],[0.75000009 0.25948113],[0.66406182 0.41299688]
[0.34999977 0.22802076],[0.7500001  0.25927072],[0.66406167 0.4127865 ]
[0.34999973 0.22779031],[0.75000012 0.25904028],[0.66406152 0.41255608]
[0.34999969 0.22753983],[0.75000015 0.2587898 ],[0.66406135 0.41230562]
[0.34999964 0.22726931],[0.75000017 0.25851927],[0.66406116 0.41203513]
[0.34999958 0.22697875],[0.75000019 0.25822871],[0.66406096 0.4117446 ]
[0.34999952 0.22666815],[0.75000022 0.25791812],[0.66406075 0.41143404]
[0.34999946 0.22633752],[0.75000025 0.25758748],[0.66406053 0.41110344]
[0.3499994  0.22598684],[0.75000028 0.2572368 ],[0.66406029 0.4107528 ]
[0.34999933 0.22561613],[0.75000031 0.25686609],[0.66406003 0.41038213]
[0.34999926 0.22522538],[0.75000035 0.25647534],[0.66405977 0.40999142]
[0.34999918 0.22481458],[0.75000038 0.25606454],[0.66405949 0.40958067]
[0.3499991  0.22438376],[0.75000042 0.25563371],[0.66405919 0.40914989]
[0.34999902 0.22393289],[0.75000046 0.25518284],[0.66405889 0.40869907]
[0.34999893 0.22346198],[0.7500005  0.25471194],[0.66405856 0.40822821]
[0.34999884 0.22297104],[0.75000054 0.25422099],[0.66405823 0.40773732]
[0.34999874 0.22246005],[0.75000059 0.25371001],[0.66405788 0.40722639]
[0.34999864 0.22192903],[0.75000063 0.25317898],[0.66405752 0.40669542]
[0.34999854 0.22137797],[0.75000068 0.25262792],[0.66405714 0.40614442]
[0.34999844 0.22080687],[0.75000073 0.25205682],[0.66405675 0.40557338]
[0.34999833 0.22021573],[0.75000078 0.25146568],[0.66405635 0.40498231]
[0.34999821 0.21960456],[0.75000083 0.2508545 ],[0.66405593 0.4043712 ]
[0.3499981  0.21897334],[0.75000089 0.25022328],[0.6640555  0.40374005]
[0.34999797 0.21832209],[0.75000094 0.24957203],[0.66405506 0.40308887]
[0.34999785 0.21765079],[0.750001   0.24890074],[0.6640546  0.40241765]
[0.34999772 0.21695946],[0.75000106 0.2482094 ],[0.66405413 0.40172639]
[0.34999759 0.21624809],[0.75000112 0.24749803],[0.66405365 0.4010151 ]
[0.34999745 0.21551669],[0.75000119 0.24676662],[0.66405315 0.40028377]
[0.34999731 0.21476524],[0.75000125 0.24601517],[0.66405263 0.3995324 ]
[0.34999717 0.21399375],[0.75000132 0.24524369],[0.66405211 0.398761  ]
[0.34999702 0.21320223],[0.75000139 0.24445216],[0.66405157 0.39796956]
[0.34999687 0.21239067],[0.75000146 0.2436406 ],[0.66405101 0.39715809]
[0.34999672 0.21155907],[0.75000153 0.24280899],[0.66405045 0.39632657]
[0.34999656 0.21070743],[0.7500016  0.24195735],[0.66404987 0.39547503]
[0.3499964  0.20983575],[0.75000168 0.24108567],[0.66404927 0.39460344]
[0.34999623 0.20894403],[0.75000175 0.24019395],[0.66404866 0.39371182]
