1.0
 
[-7.99445451e-03 -1.99961487e+01],[ 3.92618486e-03 -1.99961988e+01],[ -0.03200847 -19.99053498]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398868]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406244 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406236 0.41390856]
[0.34999994 0.2290728 ],[0.75000003 0.26032277],[0.66406224 0.41383846]
[0.3499999  0.22898264],[0.75000005 0.26023261],[0.6640621  0.41374832]
[0.34999986 0.22887244],[0.75000007 0.26012241],[0.66406192 0.41363815]
[0.3499998 0.2287422],[0.7500001  0.25999217],[0.66406172 0.41350795]
[0.34999974 0.22859193],[0.75000013 0.2598419 ],[0.66406148 0.41335772]
[0.34999968 0.22842162],[0.75000016 0.25967159],[0.6640612  0.41318746]
[0.3499996  0.22823128],[0.7500002  0.25948125],[0.6640609  0.41299717]
[0.34999952 0.2280209 ],[0.75000024 0.25927087],[0.66406056 0.41278685]
[0.34999942 0.22779048],[0.75000028 0.25904045],[0.66406019 0.4125565 ]
[0.34999932 0.22754003],[0.75000033 0.25879   ],[0.66405979 0.41230611]
[0.34999922 0.22726954],[0.75000038 0.25851951],[0.66405936 0.4120357 ]
[0.3499991  0.22697902],[0.75000044 0.25822898],[0.6640589  0.41174526]
[0.34999898 0.22666846],[0.7500005  0.25791842],[0.6640584  0.41143478]
[0.34999884 0.22633786],[0.75000057 0.25758782],[0.66405787 0.41110428]
[0.3499987  0.22598722],[0.75000064 0.25723719],[0.66405731 0.41075374]
[0.34999856 0.22561655],[0.75000071 0.25686652],[0.66405672 0.41038318]
[0.3499984  0.22522585],[0.75000079 0.25647581],[0.6640561  0.40999258]
[0.34999824 0.22481511],[0.75000087 0.25606507],[0.66405544 0.40958195]
[0.34999806 0.22438433],[0.75000095 0.25563429],[0.66405475 0.4091513 ]
[0.34999788 0.22393351],[0.75000104 0.25518347],[0.66405403 0.40870061]
[0.3499977  0.22346266],[0.75000113 0.25471262],[0.66405328 0.40822989]
[0.3499975  0.22297177],[0.75000123 0.25422173],[0.66405249 0.40773914]
[0.3499973  0.22246085],[0.75000133 0.2537108 ],[0.66405168 0.40722836]
[0.34999708 0.22192989],[0.75000143 0.25317984],[0.66405083 0.40669755]
[0.34999686 0.2213789 ],[0.75000154 0.25262885],[0.66404995 0.40614671]
[0.34999664 0.22080786],[0.75000165 0.25205781],[0.66404904 0.40557584]
[0.3499964 0.2202168],[0.75000177 0.25146674],[0.66404809 0.40498493]
[0.34999616 0.21960569],[0.75000189 0.25085564],[0.66404712 0.404374  ]
[0.34999591 0.21897455],[0.75000201 0.2502245 ],[0.66404611 0.40374304]
[0.34999565 0.21832337],[0.75000214 0.24957332],[0.66404507 0.40309204]
[0.34999538 0.21765216],[0.75000227 0.2489021 ],[0.66404399 0.40242102]
[0.3499951  0.21696091],[0.75000241 0.24821085],[0.66404289 0.40172996]
[0.34999482 0.21624963],[0.75000255 0.24749956],[0.66404175 0.40101888]
[0.34999453 0.21551831],[0.75000269 0.24676824],[0.66404058 0.40028776]
[0.34999423 0.21476695],[0.75000284 0.24601688],[0.66403938 0.39953661]
[0.34999392 0.21399555],[0.75000299 0.24524549],[0.66403815 0.39876543]
[0.3499936  0.21320412],[0.75000314 0.24445405],[0.66403689 0.39797423]
[0.34999328 0.21239266],[0.7500033  0.24364258],[0.66403559 0.39716299]
[0.34999295 0.21156115],[0.75000346 0.24281108],[0.66403426 0.39633172]
[0.34999261 0.21070962],[0.75000363 0.24195954],[0.6640329  0.39548042]
[0.34999226 0.20983804],[0.7500038  0.24108796],[0.66403151 0.39460909]
[0.3499919  0.20894643],[0.75000398 0.24019635],[0.66403008 0.39371772]
