0.973470555361777,0.9748530823938981,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.3499998  0.22923288],[0.7499998  0.26048282],[0.66406228 0.41399845]
[0.34999922 0.22923223],[0.7499992  0.26048211],[0.66406162 0.41399772]
[0.34999824 0.22923116],[0.74999821 0.26048093],[0.66406051 0.41399649]
[0.34999688 0.22922965],[0.74999681 0.26047927],[0.66405896 0.41399478]
[0.34999512 0.22922772],[0.74999502 0.26047714],[0.66405698 0.41399257]
[0.34999297 0.22922535],[0.74999282 0.26047453],[0.66405455 0.41398987]
[0.34999043 0.22922256],[0.74999023 0.26047145],[0.66405167 0.41398669]
[0.3499875  0.22921934],[0.74998724 0.2604679 ],[0.66404836 0.41398301]
[0.34998419 0.22921568],[0.74998385 0.26046387],[0.6640446  0.41397884]
[0.34998048 0.2292116 ],[0.74998006 0.26045937],[0.6640404  0.41397418]
[0.34997638 0.22920709],[0.74997587 0.2604544 ],[0.66403576 0.41396903]
[0.34997188 0.22920215],[0.74997129 0.26044895],[0.66403068 0.41396339]
[0.349967   0.22919678],[0.7499663  0.26044303],[0.66402516 0.41395727]
[0.34996173 0.22919097],[0.74996092 0.26043663],[0.66401919 0.41395065]
[0.34995607 0.22918474],[0.74995514 0.26042976],[0.66401278 0.41394354]
[0.34995002 0.22917808],[0.74994896 0.26042242],[0.66400593 0.41393594]
[0.34994357 0.22917099],[0.74994238 0.2604146 ],[0.66399864 0.41392784]
[0.34993674 0.22916347],[0.7499354  0.26040631],[0.66399091 0.41391926]
[0.34992952 0.22915552],[0.74992802 0.26039754],[0.66398273 0.41391019]
[0.3499219  0.22914714],[0.74992024 0.26038831],[0.66397411 0.41390063]
[0.3499139  0.22913833],[0.74991207 0.26037859],[0.66396505 0.41389058]
[0.3499055  0.22912909],[0.7499035  0.26036841],[0.66395555 0.41388004]
[0.34989672 0.22911942],[0.74989452 0.26035775],[0.66394561 0.413869  ]
[0.34988754 0.22910932],[0.74988515 0.26034662],[0.66393522 0.41385748]
[0.34987797 0.22909879],[0.74987538 0.26033501],[0.6639244  0.41384547]
[0.34986802 0.22908783],[0.74986521 0.26032293],[0.66391313 0.41383296]
[0.34985767 0.22907645],[0.74985465 0.26031037],[0.66390142 0.41381997]
[0.34984693 0.22906463],[0.74984368 0.26029734],[0.66388926 0.41380649]
[0.3498358  0.22905238],[0.74983232 0.26028384],[0.66387667 0.41379251]
[0.34982428 0.2290397 ],[0.74982055 0.26026987],[0.66386363 0.41377805]
[0.34981237 0.2290266 ],[0.74980839 0.26025542],[0.66385016 0.41376309]
[0.34980007 0.22901306],[0.74979583 0.26024049],[0.66383624 0.41374765]
[0.34978738 0.22899909],[0.74978287 0.2602251 ],[0.66382187 0.41373171]
[0.3497743 0.2289847],[0.74976951 0.26020923],[0.66380707 0.41371528]
[0.34976083 0.22896987],[0.74975575 0.26019288],[0.66379182 0.41369837]
[0.34974697 0.22895461],[0.7497416  0.26017606],[0.66377614 0.41368096]
[0.34973271 0.22893893],[0.74972704 0.26015877],[0.66376001 0.41366307]
[0.34971807 0.22892281],[0.74971209 0.26014101],[0.66374344 0.41364468]
[0.34970304 0.22890627],[0.74969674 0.26012277],[0.66372642 0.4136258 ]
[0.34968761 0.22888929],[0.74968099 0.26010406],[0.66370897 0.41360643]
[0.3496718  0.22887189],[0.74966484 0.26008487],[0.66369107 0.41358658]
[0.34965559 0.22885406],[0.74964829 0.26006521],[0.66367273 0.41356623]
[0.349639   0.22883579],[0.74963134 0.26004508],[0.66365395 0.41354539]
[0.34962201 0.2288171 ],[0.749614   0.26002447],[0.66363473 0.41352406]
[0.34960464 0.22879798],[0.74959626 0.26000339],[0.66361507 0.41350224]
[0.34958687 0.22877842],[0.74957811 0.25998183],[0.66359496 0.41347993]
