0.9168396591948256,0.9262301107399243,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999979 0.22923286],[0.74999979 0.2604828 ],[0.66406227 0.41399843]
[0.34999916 0.22923216],[0.74999917 0.26048202],[0.66406156 0.41399763]
[0.34999811 0.229231  ],[0.74999813 0.26048073],[0.66406039 0.41399629]
[0.34999663 0.22922937],[0.74999667 0.26047891],[0.66405876 0.41399442]
[0.34999474 0.22922727],[0.7499948  0.26047658],[0.66405665 0.413992  ]
[0.34999242 0.22922471],[0.74999251 0.26047373],[0.66405408 0.41398906]
[0.34998969 0.22922169],[0.7499898  0.26047036],[0.66405104 0.41398558]
[0.34998653 0.22921819],[0.74998668 0.26046648],[0.66404753 0.41398156]
[0.34998295 0.22921424],[0.74998314 0.26046207],[0.66404355 0.41397701]
[0.34997895 0.22920982],[0.74997919 0.26045715],[0.6640391  0.41397192]
[0.34997453 0.22920493],[0.74997482 0.26045171],[0.66403419 0.4139663 ]
[0.34996969 0.22919958],[0.74997003 0.26044575],[0.66402881 0.41396014]
[0.34996443 0.22919376],[0.74996483 0.26043927],[0.66402296 0.41395344]
[0.34995875 0.22918747],[0.74995921 0.26043227],[0.66401664 0.41394621]
[0.34995264 0.22918072],[0.74995318 0.26042476],[0.66400986 0.41393844]
[0.34994612 0.22917351],[0.74994673 0.26041673],[0.66400261 0.41393014]
[0.34993917 0.22916583],[0.74993986 0.26040817],[0.66399489 0.41392131]
[0.3499318  0.22915768],[0.74993258 0.26039911],[0.6639867  0.41391193]
[0.34992402 0.22914907],[0.74992488 0.26038952],[0.66397804 0.41390202]
[0.34991581 0.22914   ],[0.74991676 0.26037941],[0.66396892 0.41389158]
[0.34990718 0.22913045],[0.74990823 0.26036879],[0.66395932 0.4138806 ]
[0.34989813 0.22912045],[0.74989928 0.26035765],[0.66394927 0.41386908]
[0.34988865 0.22910997],[0.74988992 0.26034599],[0.66393874 0.41385703]
[0.34987876 0.22909904],[0.74988014 0.26033381],[0.66392774 0.41384445]
[0.34986845 0.22908763],[0.74986994 0.26032111],[0.66391628 0.41383132]
[0.34985771 0.22907576],[0.74985933 0.2603079 ],[0.66390435 0.41381767]
[0.34984656 0.22906343],[0.7498483  0.26029416],[0.66389195 0.41380347]
[0.34983498 0.22905063],[0.74983686 0.26027991],[0.66387908 0.41378875]
[0.34982298 0.22903736],[0.74982499 0.26026514],[0.66386574 0.41377348]
[0.34981057 0.22902363],[0.74981272 0.26024986],[0.66385194 0.41375768]
[0.34979773 0.22900944],[0.74980002 0.26023405],[0.66383767 0.41374135]
[0.34978447 0.22899477],[0.74978691 0.26021773],[0.66382293 0.41372447]
[0.34977078 0.22897965],[0.74977339 0.26020088],[0.66380773 0.41370707]
[0.34975668 0.22896405],[0.74975945 0.26018352],[0.66379205 0.41368913]
[0.34974216 0.228948  ],[0.74974509 0.26016565],[0.66377591 0.41367065]
[0.34972722 0.22893147],[0.74973032 0.26014725],[0.6637593  0.41365164]
[0.34971185 0.22891448],[0.74971513 0.26012833],[0.66374222 0.41363209]
[0.34969606 0.22889703],[0.74969952 0.2601089 ],[0.66372468 0.413612  ]
[0.34967986 0.22887911],[0.7496835  0.26008895],[0.66370666 0.41359138]
[0.34966323 0.22886073],[0.74966706 0.26006848],[0.66368818 0.41357023]
[0.34964618 0.22884188],[0.74965021 0.2600475 ],[0.66366923 0.41354854]
[0.34962871 0.22882256],[0.74963294 0.26002599],[0.66364982 0.41352631]
[0.34961082 0.22880278],[0.74961525 0.26000397],[0.66362993 0.41350355]
[0.34959251 0.22878253],[0.74959715 0.25998143],[0.66360958 0.41348025]
[0.34957378 0.22876182],[0.74957863 0.25995837],[0.66358876 0.41345642]
[0.34955462 0.22874064],[0.7495597  0.25993479],[0.66356747 0.41343205]
