0.8671539325101034,0.9942924496613657,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999974 0.22923284],[0.74999974 0.26048277],[0.66406222 0.41399841]
[0.34999897 0.22923208],[0.74999897 0.26048192],[0.66406136 0.41399753]
[0.34999768 0.22923083],[0.74999768 0.26048049],[0.66405994 0.41399607]
[0.34999587 0.22922907],[0.74999588 0.26047848],[0.66405795 0.41399402]
[0.34999354 0.22922681],[0.74999356 0.26047591],[0.66405539 0.41399139]
[0.3499907  0.22922404],[0.74999073 0.26047276],[0.66405226 0.41398818]
[0.34998735 0.22922077],[0.74998738 0.26046904],[0.66404856 0.41398438]
[0.34998347 0.229217  ],[0.74998351 0.26046475],[0.66404429 0.41397999]
[0.34997908 0.22921273],[0.74997913 0.26045989],[0.66403946 0.41397502]
[0.34997418 0.22920795],[0.74997424 0.26045446],[0.66403405 0.41396947]
[0.34996876 0.22920267],[0.74996883 0.26044845],[0.66402808 0.41396333]
[0.34996282 0.22919689],[0.7499629  0.26044187],[0.66402154 0.41395661]
[0.34995636 0.22919061],[0.74995646 0.26043472],[0.66401442 0.4139493 ]
[0.34994939 0.22918382],[0.74994951 0.260427  ],[0.66400674 0.41394141]
[0.3499419  0.22917653],[0.74994204 0.2604187 ],[0.66399849 0.41393293]
[0.3499339  0.22916874],[0.74993405 0.26040983],[0.66398967 0.41392387]
[0.34992538 0.22916044],[0.74992555 0.26040039],[0.66398029 0.41391423]
[0.34991634 0.22915164],[0.74991654 0.26039038],[0.66397033 0.413904  ]
[0.34990678 0.22914234],[0.749907  0.2603798],[0.66395981 0.41389318]
[0.34989671 0.22913254],[0.74989696 0.26036864],[0.66394871 0.41388178]
[0.34988613 0.22912223],[0.7498864  0.26035692],[0.66393705 0.4138698 ]
[0.34987502 0.22911142],[0.74987532 0.26034462],[0.66392482 0.41385723]
[0.3498634  0.22910011],[0.74986373 0.26033174],[0.66391201 0.41384408]
[0.34985127 0.22908829],[0.74985162 0.2603183 ],[0.66389864 0.41383034]
[0.34983862 0.22907598],[0.749839   0.26030428],[0.66388471 0.41381602]
[0.34982545 0.22906315],[0.74982586 0.2602897 ],[0.6638702  0.41380111]
[0.34981176 0.22904983],[0.74981221 0.26027454],[0.66385512 0.41378562]
[0.34979756 0.22903601],[0.74979804 0.2602588 ],[0.66383948 0.41376954]
[0.34978284 0.22902168],[0.74978336 0.2602425 ],[0.66382326 0.41375288]
[0.34976761 0.22900685],[0.74976816 0.26022563],[0.66380648 0.41373564]
[0.34975186 0.22899151],[0.74975244 0.26020818],[0.66378913 0.41371781]
[0.34973559 0.22897568],[0.74973622 0.26019016],[0.66377121 0.41369939]
[0.3497188  0.22895934],[0.74971947 0.26017157],[0.66375272 0.41368039]
[0.3497015  0.22894249],[0.74970221 0.2601524 ],[0.66373366 0.41366081]
[0.34968369 0.22892515],[0.74968444 0.26013267],[0.66371403 0.41364064]
[0.34966535 0.2289073 ],[0.74966615 0.26011236],[0.66369383 0.41361989]
[0.3496465  0.22888895],[0.74964735 0.26009148],[0.66367307 0.41359855]
[0.34962714 0.2288701 ],[0.74962803 0.26007003],[0.66365173 0.41357663]
[0.34960726 0.22885074],[0.74960819 0.260048  ],[0.66362983 0.41355413]
[0.34958686 0.22883089],[0.74958785 0.26002541],[0.66360736 0.41353104]
[0.34956594 0.22881053],[0.74956698 0.26000224],[0.66358432 0.41350736]
[0.34954451 0.22878966],[0.7495456 0.2599785],[0.66356071 0.41348311]
[0.34952256 0.2287683 ],[0.74952371 0.25995419],[0.66353653 0.41345826]
[0.3495001  0.22874643],[0.7495013 0.2599293],[0.66351179 0.41343283]
[0.34947712 0.22872406],[0.74947837 0.25990385],[0.66348647 0.41340682]
[0.34945362 0.22870118],[0.74945494 0.25987782],[0.66346059 0.41338023]
