0.6460996058424984,0.8388297585794189,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999966 0.2292328 ],[0.74999966 0.26048271],[0.66406214 0.41399834]
[0.34999865 0.22923194],[0.74999862 0.26048165],[0.66406105 0.41399727]
[0.34999697 0.2292305 ],[0.74999691 0.2604799 ],[0.66405924 0.41399548]
[0.34999461 0.22922848],[0.7499945  0.26047744],[0.6640567  0.41399298]
[0.34999157 0.22922589],[0.74999141 0.26047427],[0.66405343 0.41398976]
[0.34998787 0.22922272],[0.74998762 0.2604704 ],[0.66404944 0.41398582]
[0.34998348 0.22921898],[0.74998316 0.26046583],[0.66404473 0.41398117]
[0.34997843 0.22921466],[0.749978   0.26046056],[0.66403929 0.41397581]
[0.3499727  0.22920976],[0.74997216 0.26045458],[0.66403312 0.41396973]
[0.34996629 0.22920429],[0.74996562 0.26044791],[0.66402623 0.41396293]
[0.34995921 0.22919825],[0.74995841 0.26044052],[0.66401861 0.41395542]
[0.34995146 0.22919162],[0.7499505  0.26043244],[0.66401027 0.4139472 ]
[0.34994304 0.22918442],[0.7499419  0.26042365],[0.6640012  0.41393825]
[0.34993393 0.22917665],[0.74993262 0.26041416],[0.66399141 0.4139286 ]
[0.34992416 0.2291683 ],[0.74992265 0.26040396],[0.66398089 0.41391823]
[0.34991371 0.22915937],[0.749912   0.26039306],[0.66396965 0.41390714]
[0.34990259 0.22914987],[0.74990065 0.26038146],[0.66395768 0.41389533]
[0.34989079 0.22913979],[0.74988862 0.26036916],[0.66394498 0.41388282]
[0.34987832 0.22912913],[0.7498759  0.26035615],[0.66393156 0.41386958]
[0.34986517 0.2291179 ],[0.7498625  0.26034244],[0.66391742 0.41385563]
[0.34985135 0.2291061 ],[0.7498484  0.26032803],[0.66390255 0.41384097]
[0.34983686 0.22909372],[0.74983362 0.26031291],[0.66388695 0.41382559]
[0.34982169 0.22908076],[0.74981815 0.26029709],[0.66387063 0.4138095 ]
[0.34980585 0.22906722],[0.749802   0.26028057],[0.66385358 0.41379269]
[0.34978933 0.22905311],[0.74978515 0.26026335],[0.66383581 0.41377516]
[0.34977214 0.22903843],[0.74976762 0.26024542],[0.66381731 0.41375692]
[0.34975428 0.22902317],[0.7497494  0.26022679],[0.66379809 0.41373797]
[0.34973574 0.22900733],[0.7497305  0.26020745],[0.66377814 0.41371829]
[0.34971653 0.22899092],[0.74971091 0.26018742],[0.66375747 0.41369791]
[0.34969664 0.22897393],[0.74969062 0.26016668],[0.66373607 0.41367681]
[0.34967608 0.22895637],[0.74966966 0.26014523],[0.66371394 0.41365499]
[0.34965484 0.22893823],[0.749648   0.26012309],[0.66369109 0.41363246]
[0.34963294 0.22891951],[0.74962566 0.26010024],[0.66366752 0.41360921]
[0.34961035 0.22890022],[0.74960263 0.26007669],[0.66364322 0.41358525]
[0.3495871  0.22888035],[0.74957891 0.26005243],[0.66361819 0.41356057]
[0.34956316 0.22885991],[0.74955451 0.26002748],[0.66359244 0.41353518]
[0.34953856 0.22883889],[0.74952941 0.26000182],[0.66356596 0.41350907]
[0.34951328 0.2288173 ],[0.74950363 0.25997545],[0.66353876 0.41348225]
[0.34948733 0.22879513],[0.74947717 0.25994839],[0.66351084 0.41345471]
[0.3494607  0.22877238],[0.74945001 0.25992062],[0.66348218 0.41342646]
[0.3494334  0.22874906],[0.74942217 0.25989214],[0.66345281 0.41339749]
[0.34940542 0.22872517],[0.74939364 0.25986297],[0.6634227  0.41336781]
[0.34937677 0.22870069],[0.74936442 0.25983309],[0.66339188 0.41333741]
[0.34934745 0.22867565],[0.74933452 0.25980251],[0.66336032 0.4133063 ]
[0.34931745 0.22865003],[0.74930393 0.25977123],[0.66332805 0.41327447]
[0.34928678 0.22862383],[0.74927265 0.25973924],[0.66329504 0.41324192]
