0.726234793461175,0.9726159937023771,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999974 0.22923282],[0.74999975 0.26048276],[0.66406222 0.41399839]
[0.34999896 0.22923203],[0.74999898 0.26048184],[0.66406137 0.41399746]
[0.34999767 0.2292307 ],[0.74999771 0.26048032],[0.66405995 0.4139959 ]
[0.34999586 0.22922885],[0.74999593 0.26047818],[0.66405797 0.41399373]
[0.34999353 0.22922646],[0.74999364 0.26047544],[0.66405542 0.41399094]
[0.34999068 0.22922354],[0.74999084 0.26047208],[0.6640523  0.41398752]
[0.34998731 0.22922009],[0.74998754 0.26046812],[0.66404862 0.41398348]
[0.34998343 0.22921611],[0.74998372 0.26046354],[0.66404437 0.41397882]
[0.34997902 0.2292116 ],[0.7499794  0.26045836],[0.66403956 0.41397354]
[0.3499741  0.22920656],[0.74997456 0.26045257],[0.66403418 0.41396764]
[0.34996867 0.22920099],[0.74996922 0.26044616],[0.66402823 0.41396112]
[0.34996271 0.22919489],[0.74996337 0.26043915],[0.66402171 0.41395398]
[0.34995624 0.22918826],[0.74995701 0.26043153],[0.66401463 0.41394622]
[0.34994925 0.2291811 ],[0.74995015 0.26042329],[0.66400698 0.41393783]
[0.34994174 0.2291734 ],[0.74994277 0.26041445],[0.66399877 0.41392882]
[0.34993371 0.22916518],[0.74993488 0.260405  ],[0.66398999 0.4139192 ]
[0.34992516 0.22915643],[0.74992649 0.26039494],[0.66398064 0.41390895]
[0.3499161  0.22914714],[0.74991759 0.26038426],[0.66397073 0.41389808]
[0.34990652 0.22913733],[0.74990818 0.26037298],[0.66396025 0.41388659]
[0.34989642 0.22912698],[0.74989826 0.26036109],[0.6639492  0.41387448]
[0.3498858  0.22911611],[0.74988783 0.26034859],[0.66393759 0.41386174]
[0.34987467 0.2291047 ],[0.74987689 0.26033548],[0.66392541 0.41384839]
[0.34986301 0.22909276],[0.74986544 0.26032176],[0.66391266 0.41383442]
[0.34985084 0.2290803 ],[0.74985349 0.26030742],[0.66389935 0.41381982]
[0.34983815 0.2290673 ],[0.74984103 0.26029248],[0.66388547 0.4138046 ]
[0.34982495 0.22905377],[0.74982805 0.26027693],[0.66387103 0.41378876]
[0.34981122 0.22903971],[0.74981457 0.26026077],[0.66385602 0.41377231]
[0.34979698 0.22902512],[0.74980059 0.260244  ],[0.66384044 0.41375523]
[0.34978222 0.22901   ],[0.74978609 0.26022662],[0.66382429 0.41373752]
[0.34976694 0.22899435],[0.74977108 0.26020863],[0.66380758 0.4137192 ]
[0.34975115 0.22897817],[0.74975557 0.26019003],[0.6637903  0.41370026]
[0.34973483 0.22896146],[0.74973954 0.26017082],[0.66377246 0.41368069]
[0.349718   0.22894422],[0.74972301 0.260151  ],[0.66375405 0.41366051]
[0.34970065 0.22892645],[0.74970597 0.26013057],[0.66373507 0.4136397 ]
[0.34968278 0.22890814],[0.74968842 0.26010954],[0.66371553 0.41361828]
[0.3496644  0.22888931],[0.74967036 0.26008789],[0.66369542 0.41359623]
[0.3496455  0.22886995],[0.74965179 0.26006563],[0.66367475 0.41357356]
[0.34962608 0.22885006],[0.74963272 0.26004276],[0.6636535  0.41355027]
[0.34960614 0.22882963],[0.74961314 0.26001928],[0.6636317  0.41352636]
[0.34958568 0.22880868],[0.74959304 0.2599952 ],[0.66360932 0.41350182]
[0.3495647  0.22878719],[0.74957244 0.2599705 ],[0.66358638 0.41347667]
[0.34954321 0.22876518],[0.74955133 0.25994519],[0.66356287 0.4134509 ]
[0.3495212  0.22874263],[0.74952972 0.25991928],[0.6635388 0.4134245]
[0.34949867 0.22871956],[0.74950759 0.25989275],[0.66351416 0.41339748]
[0.34947563 0.22869595],[0.74948495 0.25986561],[0.66348895 0.41336985]
[0.34945206 0.22867181],[0.74946181 0.25983787],[0.66346318 0.41334159]
