0.6011186964594977,0.8679223387727514,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999972 0.22923281],[0.74999972 0.26048273],[0.66406219 0.41399836]
[0.34999887 0.22923198],[0.74999888 0.26048174],[0.66406127 0.41399736]
[0.34999745 0.22923058],[0.74999748 0.26048009],[0.66405974 0.41399568]
[0.34999546 0.22922863],[0.74999553 0.26047778],[0.66405759 0.41399332]
[0.34999291 0.22922613],[0.74999301 0.26047481],[0.66405483 0.4139903 ]
[0.34998979 0.22922306],[0.74998993 0.26047119],[0.66405146 0.4139866 ]
[0.3499861  0.22921944],[0.7499863 0.2604669],[0.66404747 0.41398224]
[0.34998185 0.22921526],[0.7499821  0.26046195],[0.66404287 0.4139772 ]
[0.34997703 0.22921052],[0.74997735 0.26045635],[0.66403766 0.41397149]
[0.34997164 0.22920523],[0.74997204 0.26045008],[0.66403183 0.4139651 ]
[0.34996569 0.22919938],[0.74996616 0.26044315],[0.66402539 0.41395805]
[0.34995917 0.22919297],[0.74995973 0.26043557],[0.66401834 0.41395032]
[0.34995208 0.22918601],[0.74995274 0.26042732],[0.66401067 0.41394192]
[0.34994442 0.22917849],[0.74994519 0.26041842],[0.66400239 0.41393285]
[0.3499362  0.22917041],[0.74993708 0.26040885],[0.6639935  0.41392311]
[0.3499274  0.22916177],[0.74992841 0.26039863],[0.66398399 0.41391269]
[0.34991805 0.22915258],[0.74991919 0.26038775],[0.66397387 0.4139016 ]
[0.34990812 0.22914283],[0.7499094 0.2603762],[0.66396314 0.41388984]
[0.34989763 0.22913252],[0.74989905 0.260364  ],[0.66395179 0.41387741]
[0.34988657 0.22912166],[0.74988815 0.26035114],[0.66393983 0.41386431]
[0.34987494 0.22911024],[0.74987668 0.26033761],[0.66392726 0.41385054]
[0.34986275 0.22909826],[0.74986466 0.26032343],[0.66391407 0.41383609]
[0.34984999 0.22908572],[0.74985208 0.26030859],[0.66390027 0.41382097]
[0.34983666 0.22907263],[0.74983893 0.26029309],[0.66388586 0.41380518]
[0.34982277 0.22905898],[0.74982523 0.26027693],[0.66387083 0.41378872]
[0.3498083  0.22904477],[0.74981097 0.26026011],[0.66385519 0.41377158]
[0.34979328 0.22903001],[0.74979615 0.26024263],[0.66383894 0.41375378]
[0.34977768 0.22901469],[0.74978077 0.26022449],[0.66382207 0.4137353 ]
[0.34976152 0.22899881],[0.74976484 0.2602057 ],[0.6638046  0.41371615]
[0.34974478 0.22898238],[0.74974834 0.26018624],[0.6637865  0.41369633]
[0.34972749 0.22896538],[0.74973128 0.26016612],[0.6637678  0.41367584]
[0.34970962 0.22894783],[0.74971367 0.26014534],[0.66374848 0.41365467]
[0.34969119 0.22892973],[0.74969549 0.26012391],[0.66372854 0.41363283]
[0.34967219 0.22891106],[0.74967676 0.26010181],[0.663708   0.41361032]
[0.34965262 0.22889184],[0.74965746 0.26007906],[0.66368684 0.41358714]
[0.34963249 0.22887207],[0.74963761 0.26005564],[0.66366507 0.41356329]
[0.34961179 0.22885173],[0.7496172  0.26003157],[0.66364268 0.41353877]
[0.34959052 0.22883084],[0.74959623 0.26000683],[0.66361968 0.41351357]
[0.34956869 0.22880939],[0.7495747  0.25998144],[0.66359607 0.4134877 ]
[0.34954629 0.22878739],[0.74955261 0.25995539],[0.66357185 0.41346116]
[0.34952332 0.22876483],[0.74952996 0.25992867],[0.66354701 0.41343395]
[0.34949978 0.22874171],[0.74950676 0.2599013 ],[0.66352156 0.41340607]
[0.34947568 0.22871803],[0.74948299 0.25987327],[0.66349549 0.41337751]
[0.34945101 0.2286938 ],[0.74945867 0.25984458],[0.66346882 0.41334829]
[0.34942577 0.22866901],[0.74943378 0.25981523],[0.66344153 0.41331839]
[0.34939997 0.22864366],[0.74940834 0.25978522],[0.66341362 0.41328782]
