0.4896950230183843,0.9750592216136782,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999966 0.22923279],[0.74999965 0.26048269],[0.66406213 0.41399833]
[0.34999864 0.22923189],[0.74999861 0.26048159],[0.66406104 0.41399721]
[0.34999695 0.22923039],[0.74999687 0.26047975],[0.66405921 0.41399534]
[0.34999457 0.22922829],[0.74999443 0.26047718],[0.66405664 0.41399273]
[0.34999152 0.2292256 ],[0.7499913  0.26047388],[0.66405335 0.41398938]
[0.34998779 0.2292223 ],[0.74998748 0.26046983],[0.66404933 0.41398528]
[0.34998338 0.2292184 ],[0.74998296 0.26046506],[0.66404457 0.41398043]
[0.34997829 0.2292139 ],[0.74997774 0.26045955],[0.66403908 0.41397484]
[0.34997252 0.22920881],[0.74997182 0.2604533 ],[0.66403286 0.4139685 ]
[0.34996607 0.22920311],[0.74996522 0.26044632],[0.6640259  0.41396142]
[0.34995895 0.22919682],[0.74995791 0.26043861],[0.66401822 0.41395359]
[0.34995114 0.22918992],[0.74994991 0.26043016],[0.6640098  0.41394501]
[0.34994266 0.22918243],[0.74994121 0.26042097],[0.66400065 0.41393569]
[0.3499335  0.22917434],[0.74993182 0.26041105],[0.66399077 0.41392562]
[0.34992366 0.22916564],[0.74992174 0.2604004 ],[0.66398016 0.41391481]
[0.34991315 0.22915635],[0.74991095 0.26038901],[0.66396882 0.41390325]
[0.34990195 0.22914646],[0.74989947 0.26037688],[0.66395674 0.41389095]
[0.34989008 0.22913597],[0.7498873  0.26036403],[0.66394393 0.4138779 ]
[0.34987752 0.22912487],[0.74987443 0.26035043],[0.66393039 0.41386411]
[0.34986429 0.22911318],[0.74986086 0.26033611],[0.66391612 0.41384957]
[0.34985038 0.22910089],[0.7498466  0.26032104],[0.66390111 0.41383428]
[0.34983579 0.229088  ],[0.74983165 0.26030525],[0.66388538 0.41381825]
[0.34982052 0.22907452],[0.74981599 0.26028871],[0.66386891 0.41380147]
[0.34980458 0.22906043],[0.74979964 0.26027145],[0.66385171 0.41378395]
[0.34978795 0.22904574],[0.7497826  0.26025345],[0.66383378 0.41376568]
[0.34977065 0.22903045],[0.74976486 0.26023471],[0.66381512 0.41374667]
[0.34975267 0.22901457],[0.74974643 0.26021524],[0.66379572 0.41372691]
[0.34973401 0.22899808],[0.7497273  0.26019503],[0.66377559 0.4137064 ]
[0.34971467 0.228981  ],[0.74970747 0.26017409],[0.66375474 0.41368515]
[0.34969466 0.22896331],[0.74968695 0.26015242],[0.66373315 0.41366315]
[0.34967396 0.22894503],[0.74966573 0.26013001],[0.66371082 0.41364041]
[0.34965259 0.22892615],[0.74964382 0.26010686],[0.66368777 0.41361693]
[0.34963053 0.22890666],[0.74962121 0.26008298],[0.66366398 0.41359269]
[0.3496078  0.22888658],[0.7495979  0.26005837],[0.66363947 0.41356771]
[0.34958439 0.2288659 ],[0.74957391 0.26003302],[0.66361422 0.41354199]
[0.34956031 0.22884462],[0.74954921 0.26000694],[0.66358823 0.41351552]
[0.34953554 0.22882274],[0.74952382 0.25998012],[0.66356152 0.41348831]
[0.34951009 0.22880026],[0.74949773 0.25995257],[0.66353408 0.41346035]
[0.34948397 0.22877719],[0.74947095 0.25992429],[0.6635059  0.41343164]
[0.34945717 0.22875351],[0.74944347 0.25989526],[0.66347699 0.41340219]
[0.34942969 0.22872923],[0.7494153  0.25986551],[0.66344735 0.41337199]
[0.34940153 0.22870436],[0.74938643 0.25983502],[0.66341698 0.41334105]
[0.34937269 0.22867888],[0.74935687 0.25980379],[0.66338588 0.41330936]
[0.34934318 0.22865281],[0.74932661 0.25977184],[0.66335404 0.41327693]
[0.34931298 0.22862614],[0.74929566 0.25973914],[0.66332147 0.41324375]
[0.34928211 0.22859887],[0.74926401 0.25970571],[0.66328818 0.41320983]
