0.82504971806112,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999971 0.22923284],[0.74999979 0.2604827 ],[0.66406222 0.41399832]
[0.34999884 0.22923211],[0.74999916 0.26048162],[0.66406138 0.41399716]
[0.34999739 0.22923087],[0.74999811 0.26047981],[0.66405999 0.41399525]
[0.34999537 0.22922915],[0.74999664 0.26047729],[0.66405804 0.41399256]
[0.34999276 0.22922694],[0.74999475 0.26047404],[0.66405552 0.4139891 ]
[0.34998958 0.22922423],[0.74999244 0.26047007],[0.66405246 0.41398488]
[0.34998581 0.22922103],[0.74998971 0.26046538],[0.66404883 0.41397989]
[0.34998147 0.22921733],[0.74998656 0.26045997],[0.66404464 0.41397413]
[0.34997655 0.22921315],[0.74998299 0.26045383],[0.6640399  0.41396761]
[0.34997105 0.22920847],[0.74997901 0.26044698],[0.6640346  0.41396031]
[0.34996497 0.2292033 ],[0.7499746 0.2604394],[0.66402874 0.41395225]
[0.34995831 0.22919764],[0.74996977 0.2604311 ],[0.66402232 0.41394342]
[0.34995107 0.22919149],[0.74996452 0.26042208],[0.66401535 0.41393383]
[0.34994325 0.22918484],[0.74995885 0.26041234],[0.66400781 0.41392346]
[0.34993486 0.2291777 ],[0.74995276 0.26040188],[0.66399972 0.41391233]
[0.34992588 0.22917007],[0.74994625 0.26039069],[0.66399107 0.41390043]
[0.34991633 0.22916195],[0.74993933 0.26037879],[0.66398186 0.41388777]
[0.34990619 0.22915333],[0.74993198 0.26036616],[0.6639721  0.41387433]
[0.34989548 0.22914422],[0.74992421 0.26035281],[0.66396178 0.41386013]
[0.34988419 0.22913462],[0.74991602 0.26033874],[0.66395089 0.41384516]
[0.34987232 0.22912453],[0.74990742 0.26032395],[0.66393945 0.41382942]
[0.34985987 0.22911395],[0.74989839 0.26030843],[0.66392746 0.41381292]
[0.34984684 0.22910287],[0.74988894 0.2602922 ],[0.6639149  0.41379564]
[0.34983323 0.2290913 ],[0.74987908 0.26027524],[0.66390179 0.4137776 ]
[0.34981905 0.22907924],[0.74986879 0.26025756],[0.66388812 0.41375879]
[0.34980428 0.22906669],[0.74985808 0.26023916],[0.66387389 0.41373922]
[0.34978894 0.22905364],[0.74984696 0.26022004],[0.6638591  0.41371887]
[0.34977301 0.22904011],[0.74983541 0.26020019],[0.66384375 0.41369776]
[0.34975651 0.22902608],[0.74982344 0.26017963],[0.66382785 0.41367588]
[0.34973943 0.22901156],[0.74981106 0.26015834],[0.66381139 0.41365324]
[0.34972176 0.22899654],[0.74979825 0.26013634],[0.66379437 0.41362983]
[0.34970352 0.22898104],[0.74978503 0.26011361],[0.66377679 0.41360564]
[0.3496847  0.22896504],[0.74977138 0.26009016],[0.66375866 0.4135807 ]
[0.3496653  0.22894855],[0.74975732 0.26006599],[0.66373996 0.41355498]
[0.34964533 0.22893157],[0.74974283 0.26004109],[0.66372071 0.4135285 ]
[0.34962477 0.2289141 ],[0.74972793 0.26001548],[0.6637009  0.41350124]
[0.34960363 0.22889613],[0.74971261 0.25998914],[0.66368054 0.41347323]
[0.34958192 0.22887768],[0.74969686 0.25996209],[0.66365961 0.41344444]
[0.34955962 0.22885873],[0.7496807  0.25993431],[0.66363813 0.41341489]
[0.34953675 0.22883929],[0.74966412 0.25990581],[0.66361609 0.41338457]
[0.3495133  0.22881936],[0.74964711 0.25987659],[0.66359349 0.41335348]
[0.34948927 0.22879894],[0.74962969 0.25984665],[0.66357034 0.41332162]
[0.34946465 0.22877802],[0.74961185 0.25981599],[0.66354662 0.413289  ]
[0.34943946 0.22875662],[0.74959359 0.2597846 ],[0.66352235 0.41325561]
[0.3494137  0.22873472],[0.74957491 0.2597525 ],[0.66349752 0.41322145]
[0.34938735 0.22871233],[0.74955581 0.25971967],[0.66347213 0.41318653]
[0.34936042 0.22868945],[0.74953629 0.25968612],[0.66344619 0.41315084]
[0.34933291 0.22866608],[0.74951635 0.25965185],[0.66341968 0.41311438]
[0.34930483 0.22864221],[0.74949599 0.25961687],[0.66339262 0.41307715]
[0.34927616 0.22861786],[0.74947521 0.25958115],[0.663365   0.41303916]
[0.34924692 0.22859301],[0.74945401 0.25954472],[0.66333683 0.4130004 ]
[0.34921709 0.22856767],[0.74943239 0.25950757],[0.66330809 0.41296087]
[0.34918669 0.22854185],[0.74941035 0.2594697 ],[0.6632788  0.41292057]
[0.34915571 0.22851553],[0.7493879 0.2594311],[0.66324895 0.41287951]
[0.34912415 0.22848871],[0.74936502 0.25939179],[0.66321854 0.41283768]
[0.34909201 0.22846141],[0.74934172 0.25935175],[0.66318758 0.41279508]
[0.34905929 0.22843362],[0.74931801 0.25931099],[0.66315606 0.41275172]
[0.34902599 0.22840534],[0.74929387 0.25926952],[0.66312398 0.41270759]
[0.34899211 0.22837656],[0.74926932 0.25922732],[0.66309134 0.41266269]
[0.34895765 0.22834729],[0.74924434 0.2591844 ],[0.66305814 0.41261703]
[0.34892262 0.22831754],[0.74921895 0.25914076],[0.66302439 0.4125706 ]
[0.348887   0.22828729],[0.74919314 0.2590964 ],[0.66299008 0.4125234 ]
[0.3488508  0.22825655],[0.74916691 0.25905132],[0.66295521 0.41247543]
[0.34881403 0.22822532],[0.74914025 0.25900551],[0.66291978 0.4124267 ]
[0.34877668 0.2281936 ],[0.74911318 0.25895899],[0.6628838 0.4123772]
[0.34873874 0.22816139],[0.74908569 0.25891175],[0.66284726 0.41232694]
[0.34870023 0.22812869],[0.74905778 0.25886378],[0.66281016 0.41227591]
[0.34866114 0.2280955 ],[0.74902946 0.2588151 ],[0.6627725  0.41222411]
[0.34862147 0.22806182],[0.74900071 0.25876569],[0.66273429 0.41217154]
[0.34858122 0.22802765],[0.74897154 0.25871557],[0.66269552 0.41211821]
[0.34854039 0.22799299],[0.74894195 0.25866472],[0.66265619 0.41206411]
[0.34849898 0.22795783],[0.74891195 0.25861316],[0.6626163  0.41200925]
[0.34845699 0.22792219],[0.74888152 0.25856087],[0.66257586 0.41195361]
[0.34841442 0.22788606],[0.74885068 0.25850786],[0.66253485 0.41189721]
[0.34837128 0.22784944],[0.74881942 0.25845414],[0.6624933  0.41184005]
[0.34832755 0.22781232],[0.74878773 0.25839969],[0.66245118 0.41178212]
[0.34828324 0.22777472],[0.74875563 0.25834452],[0.66240851 0.41172342]
[0.34823836 0.22773663],[0.74872311 0.25828863],[0.66236527 0.41166396]
[0.34819289 0.22769805],[0.74869017 0.25823203],[0.66232149 0.41160372]
