1.0
 
[-5.85953150e-03 -1.99973295e+01],[ 2.83059956e-03 -1.99973793e+01],[ -0.02285115 -19.99344437]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406245 0.41395863]
[0.34999997 0.22914292],[0.75000001 0.26039289],[0.6640624  0.41390855]
[0.34999995 0.22907279],[0.75000002 0.26032276],[0.66406232 0.41383843]
[0.34999993 0.22898262],[0.75000004 0.26023259],[0.66406221 0.41374828]
[0.34999989 0.22887242],[0.75000005 0.26012239],[0.66406209 0.4136381 ]
[0.34999986 0.22874217],[0.75000007 0.25999214],[0.66406194 0.41350788]
[0.34999981 0.22859189],[0.75000009 0.25984186],[0.66406177 0.41335763]
[0.34999976 0.22842158],[0.75000011 0.25967154],[0.66406157 0.41318734]
[0.34999971 0.22823122],[0.75000014 0.25948119],[0.66406136 0.41299702]
[0.34999965 0.22802083],[0.75000017 0.25927079],[0.66406112 0.41278667]
[0.34999958 0.2277904 ],[0.7500002  0.25904036],[0.66406086 0.41255629]
[0.3499995  0.22753993],[0.75000024 0.2587899 ],[0.66406057 0.41230587]
[0.34999943 0.22726943],[0.75000028 0.25851939],[0.66406026 0.41203542]
[0.34999934 0.22697888],[0.75000032 0.25822885],[0.66405993 0.41174493]
[0.34999925 0.2266683 ],[0.75000036 0.25791827],[0.66405958 0.41143441]
[0.34999915 0.22633769],[0.75000041 0.25758765],[0.6640592  0.41110386]
[0.34999905 0.22598703],[0.75000046 0.25723699],[0.6640588  0.41075327]
[0.34999894 0.22561634],[0.75000051 0.2568663 ],[0.66405838 0.41038265]
[0.34999883 0.22522561],[0.75000057 0.25647557],[0.66405793 0.409992  ]
[0.34999871 0.22481485],[0.75000062 0.2560648 ],[0.66405746 0.40958131]
[0.34999858 0.22438404],[0.75000068 0.255634  ],[0.66405697 0.40915059]
[0.34999845 0.2239332 ],[0.75000075 0.25518316],[0.66405646 0.40869984]
[0.34999831 0.22346232],[0.75000081 0.25471228],[0.66405592 0.40822905]
[0.34999817 0.22297141],[0.75000088 0.25422136],[0.66405536 0.40773823]
[0.34999802 0.22246045],[0.75000096 0.2537104 ],[0.66405478 0.40722737]
[0.34999786 0.22192946],[0.75000103 0.25317941],[0.66405417 0.40669649]
[0.3499977  0.22137843],[0.75000111 0.25262838],[0.66405355 0.40614556]
[0.34999754 0.22080737],[0.75000119 0.25205732],[0.66405289 0.40557461]
[0.34999736 0.22021626],[0.75000127 0.25146621],[0.66405222 0.40498362]
[0.34999718 0.21960512],[0.75000136 0.25085507],[0.66405152 0.4043726 ]
[0.349997   0.21897395],[0.75000145 0.25022389],[0.6640508  0.40374154]
[0.34999681 0.21832273],[0.75000154 0.24957267],[0.66405006 0.40309045]
[0.34999661 0.21765148],[0.75000164 0.24890142],[0.6640493  0.40241933]
[0.34999641 0.21696019],[0.75000173 0.24821013],[0.66404851 0.40172818]
[0.3499962  0.21624886],[0.75000183 0.2474988 ],[0.6640477  0.40101699]
[0.34999599 0.2155175 ],[0.75000194 0.24676743],[0.66404686 0.40028576]
[0.34999577 0.21476609],[0.75000204 0.24601603],[0.66404601 0.39953451]
[0.34999554 0.21399465],[0.75000215 0.24524459],[0.66404513 0.39876322]
[0.34999531 0.21320318],[0.75000226 0.24445311],[0.66404423 0.39797189]
[0.34999508 0.21239166],[0.75000238 0.24364159],[0.6640433  0.39716054]
[0.34999483 0.21156011],[0.7500025  0.24281004],[0.66404235 0.39632915]
[0.34999458 0.21070852],[0.75000262 0.24195845],[0.66404138 0.39547772]
[0.34999433 0.2098369 ],[0.75000274 0.24108682],[0.66404039 0.39460626]
[0.34999407 0.20894523],[0.75000287 0.24019515],[0.66403937 0.39371477]
