1.0
 
[-6.11070932e-03 -1.99971906e+01],[ 2.95949323e-03 -1.99972404e+01],[ -0.02392861 -19.99310207]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406245 0.41395863]
[0.34999997 0.22914292],[0.75000001 0.26039289],[0.66406239 0.41390855]
[0.34999995 0.22907279],[0.75000002 0.26032276],[0.66406231 0.41383843]
[0.34999992 0.22898262],[0.75000004 0.26023259],[0.6640622  0.41374829]
[0.34999989 0.22887242],[0.75000005 0.26012239],[0.66406207 0.4136381 ]
[0.34999985 0.22874218],[0.75000007 0.25999215],[0.66406191 0.41350789]
[0.3499998 0.2285919],[0.75000009 0.25984187],[0.66406173 0.41335764]
[0.34999975 0.22842158],[0.75000012 0.25967155],[0.66406153 0.41318736]
[0.34999969 0.22823123],[0.75000015 0.25948119],[0.6640613  0.41299704]
[0.34999963 0.22802084],[0.75000018 0.2592708 ],[0.66406105 0.41278669]
[0.34999956 0.22779041],[0.75000021 0.25904037],[0.66406078 0.41255631]
[0.34999948 0.22753994],[0.75000025 0.25878991],[0.66406048 0.4123059 ]
[0.3499994  0.22726944],[0.75000029 0.2585194 ],[0.66406016 0.41203545]
[0.34999931 0.2269789 ],[0.75000033 0.25822886],[0.66405981 0.41174497]
[0.34999922 0.22666832],[0.75000038 0.25791829],[0.66405944 0.41143445]
[0.34999912 0.22633771],[0.75000043 0.25758767],[0.66405904 0.41110391]
[0.34999901 0.22598706],[0.75000048 0.25723702],[0.66405862 0.41075333]
[0.3499989  0.22561637],[0.75000053 0.25686633],[0.66405818 0.41038271]
[0.34999878 0.22522564],[0.75000059 0.2564756 ],[0.66405772 0.40999207]
[0.34999865 0.22481488],[0.75000065 0.25606483],[0.66405723 0.40958139]
[0.34999852 0.22438408],[0.75000072 0.25563403],[0.66405671 0.40915067]
[0.34999838 0.22393324],[0.75000078 0.25518319],[0.66405617 0.40869993]
[0.34999824 0.22346236],[0.75000085 0.25471232],[0.66405561 0.40822915]
[0.34999809 0.22297145],[0.75000092 0.2542214 ],[0.66405502 0.40773834]
[0.34999793 0.2224605 ],[0.750001   0.25371045],[0.66405441 0.40722749]
[0.34999777 0.22192951],[0.75000108 0.25317946],[0.66405378 0.40669661]
[0.3499976  0.22137849],[0.75000116 0.25262844],[0.66405312 0.4061457 ]
[0.34999743 0.22080743],[0.75000124 0.25205737],[0.66405244 0.40557475]
[0.34999725 0.22021633],[0.75000133 0.25146627],[0.66405173 0.40498378]
[0.34999706 0.21960519],[0.75000142 0.25085514],[0.66405101 0.40437276]
[0.34999687 0.21897402],[0.75000151 0.25022396],[0.66405025 0.40374172]
[0.34999667 0.21832281],[0.75000161 0.24957275],[0.66404947 0.40309064]
[0.34999647 0.21765156],[0.75000171 0.2489015 ],[0.66404867 0.40241953]
[0.34999626 0.21696027],[0.75000181 0.24821021],[0.66404785 0.40172839]
[0.34999604 0.21624895],[0.75000192 0.24749889],[0.664047   0.40101721]
[0.34999582 0.21551759],[0.75000203 0.24676753],[0.66404613 0.400286  ]
[0.34999559 0.21476619],[0.75000214 0.24601613],[0.66404523 0.39953475]
[0.34999535 0.21399476],[0.75000225 0.24524469],[0.66404431 0.39876348]
[0.34999511 0.21320329],[0.75000237 0.24445322],[0.66404336 0.39797217]
[0.34999486 0.21239178],[0.75000249 0.24364171],[0.66404239 0.39716082]
[0.34999461 0.21156023],[0.75000261 0.24281016],[0.6640414  0.39632945]
[0.34999435 0.21070865],[0.75000274 0.24195857],[0.66404038 0.39547804]
[0.34999409 0.20983703],[0.75000286 0.24108695],[0.66403934 0.3946066 ]
[0.34999381 0.20894537],[0.750003   0.24019529],[0.66403828 0.39371512]
