1.0
 
[-9.87808756e-03 -1.99951069e+01],[ 4.89291866e-03 -1.99951573e+01],[ -0.04008655 -19.98796826]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406242 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406232 0.41390857]
[0.34999992 0.22907281],[0.75000004 0.26032278],[0.66406218 0.41383848]
[0.34999988 0.22898265],[0.75000006 0.26023262],[0.664062   0.41374835]
[0.34999982 0.22887246],[0.75000009 0.26012243],[0.66406178 0.4136382 ]
[0.34999976 0.22874223],[0.75000012 0.2599922 ],[0.66406152 0.41350801]
[0.34999968 0.22859196],[0.75000016 0.25984193],[0.66406122 0.4133578 ]
[0.3499996  0.22842167],[0.7500002  0.25967163],[0.66406088 0.41318757]
[0.34999951 0.22823133],[0.75000024 0.2594813 ],[0.66406049 0.4129973 ]
[0.3499994  0.22802096],[0.7500003  0.25927093],[0.66406007 0.412787  ]
[0.34999929 0.22779056],[0.75000035 0.25904052],[0.66405961 0.41255668]
[0.34999916 0.22754012],[0.75000041 0.25879008],[0.66405911 0.41230633]
[0.34999903 0.22726964],[0.75000048 0.25851961],[0.66405857 0.41203595]
[0.34999889 0.22697913],[0.75000055 0.2582291 ],[0.66405799 0.41174555]
[0.34999873 0.22666859],[0.75000063 0.25791855],[0.66405737 0.41143511]
[0.34999857 0.22633801],[0.75000071 0.25758797],[0.6640567  0.41110465]
[0.3499984  0.22598739],[0.75000079 0.25723736],[0.664056   0.41075416]
[0.34999822 0.22561674],[0.75000088 0.2568667 ],[0.66405526 0.41038364]
[0.34999802 0.22522606],[0.75000098 0.25647602],[0.66405448 0.4099931 ]
[0.34999782 0.22481534],[0.75000108 0.2560653 ],[0.66405366 0.40958252]
[0.34999761 0.22438458],[0.75000118 0.25563454],[0.66405279 0.40915192]
[0.34999739 0.22393379],[0.7500013  0.25518375],[0.66405189 0.40870129]
[0.34999715 0.22346296],[0.75000141 0.25471292],[0.66405095 0.40823063]
[0.34999691 0.2229721 ],[0.75000153 0.25422206],[0.66404996 0.40773994]
[0.34999666 0.2224612 ],[0.75000165 0.25371116],[0.66404894 0.40722923]
[0.3499964  0.22193027],[0.75000178 0.25318022],[0.66404788 0.40669849]
[0.34999612 0.22137931],[0.75000192 0.25262926],[0.66404678 0.40614772]
[0.34999584 0.2208083 ],[0.75000206 0.25205825],[0.66404563 0.40557692]
[0.34999555 0.22021727],[0.7500022  0.25146721],[0.66404445 0.40498609]
[0.34999525 0.21960619],[0.75000235 0.25085614],[0.66404323 0.40437524]
[0.34999494 0.21897509],[0.75000251 0.25022503],[0.66404196 0.40374435]
[0.34999462 0.21832394],[0.75000267 0.24957389],[0.66404066 0.40309344]
[0.34999429 0.21765277],[0.75000283 0.24890271],[0.66403931 0.4024225 ]
[0.34999395 0.21696155],[0.750003   0.24821149],[0.66403793 0.40173154]
[0.34999359 0.2162503 ],[0.75000317 0.24750024],[0.66403651 0.40102054]
[0.34999323 0.21551902],[0.75000335 0.24676896],[0.66403504 0.40028952]
[0.34999286 0.2147677 ],[0.75000354 0.24601764],[0.66403354 0.39953847]
[0.34999248 0.21399635],[0.75000372 0.24524628],[0.66403199 0.39876739]
[0.34999209 0.21320496],[0.75000392 0.24445489],[0.66403041 0.39797628]
[0.34999169 0.21239353],[0.75000412 0.24364346],[0.66402879 0.39716515]
[0.34999128 0.21156208],[0.75000432 0.242812  ],[0.66402712 0.39633399]
[0.34999086 0.21071058],[0.75000453 0.2419605 ],[0.66402542 0.39548279]
[0.34999043 0.20983905],[0.75000474 0.24108897],[0.66402367 0.39461158]
[0.34998999 0.20894749],[0.75000496 0.24019741],[0.66402189 0.39372033]
