1.0
 
[-1.21383641e-02 -1.99938567e+01],[ 6.05273039e-03 -1.99939076e+01],[ -0.0497777  -19.98488866]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.6640624  0.41395865]
[0.34999995 0.22914294],[0.75000003 0.26039291],[0.66406228 0.41390859]
[0.3499999  0.22907282],[0.75000005 0.26032279],[0.6640621 0.4138385]
[0.34999985 0.22898267],[0.75000008 0.26023264],[0.66406188 0.41374839]
[0.34999978 0.22887248],[0.75000011 0.26012245],[0.6640616  0.41363825]
[0.3499997  0.22874226],[0.75000015 0.25999223],[0.66406128 0.41350809]
[0.34999961 0.228592  ],[0.75000019 0.25984197],[0.66406091 0.4133579 ]
[0.34999951 0.22842172],[0.75000025 0.25967168],[0.66406048 0.41318769]
[0.34999939 0.22823139],[0.7500003  0.25948136],[0.66406001 0.41299745]
[0.34999926 0.22802104],[0.75000037 0.25927101],[0.66405949 0.41278719]
[0.34999913 0.22779065],[0.75000044 0.25904061],[0.66405891 0.4125569 ]
[0.34999897 0.22754022],[0.75000051 0.25879019],[0.66405829 0.41230659]
[0.34999881 0.22726977],[0.75000059 0.25851973],[0.66405762 0.41203626]
[0.34999863 0.22697927],[0.75000068 0.25822924],[0.66405689 0.41174589]
[0.34999844 0.22666875],[0.75000078 0.25791871],[0.66405612 0.41143551]
[0.34999824 0.22633819],[0.75000088 0.25758815],[0.6640553 0.4111051]
[0.34999803 0.2259876 ],[0.75000098 0.25723756],[0.66405443 0.41075466]
[0.34999781 0.22561697],[0.75000109 0.25686693],[0.66405351 0.4103842 ]
[0.34999757 0.22522631],[0.75000121 0.25647627],[0.66405254 0.40999371]
[0.34999732 0.22481561],[0.75000134 0.25606557],[0.66405151 0.4095832 ]
[0.34999706 0.22438488],[0.75000147 0.25563484],[0.66405044 0.40915267]
[0.34999679 0.22393412],[0.7500016  0.25518408],[0.66404932 0.4087021 ]
[0.3499965  0.22346332],[0.75000174 0.25471328],[0.66404815 0.40823152]
[0.3499962  0.22297249],[0.75000189 0.25422245],[0.66404693 0.40774091]
[0.34999589 0.22246163],[0.75000205 0.25371158],[0.66404566 0.40723027]
[0.34999557 0.22193073],[0.75000221 0.25318068],[0.66404434 0.40669961]
[0.34999524 0.2213798 ],[0.75000237 0.25262975],[0.66404297 0.40614893]
[0.34999489 0.22080883],[0.75000255 0.25205878],[0.66404155 0.40557821]
[0.34999453 0.22021783],[0.75000273 0.25146778],[0.66404008 0.40498748]
[0.34999416 0.2196068 ],[0.75000291 0.25085674],[0.66403856 0.40437672]
[0.34999378 0.21897573],[0.7500031  0.25022567],[0.66403699 0.40374593]
[0.34999338 0.21832463],[0.7500033  0.24957457],[0.66403537 0.40309512]
[0.34999298 0.21765349],[0.7500035  0.24890343],[0.6640337  0.40242429]
[0.34999256 0.21696232],[0.75000371 0.24821226],[0.66403198 0.40173343]
[0.34999213 0.21625112],[0.75000393 0.24750105],[0.66403021 0.40102254]
[0.34999168 0.21551988],[0.75000415 0.24676981],[0.6640284  0.40029163]
[0.34999123 0.21476861],[0.75000437 0.24601854],[0.66402653 0.3995407 ]
[0.34999076 0.2139973 ],[0.75000461 0.24524723],[0.66402461 0.39876974]
[0.34999028 0.21320596],[0.75000485 0.24445589],[0.66402264 0.39797875]
[0.34998979 0.21239459],[0.75000509 0.24364451],[0.66402062 0.39716774]
[0.34998928 0.21156318],[0.75000534 0.24281311],[0.66401856 0.39633671]
[0.34998877 0.21071174],[0.7500056  0.24196166],[0.66401644 0.39548565]
[0.34998824 0.20984026],[0.75000586 0.24109018],[0.66401427 0.39461456]
[0.3499877  0.20894875],[0.75000613 0.24019867],[0.66401205 0.39372345]
