1.0
 
[-4.60360156e-03 -1.99980241e+01],[ 2.18612861e-03 -1.99980736e+01],[-1.74633431e-02 -1.99951560e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406242 0.41390854]
[0.34999996 0.22907279],[0.75000002 0.26032275],[0.66406236 0.41383842]
[0.34999994 0.22898261],[0.75000003 0.26023258],[0.66406228 0.41374826]
[0.34999992 0.2288724 ],[0.75000004 0.26012237],[0.66406219 0.41363807]
[0.34999989 0.22874216],[0.75000005 0.25999213],[0.66406207 0.41350784]
[0.34999985 0.22859187],[0.75000007 0.25984184],[0.66406194 0.41335757]
[0.34999981 0.22842155],[0.75000009 0.25967152],[0.66406179 0.41318727]
[0.34999977 0.22823119],[0.75000011 0.25948115],[0.66406163 0.41299694]
[0.34999972 0.22802079],[0.75000013 0.25927075],[0.66406144 0.41278657]
[0.34999967 0.22779035],[0.75000016 0.25904031],[0.66406124 0.41255616]
[0.34999961 0.22753987],[0.75000018 0.25878984],[0.66406103 0.41230572]
[0.34999955 0.22726936],[0.75000021 0.25851932],[0.66406079 0.41203525]
[0.34999948 0.22697881],[0.75000025 0.25822877],[0.66406054 0.41174474]
[0.34999941 0.22666821],[0.75000028 0.25791818],[0.66406027 0.41143419]
[0.34999934 0.22633759],[0.75000032 0.25758755],[0.66405998 0.41110361]
[0.34999925 0.22598692],[0.75000035 0.25723688],[0.66405967 0.41075299]
[0.34999917 0.22561622],[0.75000039 0.25686618],[0.66405935 0.41038234]
[0.34999908 0.22522547],[0.75000044 0.25647543],[0.66405901 0.40999166]
[0.34999899 0.22481469],[0.75000048 0.25606465],[0.66405865 0.40958093]
[0.34999889 0.22438387],[0.75000053 0.25563383],[0.66405828 0.40915018]
[0.34999878 0.22393302],[0.75000058 0.25518297],[0.66405789 0.40869938]
[0.34999868 0.22346212],[0.75000063 0.25471208],[0.66405748 0.40822856]
[0.34999856 0.22297119],[0.75000068 0.25422114],[0.66405705 0.40773769]
[0.34999845 0.22246022],[0.75000074 0.25371017],[0.6640566  0.40722679]
[0.34999832 0.22192921],[0.7500008  0.25317916],[0.66405614 0.40669586]
[0.3499982  0.22137816],[0.75000086 0.25262811],[0.66405566 0.40614489]
[0.34999807 0.22080707],[0.75000092 0.25205702],[0.66405516 0.40557389]
[0.34999793 0.22021595],[0.75000098 0.2514659 ],[0.66405465 0.40498285]
[0.34999779 0.21960479],[0.75000105 0.25085474],[0.66405412 0.40437178]
[0.34999764 0.21897359],[0.75000112 0.25022353],[0.66405357 0.40374067]
[0.3499975  0.21832235],[0.75000119 0.24957229],[0.664053   0.40308952]
[0.34999734 0.21765108],[0.75000126 0.24890102],[0.66405242 0.40241834]
[0.34999718 0.21695976],[0.75000134 0.2482097 ],[0.66405182 0.40172713]
[0.34999702 0.21624841],[0.75000142 0.24749835],[0.6640512  0.40101588]
[0.34999685 0.21551702],[0.75000149 0.24676696],[0.66405056 0.40028459]
[0.34999668 0.21476559],[0.75000158 0.24601553],[0.66404991 0.39953327]
[0.3499965  0.21399412],[0.75000166 0.24524406],[0.66404923 0.39876191]
[0.34999632 0.21320262],[0.75000175 0.24445255],[0.66404854 0.39797052]
[0.34999613 0.21239108],[0.75000184 0.24364101],[0.66404784 0.39715909]
[0.34999594 0.2115595 ],[0.75000193 0.24280942],[0.66404711 0.39632763]
[0.34999575 0.21070788],[0.75000202 0.2419578 ],[0.66404637 0.39547614]
[0.34999555 0.20983622],[0.75000211 0.24108614],[0.66404561 0.3946046 ]
[0.34999534 0.20894453],[0.75000221 0.24019445],[0.66404484 0.39371304]
