1.0
 
[-2.21724208e-03 -1.99993439e+01],[ 9.61358153e-04 -1.99993931e+01],[-7.22426878e-03 -1.99984087e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406247 0.41390853]
[0.34999998 0.22907277],[0.75000001 0.26032274],[0.66406244 0.41383839]
[0.34999997 0.2289826 ],[0.75000001 0.26023257],[0.66406241 0.41374822]
[0.34999996 0.22887238],[0.75000002 0.26012235],[0.66406237 0.41363801]
[0.34999995 0.22874212],[0.75000002 0.25999209],[0.66406232 0.41350776]
[0.34999993 0.22859183],[0.75000003 0.2598418 ],[0.66406227 0.41335747]
[0.34999991 0.22842149],[0.75000004 0.25967146],[0.66406221 0.41318714]
[0.34999989 0.22823112],[0.75000005 0.25948109],[0.66406214 0.41299678]
[0.34999987 0.22802071],[0.75000006 0.25927067],[0.66406207 0.41278637]
[0.34999984 0.22779025],[0.75000007 0.25904022],[0.66406198 0.41255593]
[0.34999981 0.22753976],[0.75000008 0.25878973],[0.66406189 0.41230545]
[0.34999978 0.22726923],[0.75000009 0.25851919],[0.6640618  0.41203493]
[0.34999975 0.22697866],[0.75000011 0.25822862],[0.66406169 0.41174437]
[0.34999972 0.22666805],[0.75000012 0.25791801],[0.66406158 0.41143377]
[0.34999968 0.2263374 ],[0.75000014 0.25758736],[0.66406146 0.41110314]
[0.34999964 0.22598671],[0.75000016 0.25723667],[0.66406134 0.41075247]
[0.3499996  0.22561598],[0.75000017 0.25686594],[0.6640612  0.41038175]
[0.34999956 0.22522521],[0.75000019 0.25647517],[0.66406106 0.409991  ]
[0.34999951 0.2248144 ],[0.75000021 0.25606436],[0.66406092 0.40958021]
[0.34999947 0.22438355],[0.75000023 0.25563351],[0.66406076 0.40914939]
[0.34999942 0.22393267],[0.75000025 0.25518262],[0.6640606  0.40869852]
[0.34999936 0.22346174],[0.75000028 0.2547117 ],[0.66406043 0.40822762]
[0.34999931 0.22297077],[0.7500003  0.25422073],[0.66406025 0.40773667]
[0.34999925 0.22245977],[0.75000032 0.25370972],[0.66406007 0.40722569]
[0.34999919 0.22192873],[0.75000035 0.25317868],[0.66405988 0.40669467]
[0.34999913 0.22137764],[0.75000038 0.25262759],[0.66405968 0.40614361]
[0.34999907 0.22080652],[0.7500004  0.25205647],[0.66405948 0.40557252]
[0.34999901 0.22021536],[0.75000043 0.2514653 ],[0.66405927 0.40498138]
[0.34999894 0.21960415],[0.75000046 0.2508541 ],[0.66405905 0.40437021]
[0.34999887 0.21897291],[0.75000049 0.25022286],[0.66405882 0.403739  ]
[0.3499988  0.21832163],[0.75000052 0.24957157],[0.66405859 0.40308775]
[0.34999872 0.21765031],[0.75000055 0.24890025],[0.66405835 0.40241646]
[0.34999865 0.21695895],[0.75000059 0.24820889],[0.6640581  0.40172513]
[0.34999857 0.21624755],[0.75000062 0.24749749],[0.66405784 0.40101376]
[0.34999849 0.21551611],[0.75000065 0.24676605],[0.66405758 0.40028236]
[0.34999841 0.21476464],[0.75000069 0.24601457],[0.66405731 0.39953092]
[0.34999832 0.21399312],[0.75000073 0.24524305],[0.66405704 0.39875943]
[0.34999823 0.21320156],[0.75000077 0.24445149],[0.66405675 0.39796791]
[0.34999814 0.21238997],[0.7500008  0.24363989],[0.66405646 0.39715636]
[0.34999805 0.21155833],[0.75000084 0.24280826],[0.66405616 0.39632476]
[0.34999796 0.21070666],[0.75000088 0.24195658],[0.66405586 0.39547312]
[0.34999786 0.20983494],[0.75000093 0.24108486],[0.66405555 0.39460145]
[0.34999776 0.20894319],[0.75000097 0.24019311],[0.66405523 0.39370974]
