1.0
 
[-2.71966179e-03 -1.99990660e+01],[ 1.21922278e-03 -1.99991153e+01],[-9.38009702e-03 -1.99977238e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406248 0.41395862]
[0.34999999 0.22914291],[0.75000001 0.26039288],[0.66406246 0.41390853]
[0.34999998 0.22907278],[0.75000001 0.26032275],[0.66406243 0.4138384 ]
[0.34999997 0.2289826 ],[0.75000002 0.26023257],[0.66406238 0.41374823]
[0.34999995 0.22887239],[0.75000002 0.26012235],[0.66406233 0.41363802]
[0.34999993 0.22874213],[0.75000003 0.2599921 ],[0.66406227 0.41350777]
[0.34999991 0.22859184],[0.75000004 0.25984181],[0.6640622  0.41335749]
[0.34999989 0.22842151],[0.75000005 0.25967147],[0.66406212 0.41318717]
[0.34999986 0.22823113],[0.75000006 0.2594811 ],[0.66406203 0.41299681]
[0.34999984 0.22802072],[0.75000007 0.25927069],[0.66406193 0.41278641]
[0.3499998  0.22779027],[0.75000009 0.25904024],[0.66406183 0.41255598]
[0.34999977 0.22753978],[0.7500001  0.25878975],[0.66406171 0.41230551]
[0.34999973 0.22726926],[0.75000012 0.25851922],[0.66406158 0.412035  ]
[0.34999969 0.22697869],[0.75000014 0.25822865],[0.66406145 0.41174445]
[0.34999965 0.22666808],[0.75000016 0.25791804],[0.6640613  0.41143386]
[0.34999961 0.22633744],[0.75000018 0.2575874 ],[0.66406115 0.41110324]
[0.34999956 0.22598675],[0.7500002  0.25723671],[0.66406099 0.41075258]
[0.34999951 0.22561603],[0.75000022 0.25686599],[0.66406081 0.41038188]
[0.34999946 0.22522526],[0.75000024 0.25647522],[0.66406063 0.40999114]
[0.3499994  0.22481446],[0.75000027 0.25606442],[0.66406044 0.40958037]
[0.34999934 0.22438362],[0.75000029 0.25563358],[0.66406024 0.40914955]
[0.34999928 0.22393274],[0.75000032 0.2551827 ],[0.66406003 0.4086987 ]
[0.34999922 0.22346182],[0.75000035 0.25471178],[0.66405981 0.40822781]
[0.34999915 0.22297086],[0.75000038 0.25422082],[0.66405958 0.40773689]
[0.34999908 0.22245986],[0.75000041 0.25370982],[0.66405934 0.40722592]
[0.34999901 0.22192883],[0.75000044 0.25317878],[0.66405909 0.40669492]
[0.34999894 0.22137775],[0.75000048 0.2526277 ],[0.66405884 0.40614388]
[0.34999886 0.22080664],[0.75000051 0.25205658],[0.66405857 0.40557281]
[0.34999878 0.22021548],[0.75000055 0.25146543],[0.66405829 0.40498169]
[0.3499987  0.21960429],[0.75000058 0.25085423],[0.66405801 0.40437054]
[0.34999861 0.21897305],[0.75000062 0.250223  ],[0.66405772 0.40373935]
[0.34999852 0.21832178],[0.75000066 0.24957173],[0.66405741 0.40308812]
[0.34999843 0.21765047],[0.7500007  0.24890041],[0.6640571  0.40241685]
[0.34999834 0.21695912],[0.75000074 0.24820906],[0.66405678 0.40172555]
[0.34999824 0.21624773],[0.75000079 0.24749767],[0.66405644 0.40101421]
[0.34999814 0.2155163 ],[0.75000083 0.24676624],[0.6640561  0.40028283]
[0.34999804 0.21476484],[0.75000088 0.24601477],[0.66405575 0.39953141]
[0.34999794 0.21399333],[0.75000092 0.24524326],[0.66405539 0.39875996]
[0.34999783 0.21320179],[0.75000097 0.24445172],[0.66405502 0.39796846]
[0.34999772 0.2123902 ],[0.75000102 0.24364013],[0.66405465 0.39715693]
[0.34999761 0.21155858],[0.75000107 0.2428085 ],[0.66405426 0.39632536]
[0.34999749 0.21070691],[0.75000112 0.24195684],[0.66405386 0.39547376]
[0.34999737 0.20983521],[0.75000118 0.24108513],[0.66405345 0.39460211]
[0.34999725 0.20894347],[0.75000123 0.24019339],[0.66405304 0.39371043]
