1.0
 
[-1.21240022e-03 -1.99998996e+01],[ 4.45457865e-04 -1.99999488e+01],[-2.91221261e-03 -1.99997786e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406249 0.41390852]
[0.34999999 0.22907277],[0.75       0.26032274],[0.66406248 0.41383838]
[0.34999998 0.22898259],[0.75000001 0.26023256],[0.66406246 0.4137482 ]
[0.34999998 0.22887237],[0.75000001 0.26012234],[0.66406245 0.41363798]
[0.34999997 0.22874211],[0.75000001 0.25999208],[0.66406243 0.41350772]
[0.34999996 0.22859181],[0.75000001 0.25984178],[0.66406241 0.41335742]
[0.34999995 0.22842147],[0.75000002 0.25967144],[0.66406238 0.41318709]
[0.34999994 0.22823109],[0.75000002 0.25948106],[0.66406236 0.41299671]
[0.34999993 0.22802067],[0.75000003 0.25927064],[0.66406233 0.41278629]
[0.34999991 0.22779021],[0.75000003 0.25904018],[0.66406229 0.41255583]
[0.3499999  0.22753971],[0.75000004 0.25878968],[0.66406226 0.41230533]
[0.34999988 0.22726917],[0.75000004 0.25851914],[0.66406222 0.41203479]
[0.34999986 0.22697859],[0.75000005 0.25822856],[0.66406218 0.41174422]
[0.34999985 0.22666797],[0.75000006 0.25791794],[0.66406213 0.4114336 ]
[0.34999983 0.22633731],[0.75000006 0.25758728],[0.66406209 0.41110294]
[0.34999981 0.22598662],[0.75000007 0.25723658],[0.66406204 0.41075224]
[0.34999978 0.22561588],[0.75000008 0.25686584],[0.66406198 0.41038151]
[0.34999976 0.2252251 ],[0.75000009 0.25647506],[0.66406193 0.40999073]
[0.34999973 0.22481428],[0.7500001  0.25606424],[0.66406187 0.40957991]
[0.34999971 0.22438342],[0.75000011 0.25563338],[0.66406181 0.40914905]
[0.34999968 0.22393252],[0.75000012 0.25518248],[0.66406174 0.40869816]
[0.34999965 0.22346158],[0.75000013 0.25471154],[0.66406168 0.40822722]
[0.34999962 0.2229706 ],[0.75000014 0.25422056],[0.6640616  0.40773625]
[0.34999959 0.22245958],[0.75000015 0.25370953],[0.66406153 0.40722523]
[0.34999956 0.22192852],[0.75000016 0.25317847],[0.66406146 0.40669417]
[0.34999953 0.22137742],[0.75000017 0.25262737],[0.66406138 0.40614308]
[0.34999949 0.22080628],[0.75000018 0.25205623],[0.6640613  0.40557194]
[0.34999946 0.22021511],[0.7500002  0.25146505],[0.66406121 0.40498077]
[0.34999942 0.21960389],[0.75000021 0.25085383],[0.66406112 0.40436955]
[0.34999938 0.21897263],[0.75000023 0.25022257],[0.66406103 0.40373829]
[0.34999935 0.21832133],[0.75000024 0.24957127],[0.66406094 0.403087  ]
[0.34999931 0.21764999],[0.75000025 0.24889993],[0.66406084 0.40241566]
[0.34999926 0.21695861],[0.75000027 0.24820855],[0.66406075 0.40172429]
[0.34999922 0.21624719],[0.75000029 0.24749713],[0.66406064 0.40101287]
[0.34999918 0.21551573],[0.7500003  0.24676567],[0.66406054 0.40028142]
[0.34999913 0.21476423],[0.75000032 0.24601417],[0.66406043 0.39952992]
[0.34999909 0.2139927 ],[0.75000033 0.24524263],[0.66406032 0.39875839]
[0.34999904 0.21320112],[0.75000035 0.24445105],[0.66406021 0.39796682]
[0.34999899 0.2123895 ],[0.75000037 0.24363943],[0.66406009 0.3971552 ]
[0.34999894 0.21155784],[0.75000039 0.24280777],[0.66405997 0.39632355]
[0.34999889 0.21070614],[0.75000041 0.24195607],[0.66405985 0.39547185]
[0.34999884 0.2098344 ],[0.75000043 0.24108432],[0.66405973 0.39460012]
[0.34999878 0.20894262],[0.75000045 0.24019254],[0.6640596  0.39370835]
