1.0
 
[-3.47326375e-03 -1.99986492e+01],[ 1.60598051e-03 -1.99986986e+01],[-1.26136289e-02 -1.99966966e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406244 0.41390853]
[0.34999997 0.22907278],[0.75000001 0.26032275],[0.6640624  0.41383841]
[0.34999996 0.22898261],[0.75000002 0.26023258],[0.66406234 0.41374824]
[0.34999994 0.22887239],[0.75000003 0.26012236],[0.66406227 0.41363804]
[0.34999992 0.22874214],[0.75000004 0.25999211],[0.66406219 0.4135078 ]
[0.34999989 0.22859185],[0.75000005 0.25984182],[0.6640621  0.41335752]
[0.34999986 0.22842152],[0.75000006 0.25967149],[0.66406199 0.41318721]
[0.34999983 0.22823115],[0.75000008 0.25948112],[0.66406187 0.41299686]
[0.34999979 0.22802075],[0.7500001  0.25927071],[0.66406174 0.41278648]
[0.34999975 0.2277903 ],[0.75000012 0.25904027],[0.66406159 0.41255605]
[0.34999971 0.22753982],[0.75000014 0.25878978],[0.66406144 0.41230559]
[0.34999966 0.2272693 ],[0.75000016 0.25851926],[0.66406127 0.4120351 ]
[0.34999961 0.22697873],[0.75000018 0.2582287 ],[0.66406108 0.41174456]
[0.34999956 0.22666813],[0.75000021 0.2579181 ],[0.66406089 0.41143399]
[0.3499995 0.2263375],[0.75000023 0.25758746],[0.66406068 0.41110339]
[0.34999944 0.22598682],[0.75000026 0.25723678],[0.66406046 0.41075274]
[0.34999937 0.2256161 ],[0.75000029 0.25686606],[0.66406023 0.41038206]
[0.34999931 0.22522535],[0.75000032 0.25647531],[0.66405998 0.40999135]
[0.34999924 0.22481455],[0.75000035 0.25606451],[0.66405973 0.40958059]
[0.34999916 0.22438372],[0.75000039 0.25563368],[0.66405945 0.4091498 ]
[0.34999908 0.22393285],[0.75000042 0.25518281],[0.66405917 0.40869898]
[0.349999   0.22346194],[0.75000046 0.2547119 ],[0.66405888 0.40822811]
[0.34999892 0.22297099],[0.7500005  0.25422095],[0.66405857 0.40773721]
[0.34999883 0.22246   ],[0.75000054 0.25370996],[0.66405825 0.40722627]
[0.34999874 0.22192898],[0.75000058 0.25317893],[0.66405791 0.4066953 ]
[0.34999864 0.22137791],[0.75000063 0.25262786],[0.66405757 0.40614429]
[0.34999854 0.22080681],[0.75000067 0.25205676],[0.66405721 0.40557324]
[0.34999844 0.22021567],[0.75000072 0.25146562],[0.66405684 0.40498215]
[0.34999833 0.21960449],[0.75000077 0.25085443],[0.66405645 0.40437103]
[0.34999822 0.21897327],[0.75000082 0.25022321],[0.66405606 0.40373988]
[0.34999811 0.21832201],[0.75000087 0.24957195],[0.66405565 0.40308868]
[0.349998   0.21765071],[0.75000093 0.24890065],[0.66405523 0.40241745]
[0.34999788 0.21695938],[0.75000098 0.24820932],[0.66405479 0.40172618]
[0.34999775 0.216248  ],[0.75000104 0.24749794],[0.66405434 0.40101487]
[0.34999763 0.21551659],[0.7500011  0.24676653],[0.66405389 0.40028353]
[0.3499975  0.21476514],[0.75000116 0.24601507],[0.66405341 0.39953215]
[0.34999736 0.21399365],[0.75000122 0.24524358],[0.66405293 0.39876074]
[0.34999723 0.21320212],[0.75000128 0.24445205],[0.66405243 0.39796929]
[0.34999709 0.21239055],[0.75000135 0.24364048],[0.66405192 0.3971578 ]
[0.34999694 0.21155894],[0.75000141 0.24280887],[0.6640514  0.39632627]
[0.34999679 0.2107073 ],[0.75000148 0.24195722],[0.66405087 0.39547471]
[0.34999664 0.20983562],[0.75000155 0.24108554],[0.66405032 0.39460311]
[0.34999649 0.20894389],[0.75000162 0.24019381],[0.66404976 0.39371147]
