1.0
 
[-3.34765710e-03 -1.99987187e+01],[ 1.54153837e-03 -1.99987680e+01],[-1.20747235e-02 -1.99968678e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406248 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406245 0.41390853]
[0.34999997 0.22907278],[0.75000001 0.26032275],[0.6640624 0.4138384]
[0.34999996 0.22898261],[0.75000002 0.26023257],[0.66406235 0.41374824]
[0.34999994 0.22887239],[0.75000003 0.26012236],[0.66406228 0.41363804]
[0.34999992 0.22874214],[0.75000004 0.25999211],[0.6640622 0.4135078]
[0.34999989 0.22859185],[0.75000005 0.25984182],[0.66406211 0.41335752]
[0.34999986 0.22842152],[0.75000006 0.25967149],[0.66406201 0.4131872 ]
[0.34999983 0.22823115],[0.75000008 0.25948112],[0.6640619  0.41299685]
[0.3499998  0.22802074],[0.75000009 0.25927071],[0.66406177 0.41278647]
[0.34999976 0.2277903 ],[0.75000011 0.25904026],[0.66406163 0.41255604]
[0.34999972 0.22753981],[0.75000013 0.25878978],[0.66406148 0.41230558]
[0.34999967 0.22726929],[0.75000015 0.25851925],[0.66406132 0.41203508]
[0.34999962 0.22697873],[0.75000017 0.25822869],[0.66406114 0.41174454]
[0.34999957 0.22666813],[0.7500002  0.25791809],[0.66406096 0.41143397]
[0.34999952 0.22633749],[0.75000022 0.25758745],[0.66406076 0.41110336]
[0.34999946 0.22598681],[0.75000025 0.25723677],[0.66406055 0.41075272]
[0.3499994  0.22561609],[0.75000028 0.25686605],[0.66406033 0.41038203]
[0.34999933 0.22522533],[0.75000031 0.25647529],[0.66406009 0.40999131]
[0.34999926 0.22481454],[0.75000034 0.2560645 ],[0.66405984 0.40958056]
[0.34999919 0.2243837 ],[0.75000037 0.25563366],[0.66405959 0.40914976]
[0.34999912 0.22393283],[0.75000041 0.25518279],[0.66405931 0.40869893]
[0.34999904 0.22346192],[0.75000044 0.25471188],[0.66405903 0.40822806]
[0.34999896 0.22297097],[0.75000048 0.25422092],[0.66405874 0.40773716]
[0.34999887 0.22245998],[0.75000052 0.25370993],[0.66405843 0.40722621]
[0.34999878 0.22192895],[0.75000056 0.25317891],[0.66405811 0.40669524]
[0.34999869 0.22137789],[0.7500006  0.25262784],[0.66405778 0.40614422]
[0.34999859 0.22080678],[0.75000065 0.25205673],[0.66405744 0.40557317]
[0.3499985  0.22021564],[0.75000069 0.25146559],[0.66405708 0.40498208]
[0.34999839 0.21960445],[0.75000074 0.2508544 ],[0.66405671 0.40437095]
[0.34999829 0.21897323],[0.75000079 0.25022318],[0.66405633 0.40373979]
[0.34999818 0.21832197],[0.75000084 0.24957192],[0.66405594 0.40308859]
[0.34999807 0.21765067],[0.75000089 0.24890061],[0.66405554 0.40241735]
[0.34999795 0.21695934],[0.75000094 0.24820928],[0.66405512 0.40172608]
[0.34999783 0.21624796],[0.750001  0.2474979],[0.66405469 0.40101476]
[0.34999771 0.21551654],[0.75000105 0.24676648],[0.66405426 0.40028342]
[0.34999759 0.21476509],[0.75000111 0.24601502],[0.6640538  0.39953203]
[0.34999746 0.2139936 ],[0.75000117 0.24524353],[0.66405334 0.39876061]
[0.34999733 0.21320206],[0.75000123 0.24445199],[0.66405286 0.39796915]
[0.34999719 0.21239049],[0.75000129 0.24364042],[0.66405238 0.39715765]
[0.34999705 0.21155888],[0.75000136 0.24280881],[0.66405188 0.39632612]
[0.34999691 0.21070723],[0.75000142 0.24195716],[0.66405136 0.39547455]
[0.34999677 0.20983555],[0.75000149 0.24108547],[0.66405084 0.39460294]
[0.34999662 0.20894382],[0.75000156 0.24019374],[0.6640503 0.3937113]
