1.0
 
[-3.22204685e-03 -1.99987882e+01],[ 1.47710353e-03 -1.99988375e+01],[-1.15358163e-02 -1.99970390e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406248 0.41395863]
[0.34999999 0.22914292],[0.75000001 0.26039288],[0.66406245 0.41390853]
[0.34999997 0.22907278],[0.75000001 0.26032275],[0.66406241 0.4138384 ]
[0.34999996 0.2289826 ],[0.75000002 0.26023257],[0.66406236 0.41374824]
[0.34999994 0.22887239],[0.75000003 0.26012236],[0.66406229 0.41363803]
[0.34999992 0.22874214],[0.75000004 0.25999211],[0.66406222 0.41350779]
[0.3499999  0.22859185],[0.75000005 0.25984182],[0.66406213 0.41335751]
[0.34999987 0.22842152],[0.75000006 0.25967148],[0.66406203 0.4131872 ]
[0.34999984 0.22823115],[0.75000007 0.25948111],[0.66406192 0.41299684]
[0.34999981 0.22802074],[0.75000009 0.25927071],[0.6640618  0.41278645]
[0.34999977 0.22779029],[0.75000011 0.25904026],[0.66406167 0.41255603]
[0.34999973 0.22753981],[0.75000012 0.25878977],[0.66406153 0.41230556]
[0.34999968 0.22726928],[0.75000014 0.25851925],[0.66406137 0.41203506]
[0.34999964 0.22697872],[0.75000017 0.25822868],[0.66406121 0.41174453]
[0.34999959 0.22666812],[0.75000019 0.25791808],[0.66406103 0.41143395]
[0.34999954 0.22633748],[0.75000021 0.25758744],[0.66406084 0.41110334]
[0.34999948 0.2259868 ],[0.75000024 0.25723676],[0.66406064 0.41075269]
[0.34999942 0.22561608],[0.75000027 0.25686604],[0.66406042 0.410382  ]
[0.34999936 0.22522532],[0.75000029 0.25647528],[0.6640602  0.40999128]
[0.34999929 0.22481452],[0.75000032 0.25606448],[0.66405996 0.40958052]
[0.34999922 0.22438369],[0.75000036 0.25563365],[0.66405972 0.40914972]
[0.34999915 0.22393281],[0.75000039 0.25518277],[0.66405946 0.40869888]
[0.34999907 0.2234619 ],[0.75000042 0.25471186],[0.66405919 0.40822801]
[0.349999   0.22297095],[0.75000046 0.2542209 ],[0.6640589 0.4077371]
[0.34999891 0.22245996],[0.7500005  0.25370991],[0.66405861 0.40722616]
[0.34999883 0.22192893],[0.75000054 0.25317888],[0.66405831 0.40669517]
[0.34999874 0.22137786],[0.75000058 0.25262781],[0.66405799 0.40614415]
[0.34999865 0.22080675],[0.75000062 0.2520567 ],[0.66405766 0.4055731 ]
[0.34999855 0.22021561],[0.75000066 0.25146555],[0.66405732 0.404982  ]
[0.34999845 0.21960442],[0.75000071 0.25085437],[0.66405697 0.40437087]
[0.34999835 0.2189732 ],[0.75000075 0.25022314],[0.66405661 0.4037397 ]
[0.34999825 0.21832193],[0.7500008  0.24957188],[0.66405624 0.40308849]
[0.34999814 0.21765063],[0.75000085 0.24890057],[0.66405585 0.40241725]
[0.34999803 0.21695929],[0.7500009  0.24820923],[0.66405545 0.40172597]
[0.34999792 0.21624791],[0.75000095 0.24749785],[0.66405504 0.40101465]
[0.3499978 0.2155165],[0.75000101 0.24676643],[0.66405462 0.4002833 ]
[0.34999768 0.21476504],[0.75000106 0.24601497],[0.66405419 0.39953191]
[0.34999755 0.21399354],[0.75000112 0.24524347],[0.66405375 0.39876048]
[0.34999743 0.21320201],[0.75000118 0.24445194],[0.6640533  0.39796901]
[0.3499973  0.21239043],[0.75000124 0.24364036],[0.66405283 0.39715751]
[0.34999716 0.21155882],[0.7500013  0.24280875],[0.66405235 0.39632597]
[0.34999703 0.21070717],[0.75000136 0.24195709],[0.66405186 0.39547439]
[0.34999689 0.20983548],[0.75000143 0.2410854 ],[0.66405136 0.39460278]
[0.34999674 0.20894375],[0.75000149 0.24019367],[0.66405085 0.39371113]
