1.0
 
[-5.48278864e-03 -1.99975379e+01],[ 2.63719435e-03 -1.99975876e+01],[ -0.02123488 -19.99395784]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75000001 0.26044298],[0.66406246 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.6640624  0.41390855]
[0.34999996 0.22907279],[0.75000002 0.26032276],[0.66406233 0.41383843]
[0.34999993 0.22898262],[0.75000003 0.26023259],[0.66406223 0.41374827]
[0.3499999  0.22887241],[0.75000005 0.26012238],[0.66406212 0.41363809]
[0.34999987 0.22874217],[0.75000006 0.25999214],[0.66406198 0.41350787]
[0.34999982 0.22859189],[0.75000008 0.25984186],[0.66406182 0.41335761]
[0.34999978 0.22842157],[0.75000011 0.25967154],[0.66406164 0.41318732]
[0.34999973 0.22823121],[0.75000013 0.25948118],[0.66406144 0.412997  ]
[0.34999967 0.22802082],[0.75000016 0.25927078],[0.66406122 0.41278664]
[0.34999961 0.22779038],[0.75000019 0.25904035],[0.66406097 0.41255625]
[0.34999954 0.22753991],[0.75000022 0.25878988],[0.66406071 0.41230583]
[0.34999946 0.22726941],[0.75000026 0.25851937],[0.66406042 0.41203537]
[0.34999938 0.22697886],[0.7500003  0.25822882],[0.66406011 0.41174487]
[0.3499993  0.22666828],[0.75000034 0.25791824],[0.66405978 0.41143435]
[0.34999921 0.22633766],[0.75000038 0.25758762],[0.66405943 0.41110378]
[0.34999911 0.225987  ],[0.75000043 0.25723696],[0.66405906 0.41075319]
[0.34999901 0.2256163 ],[0.75000048 0.25686626],[0.66405867 0.41038256]
[0.3499989  0.22522557],[0.75000053 0.25647553],[0.66405826 0.4099919 ]
[0.34999879 0.2248148 ],[0.75000058 0.25606476],[0.66405782 0.4095812 ]
[0.34999867 0.22438399],[0.75000064 0.25563395],[0.66405736 0.40915047]
[0.34999855 0.22393314],[0.7500007 0.2551831],[0.66405689 0.4086997 ]
[0.34999842 0.22346226],[0.75000076 0.25471222],[0.66405639 0.4082289 ]
[0.34999829 0.22297134],[0.75000082 0.25422129],[0.66405587 0.40773807]
[0.34999815 0.22246038],[0.75000089 0.25371033],[0.66405533 0.4072272 ]
[0.349998   0.22192938],[0.75000096 0.25317934],[0.66405476 0.4066963 ]
[0.34999785 0.22137835],[0.75000103 0.2526283 ],[0.66405418 0.40614536]
[0.3499977  0.22080728],[0.75000111 0.25205723],[0.66405358 0.40557439]
[0.34999753 0.22021617],[0.75000119 0.25146612],[0.66405295 0.40498339]
[0.34999737 0.21960502],[0.75000127 0.25085497],[0.6640523  0.40437235]
[0.34999719 0.21897384],[0.75000135 0.25022378],[0.66405163 0.40374128]
[0.34999702 0.21832262],[0.75000144 0.24957256],[0.66405094 0.40309017]
[0.34999683 0.21765136],[0.75000152 0.2489013 ],[0.66405023 0.40241903]
[0.34999664 0.21696006],[0.75000161 0.24821   ],[0.6640495  0.40172786]
[0.34999645 0.21624873],[0.75000171 0.24749866],[0.66404875 0.40101665]
[0.34999625 0.21551735],[0.7500018  0.24676729],[0.66404797 0.40028541]
[0.34999604 0.21476594],[0.7500019  0.24601588],[0.66404718 0.39953414]
[0.34999583 0.2139945 ],[0.750002   0.24524443],[0.66404636 0.39876283]
[0.34999562 0.21320301],[0.75000211 0.24445294],[0.66404552 0.39797148]
[0.34999539 0.21239149],[0.75000222 0.24364142],[0.66404466 0.3971601 ]
[0.34999517 0.21155993],[0.75000232 0.24280985],[0.66404378 0.39632869]
[0.34999493 0.21070833],[0.75000244 0.24195825],[0.66404288 0.39547725]
[0.34999469 0.20983669],[0.75000255 0.24108662],[0.66404196 0.39460577]
[0.34999445 0.20894502],[0.75000267 0.24019494],[0.66404101 0.39371425]
