1.0
 
[-2.59406078e-03 -1.99991355e+01],[ 1.15475326e-03 -1.99991847e+01],[-8.8411325e-03 -1.9997895e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406248 0.41395862]
[0.34999999 0.22914291],[0.75000001 0.26039288],[0.66406246 0.41390853]
[0.34999998 0.22907278],[0.75000001 0.26032275],[0.66406243 0.4138384 ]
[0.34999997 0.2289826 ],[0.75000001 0.26023257],[0.66406239 0.41374823]
[0.34999995 0.22887238],[0.75000002 0.26012235],[0.66406234 0.41363802]
[0.34999994 0.22874213],[0.75000003 0.2599921 ],[0.66406228 0.41350777]
[0.34999992 0.22859184],[0.75000004 0.2598418 ],[0.66406222 0.41335749]
[0.3499999 0.2284215],[0.75000005 0.25967147],[0.66406214 0.41318716]
[0.34999987 0.22823113],[0.75000006 0.2594811 ],[0.66406206 0.4129968 ]
[0.34999984 0.22802072],[0.75000007 0.25927069],[0.66406197 0.4127864 ]
[0.34999981 0.22779027],[0.75000008 0.25904023],[0.66406187 0.41255597]
[0.34999978 0.22753978],[0.7500001  0.25878974],[0.66406176 0.41230549]
[0.34999975 0.22726925],[0.75000011 0.25851921],[0.66406164 0.41203498]
[0.34999971 0.22697868],[0.75000013 0.25822864],[0.66406151 0.41174443]
[0.34999967 0.22666807],[0.75000015 0.25791804],[0.66406137 0.41143384]
[0.34999963 0.22633743],[0.75000017 0.25758739],[0.66406123 0.41110321]
[0.34999958 0.22598674],[0.75000019 0.2572367 ],[0.66406107 0.41075255]
[0.34999953 0.22561601],[0.75000021 0.25686598],[0.66406091 0.41038185]
[0.34999948 0.22522525],[0.75000023 0.25647521],[0.66406074 0.40999111]
[0.34999943 0.22481445],[0.75000025 0.25606441],[0.66406056 0.40958033]
[0.34999937 0.2243836 ],[0.75000028 0.25563356],[0.66406037 0.40914951]
[0.34999932 0.22393272],[0.7500003  0.25518268],[0.66406017 0.40869866]
[0.34999926 0.2234618 ],[0.75000033 0.25471176],[0.66405996 0.40822777]
[0.34999919 0.22297084],[0.75000036 0.25422079],[0.66405975 0.40773683]
[0.34999913 0.22245984],[0.75000039 0.25370979],[0.66405952 0.40722587]
[0.34999906 0.2219288 ],[0.75000042 0.25317875],[0.66405929 0.40669486]
[0.34999899 0.22137772],[0.75000045 0.25262767],[0.66405905 0.40614382]
[0.34999891 0.22080661],[0.75000048 0.25205656],[0.6640588  0.40557273]
[0.34999884 0.22021545],[0.75000052 0.2514654 ],[0.66405854 0.40498161]
[0.34999876 0.21960425],[0.75000055 0.2508542 ],[0.66405827 0.40437046]
[0.34999868 0.21897302],[0.75000059 0.25022296],[0.66405799 0.40373926]
[0.34999859 0.21832175],[0.75000063 0.24957169],[0.66405771 0.40308803]
[0.3499985  0.21765043],[0.75000067 0.24890037],[0.66405741 0.40241675]
[0.34999842 0.21695908],[0.7500007  0.24820902],[0.66405711 0.40172544]
[0.34999832 0.21624769],[0.75000075 0.24749763],[0.66405679 0.4010141 ]
[0.34999823 0.21551626],[0.75000079 0.24676619],[0.66405647 0.40028271]
[0.34999813 0.21476479],[0.75000083 0.24601472],[0.66405614 0.39953129]
[0.34999803 0.21399328],[0.75000088 0.24524321],[0.6640558  0.39875983]
[0.34999793 0.21320173],[0.75000092 0.24445166],[0.66405546 0.39796833]
[0.34999783 0.21239014],[0.75000097 0.24364007],[0.6640551  0.39715679]
[0.34999772 0.21155851],[0.75000101 0.24280844],[0.66405473 0.39632521]
[0.34999761 0.21070685],[0.75000106 0.24195677],[0.66405436 0.3954736 ]
[0.3499975  0.20983514],[0.75000111 0.24108507],[0.66405398 0.39460195]
[0.34999738 0.2089434 ],[0.75000116 0.24019332],[0.66405359 0.39371026]
